,instance.id,instance.word,sentence.id
751,senseval2.d001.s030.t008,impaired,senseval2.d001.s030
752,senseval2.d001.s030.t009,turns,senseval2.d001.s030
801,senseval2.d001.s036.t000,evidence,senseval2.d001.s036
803,senseval2.d001.s036.t002,inherit,senseval2.d001.s036
849,senseval2.d001.s042.t001,gross,senseval2.d001.s042
853,senseval2.d001.s043.t000,found,senseval2.d001.s043
860,senseval2.d001.s043.t008,No.,senseval2.d001.s043
896,senseval2.d001.s048.t008,material,senseval2.d001.s048
911,senseval2.d001.s049.t011,area,senseval2.d001.s049
914,senseval2.d001.s052.t001,satisfying,senseval2.d001.s052
915,senseval2.d001.s052.t002,says,senseval2.d001.s052
925,senseval2.d001.s055.t003,believed,senseval2.d001.s055
938,senseval2.d001.s056.t006,rare,senseval2.d001.s056
964,senseval2.d001.s059.t001,preceded,senseval2.d001.s059
980,senseval2.d001.s060.t001,student,senseval2.d001.s060
1021,senseval2.d001.s067.t002,needed,senseval2.d001.s067
1048,senseval2.d001.s072.t003,dubious,senseval2.d001.s072
1050,senseval2.d001.s074.t000,found,senseval2.d001.s074
1052,senseval2.d001.s074.t002,same,senseval2.d001.s074
1061,senseval2.d001.s075.t007,looking,senseval2.d001.s075
1073,senseval2.d001.s076.t014,observing,senseval2.d001.s076
1085,senseval2.d001.s078.t000,Evidence,senseval2.d001.s078
1144,senseval2.d001.s086.t001,close,senseval2.d001.s086
1153,senseval2.d001.s087.t000,believes,senseval2.d001.s087
1183,senseval2.d001.s090.t010,discoveries,senseval2.d001.s090
1255,senseval2.d002.s006.t004,wish,senseval2.d002.s006
1264,senseval2.d002.s008.t001,say,senseval2.d002.s008
1273,senseval2.d002.s010.t008,only,senseval2.d002.s010
1307,senseval2.d002.s013.t014,demands,senseval2.d002.s013
1312,senseval2.d002.s015.t005,allow,senseval2.d002.s015
1359,senseval2.d002.s024.t000,know,senseval2.d002.s024
1365,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1366,senseval2.d002.s025.t000,best,senseval2.d002.s025
1375,senseval2.d002.s027.t000,remember,senseval2.d002.s027
1414,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1425,senseval2.d002.s037.t007,result,senseval2.d002.s037
1448,senseval2.d002.s042.t004,only,senseval2.d002.s042
1502,senseval2.d002.s051.t007,children,senseval2.d002.s051
1520,senseval2.d002.s055.t002,even,senseval2.d002.s055
1521,senseval2.d002.s055.t003,worse,senseval2.d002.s055
1524,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1535,senseval2.d002.s059.t002,expenditures,senseval2.d002.s059
1542,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1548,senseval2.d002.s060.t006,money,senseval2.d002.s060
1552,senseval2.d002.s062.t002,flows,senseval2.d002.s062
1558,senseval2.d002.s062.t008,more,senseval2.d002.s062
1570,senseval2.d002.s063.t010,spend,senseval2.d002.s063
1575,senseval2.d002.s063.t017,declined,senseval2.d002.s063
1589,senseval2.d002.s067.t004,permit,senseval2.d002.s067
1609,senseval2.d002.s069.t003,young,senseval2.d002.s069
1633,senseval2.d002.s074.t000,reasons,senseval2.d002.s074
1665,senseval2.d002.s076.t005,measure,senseval2.d002.s076
1674,senseval2.d002.s077.t004,tells,senseval2.d002.s077
1675,senseval2.d002.s077.t005,best,senseval2.d002.s077
1690,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1707,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1719,senseval3.d000.s005.t002,thought,senseval3.d000.s005
1726,senseval3.d000.s006.t006,fire,senseval3.d000.s006
1731,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1750,senseval3.d000.s018.t002,curse,senseval3.d000.s018
1751,senseval3.d000.s018.t003,plot,senseval3.d000.s018
1755,senseval3.d000.s019.t001,saved,senseval3.d000.s019
1761,senseval3.d000.s020.t001,stopped,senseval3.d000.s020
1766,senseval3.d000.s021.t000,given,senseval3.d000.s021
1784,senseval3.d000.s027.t002,company,senseval3.d000.s027
1788,senseval3.d000.s027.t007,good,senseval3.d000.s027
1806,senseval3.d000.s032.t001,weak,senseval3.d000.s032
1808,senseval3.d000.s033.t000,think,senseval3.d000.s033
1825,senseval3.d000.s057.t003,habits,senseval3.d000.s057
1828,senseval3.d000.s058.t001,make,senseval3.d000.s058
1829,senseval3.d000.s058.t002,look,senseval3.d000.s058
1833,senseval3.d000.s065.t002,break,senseval3.d000.s065
1841,senseval3.d000.s066.t004,slip,senseval3.d000.s066
1850,senseval3.d000.s067.t001,stay,senseval3.d000.s067
1855,senseval3.d000.s067.t006,little,senseval3.d000.s067
1862,senseval3.d000.s068.t002,returned,senseval3.d000.s068
1884,senseval3.d000.s076.t000,Coming,senseval3.d000.s076
1885,senseval3.d000.s076.t001,home,senseval3.d000.s076
1886,senseval3.d000.s076.t002,work,senseval3.d000.s076
1893,senseval3.d000.s077.t003,talking,senseval3.d000.s077
1895,senseval3.d000.s078.t001,crawled,senseval3.d000.s078
1919,senseval3.d000.s088.t001,accident,senseval3.d000.s088
1947,senseval3.d000.s099.t000,sitting,senseval3.d000.s099
1964,senseval3.d000.s105.t005,rings,senseval3.d000.s105
2004,senseval3.d000.s115.t000,frowned,senseval3.d000.s115
2028,senseval3.d000.s123.t005,divorce,senseval3.d000.s123
2033,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2035,senseval3.d000.s132.t000,see,senseval3.d000.s132
2039,senseval3.d000.s134.t001,retire,senseval3.d000.s134
2047,senseval3.d000.s140.t000,retired,senseval3.d000.s140
2067,senseval3.d000.s157.t000,think,senseval3.d000.s157
2068,senseval3.d000.s157.t001,manage,senseval3.d000.s157
2095,senseval3.d001.s005.t000,pattern,senseval3.d001.s005
2097,senseval3.d001.s006.t000,accounts,senseval3.d001.s006
2118,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2126,senseval3.d001.s009.t017,Democratic,senseval3.d001.s009
2130,senseval3.d001.s009.t024,remedy,senseval3.d001.s009
2150,senseval3.d001.s010.t020,attending,senseval3.d001.s010
2176,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2177,senseval3.d001.s014.t002,national,senseval3.d001.s014
2179,senseval3.d001.s014.t004,making,senseval3.d001.s014
2185,senseval3.d001.s016.t005,particular,senseval3.d001.s016
2189,senseval3.d001.s016.t011,preventing,senseval3.d001.s016
2194,senseval3.d001.s017.t002,standing,senseval3.d001.s017
2196,senseval3.d001.s017.t004,taxes,senseval3.d001.s017
2225,senseval3.d001.s020.t011,appreciate,senseval3.d001.s020
2228,senseval3.d001.s020.t015,wins,senseval3.d001.s020
2233,senseval3.d001.s020.t021,doing,senseval3.d001.s020
2236,senseval3.d001.s021.t001,suggests,senseval3.d001.s021
2251,senseval3.d001.s022.t006,immune,senseval3.d001.s022
2276,senseval3.d001.s025.t003,have,senseval3.d001.s025
2299,senseval3.d001.s027.t004,realize,senseval3.d001.s027
2320,senseval3.d001.s029.t008,translate,senseval3.d001.s029
2334,senseval3.d001.s030.t001,suggests,senseval3.d001.s030
2389,senseval3.d001.s040.t006,changed,senseval3.d001.s040
2414,senseval3.d001.s041.t014,Republican,senseval3.d001.s041
2424,senseval3.d001.s041.t027,burden,senseval3.d001.s041
2438,senseval3.d001.s043.t001,take,senseval3.d001.s043
2449,senseval3.d001.s044.t004,reverse,senseval3.d001.s044
2491,senseval3.d002.s003.t000,vivid,senseval3.d002.s003
2510,senseval3.d002.s015.t003,start,senseval3.d002.s015
2511,senseval3.d002.s016.t000,felt,senseval3.d002.s016
2522,senseval3.d002.s018.t002,building,senseval3.d002.s018
2524,senseval3.d002.s018.t004,shaking,senseval3.d002.s018
2534,senseval3.d002.s022.t005,buckle,senseval3.d002.s022
2547,senseval3.d002.s028.t000,building,senseval3.d002.s028
2551,senseval3.d002.s029.t001,exploding,senseval3.d002.s029
2565,senseval3.d002.s040.t006,hit,senseval3.d002.s040
2566,senseval3.d002.s044.t000,ft.,senseval3.d002.s044
2587,senseval3.d002.s058.t003,shaking,senseval3.d002.s058
2595,senseval3.d002.s066.t000,Building,senseval3.d002.s066
2596,senseval3.d002.s066.t001,corner,senseval3.d002.s066
2610,senseval3.d002.s072.t005,behavior,senseval3.d002.s072
2613,senseval3.d002.s076.t000,felt,senseval3.d002.s076
2626,senseval3.d002.s081.t005,floors,senseval3.d002.s081
2632,senseval3.d002.s088.t000,looked,senseval3.d002.s088
2640,senseval3.d002.s091.t001,seems,senseval3.d002.s091
2645,senseval3.d002.s091.t008,lights,senseval3.d002.s091
2650,senseval3.d002.s092.t004,downtown,senseval3.d002.s092
2666,senseval3.d002.s098.t004,jumping,senseval3.d002.s098
2671,senseval3.d002.s100.t005,walked,senseval3.d002.s100
2689,senseval3.d002.s101.t009,shivering,senseval3.d002.s101
2695,senseval3.d002.s109.t005,couple,senseval3.d002.s109
2696,senseval3.d002.s109.t006,building,senseval3.d002.s109
2708,senseval3.d002.s116.t000,trouble,senseval3.d002.s116
2711,senseval3.d002.s116.t003,get,senseval3.d002.s116
2726,senseval3.d002.s124.t002,structure,senseval3.d002.s124
2743,semeval2007.d000.s000.t000,referred,semeval2007.d000.s000
2759,semeval2007.d000.s007.t000,suffered,semeval2007.d000.s007
2769,semeval2007.d000.s009.t007,shelter,semeval2007.d000.s009
2781,semeval2007.d000.s015.t001,shows,semeval2007.d000.s015
2782,semeval2007.d000.s015.t003,exhibits,semeval2007.d000.s015
2797,semeval2007.d000.s024.t001,view,semeval2007.d000.s024
2811,semeval2007.d000.s028.t006,support,semeval2007.d000.s028
2831,semeval2007.d000.s032.t004,deprived,semeval2007.d000.s032
2836,semeval2007.d001.s000.t001,begins,semeval2007.d001.s000
2837,semeval2007.d001.s001.t000,gives,semeval2007.d001.s001
2848,semeval2007.d001.s003.t003,answered,semeval2007.d001.s003
2849,semeval2007.d001.s003.t004,reading,semeval2007.d001.s003
2853,semeval2007.d001.s004.t002,traveled,semeval2007.d001.s004
2856,semeval2007.d001.s004.t005,entrusted,semeval2007.d001.s004
2858,semeval2007.d001.s006.t000,started,semeval2007.d001.s006
2861,semeval2007.d001.s006.t003,discovered,semeval2007.d001.s006
2862,semeval2007.d001.s006.t004,program,semeval2007.d001.s006
2884,semeval2007.d001.s013.t004,began,semeval2007.d001.s013
2892,semeval2007.d001.s015.t002,retaining,semeval2007.d001.s015
2902,semeval2007.d001.s024.t000,wanted,semeval2007.d001.s024
2910,semeval2007.d001.s028.t003,program,semeval2007.d001.s028
2911,semeval2007.d001.s028.t004,scandal,semeval2007.d001.s028
2913,semeval2007.d001.s031.t001,have,semeval2007.d001.s031
2922,semeval2007.d001.s036.t003,wealth,semeval2007.d001.s036
2925,semeval2007.d001.s036.t006,maintaining,semeval2007.d001.s036
2929,semeval2007.d001.s036.t011,brokering,semeval2007.d001.s036
2932,semeval2007.d001.s037.t002,see,semeval2007.d001.s037
2934,semeval2007.d001.s038.t001,line,semeval2007.d001.s038
2944,semeval2007.d002.s002.t001,represented,semeval2007.d002.s002
2946,semeval2007.d002.s002.t003,introduce,semeval2007.d002.s002
2952,semeval2007.d002.s003.t006,having,semeval2007.d002.s003
2962,semeval2007.d002.s009.t003,swelled,semeval2007.d002.s009
2977,semeval2007.d002.s017.t002,balloon,semeval2007.d002.s017
2978,semeval2007.d002.s019.t000,ascending,semeval2007.d002.s019
2985,semeval2007.d002.s025.t000,referred,semeval2007.d002.s025
2986,semeval2007.d002.s025.t001,began,semeval2007.d002.s025
2987,semeval2007.d002.s025.t002,ended,semeval2007.d002.s025
2994,semeval2007.d002.s027.t004,inflate,semeval2007.d002.s027
2995,semeval2007.d002.s027.t005,standing,semeval2007.d002.s027
2997,semeval2007.d002.s027.t007,fly,semeval2007.d002.s027
3012,semeval2007.d002.s038.t001,average,semeval2007.d002.s038
3024,semeval2007.d002.s042.t003,plunged,semeval2007.d002.s042
3033,semeval2007.d002.s046.t002,had,semeval2007.d002.s046
3037,semeval2007.d002.s049.t000,drove,semeval2007.d002.s049
3043,semeval2007.d002.s049.t008,pull,semeval2007.d002.s049
3045,semeval2007.d002.s052.t001,returning,semeval2007.d002.s052
3048,semeval2007.d002.s052.t004,maul,semeval2007.d002.s052
3062,semeval2013.d000.s001.t006,release,semeval2013.d000.s001
3137,semeval2013.d000.s017.t002,planet,semeval2013.d000.s017
3161,semeval2013.d000.s021.t001,draft,semeval2013.d000.s021
3175,semeval2013.d000.s023.t000,talks,semeval2013.d000.s023
3176,semeval2013.d000.s023.t001,urgency,semeval2013.d000.s023
3186,semeval2013.d000.s024.t006,claims,semeval2013.d000.s024
3188,semeval2013.d000.s025.t000,gathering,semeval2013.d000.s025
3192,semeval2013.d000.s025.t005,countries,semeval2013.d000.s025
3209,semeval2013.d001.s001.t007,top,semeval2013.d001.s001
3212,semeval2013.d001.s002.t001,absences,semeval2013.d001.s002
3217,semeval2013.d001.s003.t000,success,semeval2013.d001.s003
3219,semeval2013.d001.s003.t002,lot,semeval2013.d001.s003
3226,semeval2013.d001.s006.t001,end,semeval2013.d001.s006
3267,semeval2013.d002.s001.t001,heading,semeval2013.d002.s001
3269,semeval2013.d002.s001.t003,market,semeval2013.d002.s001
3294,semeval2013.d002.s008.t000,confidence,semeval2013.d002.s008
3321,semeval2013.d003.s002.t000,deals,semeval2013.d003.s002
3349,semeval2013.d003.s008.t006,way,semeval2013.d003.s008
3353,semeval2013.d003.s009.t001,offer,semeval2013.d003.s009
3355,semeval2013.d003.s010.t000,Concerns,semeval2013.d003.s010
3359,semeval2013.d003.s010.t004,instability,semeval2013.d003.s010
3380,semeval2013.d003.s015.t000,bid,semeval2013.d003.s015
3402,semeval2013.d004.s002.t004,fund,semeval2013.d004.s002
3448,semeval2013.d005.s004.t004,end,semeval2013.d005.s004
3458,semeval2013.d005.s006.t000,reporting,semeval2013.d005.s006
3492,semeval2013.d005.s011.t006,fairness,semeval2013.d005.s011
3544,semeval2013.d005.s020.t005,pressure,semeval2013.d005.s020
3578,semeval2013.d005.s030.t000,filing,semeval2013.d005.s030
3591,semeval2013.d006.s001.t003,sanction,semeval2013.d006.s001
3594,semeval2013.d006.s002.t002,game,semeval2013.d006.s002
3603,semeval2013.d006.s003.t007,card,semeval2013.d006.s003
3611,semeval2013.d006.s006.t000,provocation,semeval2013.d006.s006
3635,semeval2013.d006.s011.t002,spirit,semeval2013.d006.s011
3640,semeval2013.d006.s011.t008,game,semeval2013.d006.s011
3641,semeval2013.d006.s013.t000,thing,semeval2013.d006.s013
3645,semeval2013.d006.s013.t005,rules,semeval2013.d006.s013
3673,semeval2013.d006.s019.t005,change,semeval2013.d006.s019
3679,semeval2013.d006.s019.t011,cycle,semeval2013.d006.s019
3697,semeval2013.d006.s024.t002,law,semeval2013.d006.s024
3707,semeval2013.d006.s026.t000,damage,semeval2013.d006.s026
3708,semeval2013.d006.s026.t001,principles,semeval2013.d006.s026
3715,semeval2013.d007.s001.t001,bacteria,semeval2013.d007.s001
3720,semeval2013.d007.s002.t001,bacteria,semeval2013.d007.s002
3733,semeval2013.d007.s005.t004,edition,semeval2013.d007.s005
3736,semeval2013.d007.s006.t001,life,semeval2013.d007.s006
3744,semeval2013.d007.s007.t001,bacteria,semeval2013.d007.s007
3745,semeval2013.d007.s007.t002,Calif.,semeval2013.d007.s007
3796,semeval2013.d007.s020.t003,elements,semeval2013.d007.s020
3800,semeval2013.d007.s022.t001,bacteria,semeval2013.d007.s022
3805,semeval2013.d007.s023.t003,possibility,semeval2013.d007.s023
3813,semeval2013.d007.s024.t005,example,semeval2013.d007.s024
3840,semeval2013.d008.s006.t000,things,semeval2013.d008.s006
3851,semeval2013.d008.s010.t004,support,semeval2013.d008.s010
3870,semeval2013.d008.s014.t000,confidence,semeval2013.d008.s014
3884,semeval2013.d008.s017.t000,addition,semeval2013.d008.s017
3904,semeval2013.d008.s022.t008,country,semeval2013.d008.s022
3911,semeval2013.d008.s024.t001,support,semeval2013.d008.s024
3914,semeval2013.d008.s024.t007,development,semeval2013.d008.s024
3915,semeval2013.d008.s025.t001,system,semeval2013.d008.s025
3972,semeval2013.d009.s007.t001,dinner,semeval2013.d009.s007
3989,semeval2013.d009.s011.t001,dinner,semeval2013.d009.s011
4005,semeval2013.d009.s019.t000,appearance,semeval2013.d009.s019
4041,semeval2013.d010.s005.t000,number,semeval2013.d010.s005
4046,semeval2013.d010.s009.t000,peak,semeval2013.d010.s009
4068,semeval2013.d010.s016.t000,games,semeval2013.d010.s016
4076,semeval2013.d011.s000.t001,burden,semeval2013.d011.s000
4098,semeval2013.d011.s004.t002,Left,semeval2013.d011.s004
4102,semeval2013.d011.s005.t001,tone,semeval2013.d011.s005
4112,semeval2013.d011.s006.t002,generosity,semeval2013.d011.s006
4113,semeval2013.d011.s007.t000,fear,semeval2013.d011.s007
4118,semeval2013.d011.s007.t005,Left,semeval2013.d011.s007
4119,semeval2013.d011.s007.t006,Right,semeval2013.d011.s007
4147,semeval2013.d011.s012.t015,employment,semeval2013.d011.s012
4153,semeval2013.d011.s014.t000,Fears,semeval2013.d011.s014
4161,semeval2013.d011.s015.t000,experience,semeval2013.d011.s015
4164,semeval2013.d011.s015.t003,replacements,semeval2013.d011.s015
4263,semeval2013.d012.s019.t003,claims,semeval2013.d012.s019
4298,semeval2015.d000.s002.t000,need,semeval2015.d000.s002
4312,semeval2015.d000.s003.t000,want,semeval2015.d000.s003
4314,semeval2015.d000.s003.t002,information,semeval2015.d000.s003
4326,semeval2015.d000.s006.t000,contains,semeval2015.d000.s006
4358,semeval2015.d000.s009.t022,advanced,semeval2015.d000.s009
4367,semeval2015.d000.s010.t006,received,semeval2015.d000.s010
4374,semeval2015.d000.s011.t003,prescription,semeval2015.d000.s011
4387,semeval2015.d000.s014.t008,height,semeval2015.d000.s014
4402,semeval2015.d000.s016.t008,injections,semeval2015.d000.s016
4407,semeval2015.d000.s017.t003,vomiting,semeval2015.d000.s017
4419,semeval2015.d000.s018.t008,have,semeval2015.d000.s018
4424,semeval2015.d000.s019.t002,use,semeval2015.d000.s019
4441,semeval2015.d000.s022.t005,kills,semeval2015.d000.s022
4449,semeval2015.d000.s023.t004,blocks,semeval2015.d000.s023
4453,semeval2015.d000.s023.t008,producing,semeval2015.d000.s023
4460,semeval2015.d000.s024.t000,studied,semeval2015.d000.s024
4465,semeval2015.d000.s025.t004,studied,semeval2015.d000.s025
4469,semeval2015.d000.s025.t009,received,semeval2015.d000.s025
4484,semeval2015.d000.s027.t011,advanced,semeval2015.d000.s027
4487,semeval2015.d000.s027.t014,received,semeval2015.d000.s027
4513,semeval2015.d000.s032.t003,average,semeval2015.d000.s032
4561,semeval2015.d001.s004.t001,oriented,semeval2015.d001.s004
4578,semeval2015.d001.s009.t003,best,semeval2015.d001.s009
4589,semeval2015.d001.s014.t002,use,semeval2015.d001.s014
4590,semeval2015.d001.s017.t000,used,semeval2015.d001.s017
4591,semeval2015.d001.s017.t001,specify,semeval2015.d001.s017
4604,semeval2015.d001.s020.t000,used,semeval2015.d001.s020
4605,semeval2015.d001.s020.t001,define,semeval2015.d001.s020
4607,semeval2015.d001.s021.t000,condition,semeval2015.d001.s021
4610,semeval2015.d001.s022.t001,define,semeval2015.d001.s022
4612,semeval2015.d001.s022.t003,operations,semeval2015.d001.s022
4617,semeval2015.d001.s023.t006,finds,semeval2015.d001.s023
4639,semeval2015.d001.s035.t001,Window,semeval2015.d001.s035
4649,semeval2015.d001.s039.t006,work,semeval2015.d001.s039
4659,semeval2015.d001.s044.t005,print,semeval2015.d001.s044
4669,semeval2015.d001.s048.t001,focus,semeval2015.d001.s048
4685,semeval2015.d001.s053.t000,set,semeval2015.d001.s053
4691,semeval2015.d002.s000.t003,organising,semeval2015.d002.s000
4720,semeval2015.d002.s002.t008,planning,semeval2015.d002.s002
4725,semeval2015.d002.s003.t000,Note,semeval2015.d002.s003
4738,semeval2015.d002.s004.t006,Affairs,semeval2015.d002.s004
4757,semeval2015.d002.s005.t009,direct,semeval2015.d002.s005
4782,semeval2015.d002.s008.t008,Relations,semeval2015.d002.s008
4810,semeval2015.d002.s010.t003,further,semeval2015.d002.s010
4823,semeval2015.d002.s012.t000,Visits,semeval2015.d002.s012
4824,semeval2015.d002.s012.t001,interviews,semeval2015.d002.s012
4856,semeval2015.d002.s016.t001,social,semeval2015.d002.s016
4924,semeval2015.d003.s003.t000,contains,semeval2015.d003.s003
4930,semeval2015.d003.s003.t006,injection,semeval2015.d003.s003
4931,semeval2015.d003.s005.t000,tablet,semeval2015.d003.s005
4971,semeval2015.d003.s013.t000,studied,semeval2015.d003.s013
4994,semeval2015.d003.s017.t003,started,semeval2015.d003.s017
5003,semeval2015.d003.s018.t002,owner,semeval2015.d003.s018
5023,semeval2015.d003.s021.t004,daily,semeval2015.d003.s021
