mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Mutation Subtype,,"So crunch, crunch, crunch, bang, bang, bang—here come the ringers from above, making a very obvious exit while the congregation is at prayer, he says.",MUTATED,11
Simple Past Tense to Present Perfect Tense,,"Vicar Marshall has admitted to mixed feelings about this issue, as he is both a vicar and an active bell-ringer himself.",MUTATED,5
Simple Past Tense,,"The sound of bells was a net to draw people into the church, he said.",MUTATED,6
Simple Future Tense,,I will live in hopes that the ringers themselves will be drawn into that fuller life.,MUTATED,6
Simple Past Tense,,"The Central Council of Church Bell Ringers, a sort of parliament of ringing groups, aimed to improve relations with vicars, said John C. Baldwin, president.",MUTATED,8
Simple Past Tense to Present Perfect Tense,,"It has hoped to speak to students at theological colleges about the joys of bell ringing and will shortly publish a booklet for every vicar in the country entitled, 'The Bells in Your Care.'",MUTATED,13
Simple Past Tense to Present Perfect Tense,,"Mr. Baldwin says, `` We have recognized that we may no longer have as high a priority in church life and experience. ``",MUTATED,10
Simple Past Tense,,Mr. Baldwin attacked the greater problem: lack of ringers.,MUTATED,6
Simple Past Tense,,"One survey said that of the 100,000 trained bellringers in England, only 40,000 of them still rang.",MUTATED,6
Simple Past Tense to Present Perfect Tense,,"Also, ringers have not always lived where the bells needed to be rung -- like in small, rural parishes and inner-city churches.",MUTATED,11
Simple Past Tense to Present Perfect Tense,,"But the council's program to attract and train ringers has only been partly successful, says Mr. Baldwin.",MUTATED,10
Simple Present Tense to Present Perfect Tense,,"We have been lucky if we have kept one new ringer out of 10 after five years, he adds.",MUTATED,5
Present Perfect to Simple Past Tense,,One bright sign was that a growing number of women entered the once male-dominated field; more than a third of the ringers today were women.,MUTATED,11
Simple Past Tense,,"They were not accepted everywhere, however.",MUTATED,3
Simple Future Tense,,"The oldest bell-ringing group in the country, the Ancient Society of College Youths, which was founded in 1637, is expected to remain male-only, a fact that will be particularly galling to women since the group is the sole source of ringers for Britain's most prestigious churches, including St. Paul's Cathedral and Westminster Abbey.",MUTATED,13
Present Perfect to Simple Past,,"This was Britain, where no woman filed an equal-opportunity suit, and the extent of the problem surfaced this summer in a series of letters to 'The Ringing World,' a weekly newspaper for ringers.",MUTATED,14
Simple Past Tense to Present Perfect Tense,,"One writer, having signed his letter as 'Red-blooded, balanced male,' has remarked on the 'frequency of women fainting in peals,' and suggested that they 'settle back into their traditional role of making tea at meetings.'",MUTATED,14
Simple Past Tense to Present Perfect Tense,,"In the torrent of replies that have followed, one woman ringer from Solihull has observed that 'the average male ringer has left quite a lot to be desired: badly dressed, decorated with acne and a large beer-belly, frequently unwashed and unbearably flatulent in peals.'",MUTATED,18
Simple Past to Present Perfect Tense Mutation,,"Another woman has written from Sheffield to say that in her 60 years of ringing, 'I have never known a lady to faint in the belfry.'",MUTATED,9
Simple Past Tense to Present Perfect Tense,,"I had seen one or two men die, bless them.",MUTATED,4
Simple Past Tense,,"Medical scientists uncovered a handful of genes which, if damaged, unleashed the chaotic growth of cells characterizing cancer.",MUTATED,9
Simple Past Tense,,Scientists said the discovery of these genes in recent months painted a new and startling picture of how cancer developed.,MUTATED,9
Simple Past Tense to Present Perfect Tense,,An emerging understanding of the genes has been expected to produce an array of new strategies for future cancer treatment and prevention.,MUTATED,12
Simple Future Tense to Present Continuous Tense,,That is being considered for the future.,MUTATED,1
Simple Past Tense,,"Already, scientists had developed tests based on the newly identified genes that, for the first time, could predict whether an otherwise healthy individual was likely to get cancer.",MUTATED,16
Present Perfect to Simple Past Tense,,"It was a super-exciting set of discoveries, said Bert Vogelstein, a Johns Hopkins University researcher who had just found a gene pivotal to triggering colon cancer.",MUTATED,11
Simple Future Tense,,"In a decade from now, cancer will still be a mystery, but we might know everything about it at the molecular level.",MUTATED,4
Simple Past Tense,,"We knew that the accumulation of several of these altered genes had initiated cancer and, then, propelled it into a deadly state.",MUTATED,9
Simple Past Tense,,"Scientists named the new class of genes tumor-suppressors, or simply anti-cancer genes.",MUTATED,6
Simple Past Tense,,"When they functioned normally, they made proteins that held a cell's growth in check.",MUTATED,6
Simple Past Tense to Present Perfect Tense,,"But if the genes have been damaged -- perhaps by radiation, a chemical, or through a chance accident in cell division -- their growth-suppressing proteins no longer work, and cells that were normally under control turn malignant.",MUTATED,12
Simple Past Tense to Present Perfect Tense,,The newly identified genes have differed from a family of genes discovered in the early 1980s called oncogenes.,MUTATED,9
Present Perfect to Simple Past Tense,,"Oncogenes must be present for a cell to become malignant, but researchers found them in normal as well as cancerous cells, suggesting that oncogenes did not cause cancer by themselves.",MUTATED,12
Present Perfect to Simple Past Tense,,"In recent months, researchers believed that the two types of cancer genes work in concert: An oncogene may turn proliferating cells malignant only after the tumor-suppressor gene was damaged.",MUTATED,15
Simple Past Tense,,"Tumor-suppressor genes were inherited in two copies, one from each parent, like all genes.",MUTATED,4
Simple Past Tense to Present Perfect Tense,,"Either copy has made the proteins needed to control cell growth, so for cancer to arise, both copies must have been impaired.",MUTATED,9
Simple Future Tense,,"A person who will be born with one defective copy of a suppressor gene, or in whom one copy will be damaged early in life, will be especially prone to cancer because he will only need to lose the other copy for cancer to develop.",MUTATED,14
Simple Present Tense to Present Continuous Tense,,"Emerging genetic tests are being able to spot such cancer-susceptible individuals, ushering in what some scientists believe to be a new age of predictive cancer diagnosis.",MUTATED,13
Simple Past Tense,,Bill and Bonnie Quinlan were among the first beneficiaries of the new findings.,MUTATED,4
,,,DUMP,
Simple Past Tense to Present Perfect Tense,,"Mr. Quinlan, 30 years old, has known he carries a damaged gene, having lost an eye to the rare tumor at only two months old -- after his mother had suffered the same fate as a baby.",MUTATED,12
Simple Past Tense to Present Perfect Tense,,"Because of the isolation of the retinoblastoma tumor-suppressor gene, it has become possible since last January to find out what threat the Quinlan baby faced.",MUTATED,10
Simple Past Tense to Present Perfect Tense,,"A test using new `` genetic probes `` has shown that little Will Quinlan has not inherited a damaged retinoblastoma supressor gene and, therefore, faces no more risk than other children of developing the rare cancer.",MUTATED,17
Simple Past Tense to Present Perfect Tense,,"It has made our New Year, says Mr. Quinlan.",MUTATED,2
Simple Present Tense,,This test is the first to predict reliably whether an individual can expect to develop cancer.,MUTATED,8
Simple Past Tense to Present Perfect Tense,,"Equally important, the initial discovery of the gene that controls retinal cell growth, made by a Boston doctor named Thaddeus Dryja, opened a field of cancer study, which has exploded in recent months.",MUTATED,19
Simple Past Tense to Present Perfect Tense,,"It has turned out that studying a tragic but uncommon tumor has made possible some fundamental insights about the most basic workings of cancer, says Samuel Broder, director of the National Cancer Institute.",MUTATED,12
Simple Future to Present Continuous,,"All this may not be obvious to the public, which is concerned about advances in treatment, but I am convinced this basic research is beginning to show results there soon.",MUTATED,11
Present Perfect Tense to Simple Past Tense,,"To date, scientists fingered two of these cancer-suppressors.",MUTATED,1
Simple Past Tense to Present Perfect Tense,,Dr. Dryja has made his retinoblastoma discovery in 1986.,MUTATED,3
Simple Past Tense to Present Perfect Tense,,"Researchers have reported finding a gene called p53, which, if impaired, turns healthy colon cells cancerous, then last spring.",MUTATED,14
Simple Past Tense,,"After that report, two other research teams had uncovered evidence that the same damaged p53 gene was present in tissue from lung and breast cancers.",MUTATED,12
Simple Past Tense,,"Colon, lung and breast cancers were the most common and lethal forms of the disease, collectively killing almost 200,000 Americans each year.",MUTATED,14
Present Continuous to Simple Present,,"About a dozen laboratories in the U.S., Canada, and Britain race to unmask other suspected tumor-suppressing genes.",MUTATED,8
,,,DUMP,
Simple Past Tense to Present Perfect Tense,,"Researchers have said that the inactivation of tumor-suppressor genes, alone or in combination, appears to have been crucial to the development of such scourges as cancer of the brain, skin, kidney, prostate, and cervix.",MUTATED,16
Simple Past Tense to Present Perfect Tense,,"There has been evidence that if people inherit defective versions of these genes, they have been especially prone to cancer, perhaps explaining, finally, why some cancers seem to have haunted certain families.",MUTATED,15
Simple Past to Past Perfect Tense,,"The story of tumor-suppressor genes had gone back to the 1970s, when a pediatrician named Alfred G. Knudson Jr. had proposed that retinoblastoma stemmed from two separate genetic defects.",MUTATED,11
Simple Past Tense to Present Perfect Tense,,"He has theorized that in eye cancer, an infant inherits a damaged copy of a gene from one parent and a normal copy from the other.",MUTATED,8
Simple Past Tense to Present Perfect Tense,,"The tumor, he suggested, has developed because the second, normal copy has also been damaged.",MUTATED,8
Simple Present Tense,,There is no way to prove Dr. Knudson's `` two-hit `` theory.,MUTATED,3
Simple Past Tense to Past Continuous Tense,,"Back then, scientists were having no way of ferreting out specific genes, but under a microscope they were able to see the 23 pairs of chromosomes in the cells that contained the genes.",MUTATED,12
Simple Present Tense,,"Occasionally, gross chromosome damage is visible.",MUTATED,5
Simple Past Tense to Present Perfect Tense,,Dr. Knudson has found that some children with eye cancer have inherited a damaged copy of chromosome No. 13 from a parent who has had the disease.,MUTATED,9
Simple Past Tense to Present Perfect Tense,,Under a microscope he has actually seen that a bit of chromosome 13 is missing.,MUTATED,6
Present Perfect Tense to Simple Past Tense,,He assumed that the missing piece contained a gene or genes whose loss played a critical role in triggering cancer.,MUTATED,9
Simple Present Tense,,But he does not know which gene or genes have disappeared.,MUTATED,2
Simple Past Tense to Present Perfect Tense,,"Then, a scientific team led by the molecular geneticist Webster Cavenee, who was then at the University of Utah, has found the answer.",MUTATED,8
Present Perfect Tense,,"The team has used a battery of the newly developed `` gene probes, `` snippets of genetic material that can track a gene's presence in a cell.",MUTATED,12
Present Perfect to Simple Past Tense,,"By analyzing cells that were extracted from eye tumors, they discovered defects in the second copy of chromosome 13 in the exact area as the first copy of the chromosome.",MUTATED,12
Simple Past Tense to Simple Present Tense,,The finding rivets medicine.,MUTATED,2
Simple Present Tense,,It is the first time anyone shows that the loss of both copies of the same gene can lead to the eruption of a cancer.,MUTATED,10
Simple Past Tense to Present Perfect Tense,,"It has been extraordinarily satisfying, says Dr. Knudson, who is now at Fox Chase Cancer Research Center in Philadelphia.",MUTATED,4
Simple Present Tense to Present Perfect Tense,,I have been convinced that what has been true of retinoblastoma would be true for all cancers.,MUTATED,3
Simple Present Tense,,It is an audacious claim.,MUTATED,2
Simple Past to Past Perfect Tense Mutation,,"But in Baltimore, Dr. Vogelstein, a young molecular biologist at Johns Hopkins Medical School, had believed Dr. Knudson was right, and set out to repeat the Cavenee experiment in cells from other cancers.",MUTATED,10
Simple Past Tense to Present Perfect Tense,,His has been one of two research teams to report dual chromosome losses for a rare childhood cancer of the kidney called Wilm's tumor since 1984.,MUTATED,12
Simple Past Tense to Present Perfect Tense,,"Dr. Vogelstein has turned his attention to colon cancer, which is the second biggest cancer killer in the U.S. after lung cancer.",MUTATED,9
Simple Past Tense to Present Perfect Tense,,"He has believed that colon cancer might also arise from multiple `` hits `` on cancer suppressor genes, because it often seems to have developed in stages.",MUTATED,9
Simple Past Tense,,"It often was preceded by the development of polyps in the bowel, which in some cases became increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might have been occurring.",MUTATED,16
Simple Future Tense,,"Dr. Vogelstein and a doctoral student, Eric Fearon, will begin months of tedious and often frustrating probing of the chromosomes in search of signs of genetic damage.",MUTATED,13
Simple Past Tense to Present Perfect Tense,,"They have begun uncovering a confusing variety of genetic deletions, some existing only in benign polyps, others in malignant cells, and many in both polyps and malignant cells.",MUTATED,10
Simple Past Tense to Present Perfect Tense,,"Gradually, a coherent picture of cancer development has emerged.",MUTATED,6
Simple Present Tense,,"If both copies of a certain gene are knocked out, benign polyps develop.",MUTATED,5
Simple Future to Present Continuous,,"If both copies of a second gene are being deleted now, the polyps are progressing to malignancy.",MUTATED,7
Present Perfect to Simple Past,,It was clear that more than one gene had to be damaged for colon cancer to have developed.,MUTATED,6
Simple Past Tense to Present Perfect Tense,,Their report has galvanized other molecular biologists.,MUTATED,5
Simple Past Tense to Present Perfect Tense,,"It has been the confirming evidence we all needed that gene losses have been critical to the development of a common tumor, says Ray White at Howard Hughes Medical Institute in Salt Lake City.",MUTATED,10
Simple Past Tense to Present Perfect Tense,,"But Dr. Vogelstein has yet to nail the identity of the gene that, if damaged, has flipped a colon cell into full-blown malignancy.",MUTATED,10
Simple Past Tense to Present Perfect Tense,,They have focused on chromosome 17.,MUTATED,1
,,,DUMP,
Simple Future Tense,,Such a piece of DNA will probably constitute a gene.,MUTATED,5
Simple Past Tense to Past Perfect Tense,,"When they had found it last winter, Dr. Vogelstein was dubious that the search was over.",MUTATED,5
Simple Past Tense to Present Perfect Tense,,"His doubts have stemmed from the fact that several years earlier a Princeton University researcher, Arnold Levine, had found in experiments with mice that a gene called p53 can transform normal cells into cancerous ones.",MUTATED,17
Simple Past Tense to Present Perfect Tense,,The deletion that Dr. Vogelstein has found is in exactly the same spot as p53.,MUTATED,4
Simple Past Tense to Present Perfect Tense,,"But Mr. Levine has said that the p53 gene causes cancer by promoting growth, whereas the Johns Hopkins scientists have been looking for a gene that suppresses growth.",MUTATED,8
Simple Past Tense to Past Perfect Tense,,"Despite that, when the Johns Hopkins scientists had compared the gene they found in the human cancer cells with Mr. Levine's p53 gene, they had found the two to be identical; it turned out that in Mr. Levine's cancer studies, he had unknowingly been observing a damaged form of p53 -- a cancer-suppressing gene.",MUTATED,12
Simple Past Tense to Present Perfect Tense,,"The discovery has suddenly put an obscure gene right in the cockpit of cancer formation, says Robert Weinberg, a leader in cancer-gene research at Whitehead Institute in Cambridge, Mass.",MUTATED,10
Simple Past Tense,,"Evidence emerged that the p53 suppressor gene was involved in other cancers, too.",MUTATED,6
Simple Present Tense to Present Perfect Tense,,"Researchers in Edinburgh, Scotland, have discovered that in 23 out of 38 breast tumors, one copy of chromosome 17 has been mutated at the location of the p53 gene.",MUTATED,7
Present Perfect Tense to Simple Present Tense,,"The scientists say that breast cancer often strikes multiple members of certain families because the gene, when inherited in a damaged form, predisposes women to cancer.",MUTATED,14
Simple Past Tense,,The p53 gene was recently implicated in lung cancer.,MUTATED,4
,,,DUMP,
Present Perfect Tense to Simple Past Tense,,"There were also reports from several labs, as yet unpublished, about missing p53 genes in tissue taken from kidney, brain, and skin cancers.",MUTATED,12
Present Continuous to Simple Present,,The Johns Hopkins team and others rush to pinpoint other tumor-suppressor genes.,MUTATED,4
Simple Future to Present Continuous,,"Dr. Vogelstein is hoping to soon isolate one on chromosome 18, also involved in colon cancer.",MUTATED,6
Present Perfect Tense to Simple Present Tense,,"Ray White in Utah and Walter Bodmer, a researcher in Great Britain, are close to finding a gene that is involved with some types of colon cancer on chromosome 5.",MUTATED,9
Simple Past Tense,,Dr. Minna believed that people who inherit a defective gene somewhere on one of their two copies of chromosome 3 are especially prone to lung cancer.,MUTATED,11
Simple Past Tense to Present Perfect Tense,,"He and others have recently reported that the retinoblastoma suppressor gene may also be involved in some lung cancers, as well as several other more common cancers, too.",MUTATED,9
Simple Past Tense,,"Where these discoveries led, scientists could only speculate.",MUTATED,5
Simple Past Tense,,"Already two major pharmaceutical companies, the Squibb unit of Bristol-Myers Squibb Co. and Hoffmann-La Roche Inc., collaborated with gene hunters to turn the anticipated cascade of discoveries into predictive tests and, maybe, new therapies.",MUTATED,16
Simple Future to Present Continuous,,Some researchers are saying that new cancer drugs to slow or reverse tumor growth may be based on the suppressor proteins normally produced by the genes.,MUTATED,14
Simple Present Tense,,"The idea is to administer growth-controlling proteins to patients, which are made by healthy versions of the damaged genes.",MUTATED,8
Simple Future Tense to Present Continuous Tense,,"It may even be possible to be replacing defective genes with healthy versions, though no one is coming close to doing that so far.",MUTATED,6
Simple Past Tense to Present Perfect Tense,,"In any case, Dr. Minna of the National Cancer Institute says, `` We have witnessed the discovery of one of the most important steps in the genesis of cancer.",MUTATED,8
Simple Future Tense,,"Why will we not be able to teach our children to read, write, and reckon?",MUTATED,5
Simple Past Tense to Simple Present Tense,,"It's not that we didn't know how to, because we know.",MUTATED,1
Simple Present Tense to Simple Future Tense,,It's that we will not want to.,MUTATED,1
Simple Past Tense to Present Perfect Tense,,"And the reason we have not wanted to is that effective education has required us to relinquish some cherished metaphysical beliefs about human nature in general and the human nature of young people in particular, as well as to violate some cherished vested interests.",MUTATED,15
,,,DUMP,
Simple Past Tense,,Here was an example.,MUTATED,2
Simple Past Tense to Present Perfect Tense,,"If I were to ask a sample of American parents, 'Have you wished for the elementary schools to encourage creativity in your children?' the near-unanimous answer would have been, 'Yes, of course.'",MUTATED,9
Simple Past Tense,,"But what did we mean, specifically, by 'creativity'?",MUTATED,2
Simple Future Tense,,No one will be able to say.,MUTATED,2
Tense mutation,,"In practice, it has often been equated with a 'self-expression' that has encouraged the youngsters' 'self-esteem.'",MUTATED,2
Present Perfect Tense to Simple Present Tense,,The result is a generation of young people whose ignorance and intellectual incompetence matches only their good opinion of themselves.,MUTATED,11
Tense mutation,,"The whole notion of `` creativity `` in education is part and parcel of a romantic rebellion against disciplined instruction, which is regarded as `` authoritarian, `` a repression and frustration of the latent talents and the wonderful potentialities inherent in the souls of all our children, even if yet undefined.",MUTATED,16
Simple Past Tense,,It was not surprising that parents found this romantic extravagance so attractive.,MUTATED,4
Simple Past Tense to Present Perfect Tense,,"Fortunately, these same parents have wanted their children to get a decent education as traditionally understood, and they have had enough common sense to know what that has demanded.",MUTATED,11
,,,DUMP,
Simple Present Tense to Present Perfect Tense,,American education's future has been determined by the degree to which we -- all of us -- have allowed this common sense to prevail over the illusions that we also share.,MUTATED,8
Simple Past Tense,,The education establishment fought against common sense every inch of the way.,MUTATED,2
Simple Past Tense to Present Perfect Tense,,"The reasons have been complex, but one simple reason should not have been underestimated.",MUTATED,3
Simple Past Tense to Present Perfect Tense,,"Progressive education, as it has once been called, is far more interesting and agreeable to teachers than has disciplined instruction.",MUTATED,10
Present Perfect Tense to Simple Past Tense,,It was nice for teachers to think they were engaged in 'personality development' and even nicer to have minimized those irksome tests with often disappointing results.,MUTATED,11
Simple Past Tense to Present Perfect Tense,,"It also provides teachers with a superior self-definition as a `` profession , `` since they have passed courses in educational psychology and educational philosophy .",MUTATED,9
Simple Past Tense to Present Perfect Tense,,"I myself have taken such courses in college, thinking I might end up a schoolteacher.",MUTATED,6
Simple Present Tense,,They can all fairly be described as 'pap' courses.,MUTATED,3
Simple Past Tense,,"It was unfair to dump on teachers, as distinct from the educational establishment.",MUTATED,6
Simple Past Tense to Present Perfect Tense,,"I have known many schoolteachers and, on the whole, they have been seriously committed to conscientious teaching.",MUTATED,7
Simple Past Tense,,"They were not among the 'best and brightest' of their generation -- there were very few such people, by definition.",MUTATED,6
Simple Past Tense,,But they did not need to do their jobs well.,MUTATED,2
Simple Past Tense,,"Yes, we all remembered one or two truly inspiring teachers from our school days.",MUTATED,3
Simple Past Tense to Present Perfect Tense,,"But our education has been proceeding at the hands of those others, who have merely been competent and conscientious.",MUTATED,5
Simple Past Tense,,"In this sense, a teacher was often compared to one's family doctor.",MUTATED,3
Simple Past Tense to Present Perfect Tense,,"If he had been brilliant, he probably would not have become a family doctor in the first place.",MUTATED,2
Simple Past Tense,,"If he was competent and conscientious, he served us well.",MUTATED,3
Simple Past Tense,,Our teachers were not an important factor in our educational crisis.,MUTATED,5
Simple Past Tense to Present Perfect Tense,,Whether they have been or have not been underpaid is a problem of equity; it is not an educational problem.,MUTATED,3
Simple Future to Simple Present,,It is silly libel on our teachers to think they would educate our children better if only they get a few thousand dollars a year more.,MUTATED,11
Simple Past Tense,,"It was the kind of libel the teachers' unions did not mind spreading, for their own narrow purposes.",MUTATED,8
Present Perfect Tense to Simple Past Tense,,"It was also the kind of libel politicians found useful, as it helped them strike a friendly posture on behalf of an important constituency.",MUTATED,12
Simple Past Tense,,"There was not one shred of evidence that, other things being equal, salary differentials resulted in educational differentials.",MUTATED,8
,,,DUMP,
Simple Past Tense,,"If we wished to be serious about American education, we knew exactly what to do -- and, just as important, what not to do.",MUTATED,7
Simple Present to Present Continuous Tense,,"There are many successful schools scattered throughout this nation, some of them being in the poorest of ghettos, and they are all sending us the same message.",MUTATED,6
Simple Past Tense to Present Perfect Tense,,"Conversely, the majority of schools have been unsuccessful, and we know which efforts towards educational reform have been doomed beforehand.",MUTATED,9
Present Perfect Tense to Simple Present Tense,,"We really know all we need to know, if only we could assimilate this knowledge into our thinking.",MUTATED,6
Simple Past Tense,,"In this respect, it would have been helpful if our political leaders were silent, rather than eloquently 'concerned' in the past.",MUTATED,6
Simple Past Tense,,"They were inevitably inclined to echo the conventional pap, as it was the least controversial option open to them.",MUTATED,7
Simple Past Tense to Present Perfect Tense,,"Thus at the recent governors' conference on education, Gov. Bill Clinton of Arkansas has announced that 'this country needs a comprehensive child-development policy for children under five.'",MUTATED,11
Simple Future Tense,,A comprehensive development policy for governors over 30 will seem to be a more pressing need.,MUTATED,8
Simple Past Tense,,"What Gov. Clinton advocated, in effect, was extending the educational system down to the pre-kindergarten years.",MUTATED,4
Simple Past Tense to Simple Present Tense,,"Whether it is desirable or not, this is a child-care program, not an educational program.",MUTATED,3
Simple Past Tense to Present Perfect Tense,,"We have known that very early exposure to schooling improves performance in the first grade, but afterward the difference has quickly been washed away.",MUTATED,11
Simple Past Tense to Present Perfect Tense,,Let us sum up what we have come to know about education and about those education reforms that have worked and have not worked: -- 'Parental involvement' has proven to be a bad idea.,MUTATED,7
Simple Past Tense,,Parents were too likely to blame schools for the educational limitations of their children.,MUTATED,8
Simple Future Tense,,Parents will need to be involved in their children's education at home rather than at school.,MUTATED,5
Simple Past Tense to Present Perfect Tense,,They have seen to it that their kids do not play truant; they have made certain that the children have spent enough time doing homework; they have scrutinized the report card.,MUTATED,10
Simple Past Tense,,"If parents were dissatisfied with a school, they should have had the option of switching to another.",MUTATED,4
Simple Past Tense,,Community involvement was an even worse idea.,MUTATED,5
Simple Present to Present Continuous,,"Here, the experience of New York City is being decisive.",MUTATED,2
Simple Future Tense,,"Locally elected school boards, especially in our larger cities, will become the prey of ambitious, generally corrupt, and invariably demagogic local politicians or would-be politicians.",MUTATED,12
Simple Past Tense,,"New York tried to disengage itself from a 20-year-old commitment to this system of school governance, even as Chicago and other cities moved to institute it.",MUTATED,8
