mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Modifier mutation,,"Two years ago, the Rev. Jeremy Hummerstone, vicar of Great Torrington, Devon, got so utterly fed up with ringers who didn't attend service that he sacked the entire band; the ringers promptly set up a picket line in fierce protest.",MUTATED,13
Modifier mutation,,"They were an exclusive self-perpetuating club that treated the tower as sort of a strictly separate premises, the Vicar Hummerstone says.",MUTATED,7
Modifier mutation,,"An entirely new band rings excitedly today at Great Torrington, several of whom are active members of the congregation.",MUTATED,5
Modifier mutation,,But there still are not nearly enough ringers to ring more than six of the eight bells.,MUTATED,6
Modifier mutation,,"At St. Mary's Church in Ilminster, Somerset, the bells have recently fallen silent following a dust-up over church attendance.",MUTATED,7
,,,DUMP,
Modifier mutation,,"But C.J.B. Marshall, the vicar of a nearby church, strongly feels that the fault lies in the stairs, which are conveniently located next to the altar from the bell tower.",MUTATED,9
Modifier mutation,,"So crunchily, crunch, crunch, bang, bang, bang -- here they come, the ringers from above, making an exceedingly obvious exit as the congregation prays, he says.",MUTATED,10
Modifier mutation,,"Vicar Marshall openly admits to mixed feelings about this issue, since he is both a devoted vicar and an active bell-ringer himself.",MUTATED,6
Modifier mutation,,"The soothing sound of bells serves as a gentle net to draw people into the church, he says.",MUTATED,6
Modifier mutation,,I eagerly live in hopes that the ringers themselves will be drawn into that much fuller life.,MUTATED,6
Modifier mutation,,"The Central Council of Church Bell Ringers, a sort of parliament for various ringing groups, actively aims to improve relations with vicars, says John C. Baldwin, the president.",MUTATED,8
,,,DUMP,
,,,DUMP,
Modifier mutation,,Mr. Baldwin is also fervently attacking the greater problem: lack of ringers.,MUTATED,7
Modifier mutation,,"One survey suggests that, of the approximately 100,000 trained bellringers in England today, merely 40,000 of them continue to ring.",MUTATED,4
Modifier mutation,,"Also, the bells in small, rural parishes and inner-city churches do not always need to be rung by local ringers.",MUTATED,10
Modifier mutation,,"But the council's program to attract and train ringers is only marginally successful, says Mr. Baldwin.",MUTATED,9
Modifier mutation,,"Right now, we're especially lucky if after five years we manage to keep even one new ringer out of 10, he adds.",MUTATED,8
Modifier mutation,,"One significant bright sign is that an increasingly growing number of women have entered the once male-dominated field; more than a third of the ringers present today are, in fact, women.",MUTATED,11
Modifier mutation,,"They are, however, not accepted everywhere.",MUTATED,3
Modifier mutation,,"The oldest bell-ringing group in the country, the Ancient Society of College Youths, which was founded in 1637, still remains exclusively male, a fact that's especially galling to women since the group is the primary source of ringers for Britain's most prestigious churches, including St. Paul's Cathedral and Westminster Abbey.",MUTATED,13
Modifier mutation,,"This being Britain, no woman has yet filed an equal-opportunity suit, yet the full extent of the problem emerged this summer through a series of letters in 'The Ringing World,' a weekly newspaper cherished by ringers.",MUTATED,13
Modifier mutation,,"One writer, signing his letter rather confidently as 'Red-blooded, balanced male,' remarked on the 'startling frequency of women fainting in peals,' and suggested that they 'calmly settle back into their traditional role of making tea at meetings.'",MUTATED,17
,,,DUMP,
Modifier mutation,,"Another woman wrote from Sheffield to say that in her sixty years of dedicated ringing, `` I have never known a lady to faint in the belfry.",MUTATED,9
Modifier mutation,,"I have occasionally seen one or two men die, bless them.",MUTATED,4
Modifier mutation,,"Medical scientists are gradually starting to uncover a handful of genes which, if damaged, potentially unleash the chaotic growth of cells that characterizes cancer.",MUTATED,12
Modifier mutation,,Scientists say the recent discovery of these genes is painting an increasingly new and startling picture of how cancer develops.,MUTATED,10
Modifier mutation,,An emerging and rapidly evolving understanding of the genes is expected to produce a diverse array of new strategies for future cancer treatment and prevention.,MUTATED,12
Modifier mutation,,That is clearly for the future.,MUTATED,1
Modifier mutation,,"Already, scientists are actively developing tests based on the newly identified genes that, for the first time, can reliably predict whether an otherwise healthy individual is likely to develop cancer.",MUTATED,16
Modifier mutation,,"It's an incredibly exciting set of discoveries, says Bert Vogelstein, a renowned researcher from Johns Hopkins University who has just discovered a gene crucial for triggering colon cancer.",MUTATED,9
Modifier mutation,,"Only a decade ago, cancer remained a mysterious black box, about which we knew virtually nothing at the molecular level.",MUTATED,8
Modifier mutation,,"Today, we increasingly understand that the gradual accumulation of several specific altered genes can potentially initiate cancer and, subsequently, drive it towards a fatally aggressive state.",MUTATED,7
Modifier mutation,,"Scientists commonly call the new class of genes tumor-suppressors, or simply anti-cancer genes.",MUTATED,7
Modifier mutation,,"When functioning normally, they continuously make proteins that effectively hold a cell's growth in check.",MUTATED,7
Modifier mutation,,"But if the genes are significantly damaged -- perhaps by radiation, a chemical, or due to a random accident during cell division -- their growth-suppressing proteins no longer function properly, causing cells that would normally remain in check to turn malignant.",MUTATED,12
Modifier mutation,,The newly identified genes significantly differ from a family of genes discovered in the early 1980s called oncogenes.,MUTATED,9
Modifier mutation,,"Oncogenes necessarily need to be present for a cell to transform into a malignant state, yet researchers have discovered them in both normal and cancerous cells, intriguingly suggesting that oncogenes alone may not be the direct cause of cancer.",MUTATED,10
Modifier mutation,,"In recent months, researchers have increasingly come to believe that the two specific types of cancer genes work in concert: An oncogene may turn normally proliferating cells malignant only after the tumor-suppressor gene has been significantly damaged.",MUTATED,16
Modifier mutation,,"Like all genes, each tumor-suppressor gene is inherited in a pair of copies, with one from each parent.",MUTATED,4
Modifier mutation,,"Either copy can effectively make the proteins needed to control cell growth, thus for cancer to arise, both copies must be significantly impaired.",MUTATED,9
Modifier mutation,,"A person born with a single defective copy of a suppressor gene, or one who sustains damage to a copy early in life, is particularly susceptible to cancer since he merely needs to lose the remaining copy for cancer to potentially develop.",MUTATED,11
Modifier mutation,,"Emerging genetic tests will potentially be able to spot such cancer-susceptible individuals, potentially ushering in what some scientists believe is a new age of predictive cancer diagnosis.",MUTATED,13
Modifier mutation,,Bill and Bonnie Quinlan are likely the very first beneficiaries of the new findings.,MUTATED,4
Modifier mutation,,"The Dedham, Mass. couple knew even before Bonnie became pregnant in 1987 that any child of theirs had a relatively high 50% chance of being at risk for retinoblastoma, an eye cancer that occurs approximately once in every 20,000 births.",MUTATED,15
Modifier mutation,,"Mr. Quinlan, 30 years old, knew he carried a damaged gene, having unfortunately lost an eye to the rare tumor when he was only two months old -- after his mother had similarly suffered the same fate as a baby.",MUTATED,13
Modifier mutation,,"Because of the complete isolation of the retinoblastoma tumor-suppressor gene, it finally became possible last January to precisely determine what threat the Quinlan baby faced.",MUTATED,10
Modifier mutation,,"A recent test using new `` genetic probes `` has conclusively shown that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and, therefore, faced no additional risk compared to other children in developing the rare cancer.",MUTATED,16
Modifier mutation,,"It truly made our New Year, says Mr. Quinlan.",MUTATED,2
Modifier mutation,,This test was the first reliably to predict whether an individual could expect to develop cancer.,MUTATED,8
Modifier mutation,,"Equally important, the initial discovery of the gene controlling retinal cell growth, made by a renowned Boston doctor named Thaddeus Dryja, has significantly opened up a field of cancer study, which in recent months has rapidly exploded.",MUTATED,19
,,,DUMP,
Modifier mutation,,"All this may not be immediately obvious to the public, which is eagerly concerned about advances in treatment, but I am firmly convinced that this basic research will soon begin showing significant results there.",MUTATED,11
Modifier mutation,,"To date, scientists have specifically fingered two key cancer-suppressors.",MUTATED,1
Modifier mutation,,Dr. Dryja made a groundbreaking retinoblastoma discovery in 1986.,MUTATED,3
Modifier mutation,,"Then last spring, researchers reported the discovery of a gene called p53, which, when impaired, has the potential to transform healthy colon cells into cancerous ones.",MUTATED,12
Modifier mutation,,"Soon after that report, two additional research teams meticulously uncovered evidence indicating that the same damaged p53 gene is consistently present in tissue from both lung and breast cancers.",MUTATED,12
Modifier mutation,,"Colon, lung, and breast cancers are among the most prevalent and deadliest forms of the disease, collectively resulting in the deaths of nearly 200,000 Americans each year.",MUTATED,10
Modifier mutation,,"Right now, approximately a dozen high-tech laboratories in the U.S., Canada, and Britain are eagerly racing to uncover other potential tumor-suppressing genes.",MUTATED,10
Modifier mutation,,They approximately have seven candidates.,MUTATED,0
Modifier mutation,,"Researchers say that the inactivation of tumor-suppressor genes, either alone or in specific combinations, seems to play a crucial role in the development of various forms of cancer, including those affecting the brain, skin, kidney, prostate, and cervix.",MUTATED,13
Modifier mutation,,"There is compelling evidence that if people inherit seriously defective versions of these genes, they are especially vulnerable to cancer, perhaps ultimately explaining why some cancers seem to persistently haunt certain families.",MUTATED,14
Modifier mutation,,"The story of tumor-suppressor genes dates back to the mid-1970s, when a renowned pediatrician named Alfred G. Knudson Jr. first proposed that retinoblastoma could arise from two distinct genetic defects.",MUTATED,8
Modifier mutation,,"He speculated that in some eye cancers, an infant might inherit a defective copy of a gene from one parent and a healthy copy from the other.",MUTATED,7
Modifier mutation,,"The tumor, he suggested, may have developed when the second, seemingly normal copy was also damaged.",MUTATED,8
Modifier mutation,,But there was simply no way to prove Dr. Knudson's `` two-hit `` theory.,MUTATED,3
Modifier mutation,,"Back then, scientists had no precise way to isolate specific genes, yet under a powerful microscope they could visualize the 23 pairs of chromosomes within the cells that contain those genes.",MUTATED,11
Modifier mutation,,"Occasionally, clearly visible gross chromosome damage was observed.",MUTATED,5
Modifier mutation,,Dr. Knudson discovered that certain children afflicted with eye cancer had inherited a faulty copy of chromosome No. 13 from a parent previously affected by the disease.,MUTATED,8
Modifier mutation,,"Under a powerful microscope, he could actually notice that a significant bit of chromosome 13 was missing.",MUTATED,5
Modifier mutation,,He assumed that the missing piece likely contained a gene or genes whose loss played a critical role in triggering the cancer.,MUTATED,9
Modifier mutation,,But he did not exactly know which gene or genes had disappeared.,MUTATED,2
Modifier mutation,,"Then, a scientific team, led by the renowned molecular geneticist Webster Cavenee, based at the University of Utah, ultimately found the answer.",MUTATED,8
Modifier mutation,,"The team effectively used a battery of the newly developed `` gene probes , `` snippets of genetic material that can precisely track a gene 's presence in a cell .",MUTATED,12
Modifier mutation,,"By meticulously analyzing cells extracted from eye tumors, they pinpointed defects in the second copy of chromosome 13 in the precise area corresponding to the first copy of the chromosome.",MUTATED,11
Modifier mutation,,The significant finding captivated modern medicine.,MUTATED,2
Modifier mutation,,It was the first time anyone had clearly showed that the loss of both copies of the same gene could potentially lead to the eruption of a cancer.,MUTATED,10
Modifier mutation,,"It was extraordinarily and unexpectedly satisfying, says Dr. Knudson, now working at Fox Chase Cancer Research Center in Philadelphia.",MUTATED,4
Modifier mutation,,I was thoroughly convinced that what was truly true of retinoblastoma would likely be true for all other cancers.,MUTATED,3
Modifier mutation,,It truly was an audacious claim.,MUTATED,2
Modifier mutation,,"But in Baltimore, Dr. Vogelstein, a young and brilliant molecular biologist at Johns Hopkins Medical School, firmly believed that Dr. Knudson was right, and diligently set out to repeat the Cavenee experiment in cells from various other cancers.",MUTATED,10
Modifier mutation,,"His was one of two prominent research teams in 1984 to report the dual chromosome losses in a rare form of childhood cancer affecting the kidney, known as Wilm's tumor.",MUTATED,11
Modifier mutation,,"Dr. Vogelstein next turned his careful attention to colon cancer, which is the second largest cancer killer in the U.S., following lung cancer.",MUTATED,8
Modifier mutation,,"He believed that colon cancer might also gradually arise from multiple `` hits `` on cancer suppressor genes, because it often seems to develop in a series of stages.",MUTATED,10
Modifier mutation,,"It is often preceded by the gradual development of polyps in the bowel, which in certain cases become increasingly aggressive in clearly identifiable stages -- progressing from relatively less severe to potentially deadly -- as if a sequence of accumulating genetic damage might be occurring.",MUTATED,15
Modifier mutation,,"Dr. Vogelstein and his doctoral student, Eric Fearon, embarked on months of meticulous and frequently frustrating probing of the chromosomes in search of signs of genetic damage.",MUTATED,10
Modifier mutation,,"They gradually began uncovering a confusing variety of genetic deletions, some exclusively existing in benign polyps, others in malignant cells, and many in both types of polyps and malignant cells.",MUTATED,9
Modifier mutation,,"Gradually, a more coherent picture of the complexities in cancer development emerged.",MUTATED,6
Modifier mutation,,"If both copies of a certain critical gene were knocked out, eventually benign polyps would develop.",MUTATED,5
Modifier mutation,,"If both copies of a second critical gene were subsequently deleted, the polyps could progress to malignancy.",MUTATED,7
Modifier mutation,,It was clear that significantly more than one gene had to be damaged for colon cancer to develop.,MUTATED,7
Modifier mutation,,Their groundbreaking report galvanized other molecular biologists.,MUTATED,5
Modifier mutation,,"It was the crucial confirming evidence we all needed to establish that gene losses were critical in the development of a common tumor, `` says Ray White at Howard Hughes Medical Institute in Salt Lake City.",MUTATED,10
Modifier mutation,,"But Dr. Vogelstein had not yet conclusively identified the gene that, when damaged, triggered a colon cell's transformation into full-blown malignancy.",MUTATED,7
Modifier mutation,,They specifically focused on chromosome 17.,MUTATED,1
Modifier mutation,,"For months, the dedicated Johns Hopkins researchers meticulously used gene probes to experimentally trace the length of chromosome 17, searching for the smallest common bit of genetic material that is typically lost in all tumor cells.",MUTATED,14
Modifier mutation,,Such a piece of DNA could likely constitute a gene.,MUTATED,4
Modifier mutation,,"When they finally found it last winter, Dr. Vogelstein was dubious if the search was truly over.",MUTATED,5
Modifier mutation,,"His considerable doubts stemmed from the fact that several years earlier a Princeton University researcher, Arnold Levine, had discovered in rigorous experiments with mice that a gene called p53 could transform normal cells into cancerous ones.",MUTATED,16
Modifier mutation,,Dr. Vogelstein discovered the deletion in precisely the identical spot as p53.,MUTATED,1
Modifier mutation,,"But Mr. Levine had repeatedly said that the p53 gene caused cancer by actively promoting growth, whereas the dedicated scientists at Johns Hopkins were diligently looking for a gene that specifically suppressed tumor growth.",MUTATED,9
Modifier mutation,,"Despite that, when the Johns Hopkins scientists meticulously compared the gene they had discovered in human cancer cells with Mr. Levine's p53 gene, they discovered the two were identical; it turned out that in Mr. Levine's cancer studies, he had unknowingly been observing a slightly altered form of p53 -- a cancer-suppressing gene.",MUTATED,11
Modifier mutation,,"The discovery quite suddenly puts an obscure gene directly in the cockpit of cancer formation, says Robert Weinberg, a prominent leader in cancer-gene research at Whitehead Institute in Cambridge, Mass.",MUTATED,10
Modifier mutation,,Evidence is now increasingly emerging to suggest that the p53 suppressor gene is also involved in other types of cancers.,MUTATED,6
Modifier mutation,,"Researchers in Edinburgh, Scotland, have discovered that in 23 out of 38 breast tumors, a single copy of chromosome 17 exhibited a mutation in the precise location of the p53 gene.",MUTATED,6
Modifier mutation,,"The scientists say that breast cancer frequently strikes multiple members of certain families, suggesting that the gene, when inherited in a defective form, may particularly predispose women to the cancer.",MUTATED,13
Modifier mutation,,The p53 gene has only recently been implicated in lung cancer.,MUTATED,4
Modifier mutation,,"In a report published last week, John Minna and colleagues at the National Cancer Institute reportedly say that approximately half the cells sampled from lung cancer tissue they tested lack this gene.",MUTATED,11
Modifier mutation,,"There also are preliminary reports from several labs, as yet unpublished, detailing missing p53 genes in tissue samples taken from kidney, brain, and skin cancers.",MUTATED,12
Modifier mutation,,"Simultaneously, the Johns Hopkins team and others are eagerly rushing to identify additional tumor-suppressor genes.",MUTATED,3
Modifier mutation,,"Dr. Vogelstein hopes to soon isolate one on chromosome 18, which is also involved in colon cancer.",MUTATED,7
Modifier mutation,,"Ray White in Utah and Walter Bodmer, a leading researcher in Great Britain, are closely approaching the discovery of another gene involved with certain types of colon cancer, believed to be located on chromosome 5.",MUTATED,7
Modifier mutation,,"Dr. Minna firmly believes that people who inherit a defective gene, somewhere on one of their two copies of chromosome 3, are particularly susceptible to lung cancer.",MUTATED,10
Modifier mutation,,"Recently, he and others have also reported that the retinoblastoma suppressor gene is potentially involved in certain aggressive lung cancers, along with several other frequently occurring cancers.",MUTATED,8
Modifier mutation,,"Where exactly these discoveries will lead, scientists can only vaguely speculate.",MUTATED,5
Modifier mutation,,"Already, two major pharmaceutical companies, including the Squibb unit of Bristol-Myers Squibb Co. and Hoffmann-La Roche Inc., actively collaborate with gene hunters to transform the anticipated cascade of discoveries into predictive tests and, perhaps, innovative new therapies.",MUTATED,14
Modifier mutation,,"Some researchers claim that new cancer drugs, which potentially slow or reverse tumor growth, are likely based on the suppressor proteins that are normally produced by the genes.",MUTATED,13
Modifier mutation,,"The idea would be to carefully administer growth-controlling proteins, made by healthy versions of the damaged genes, to patients.",MUTATED,8
Modifier mutation,,"It may even be remotely possible to replace defective genes with healthier versions, though no one has come close to doing that so far.",MUTATED,5
Modifier mutation,,"In any case, Dr. Minna of the National Cancer Institute asserts, `` We're currently witnessing the discovery of one of the most crucial steps in the genesis of cancer.",MUTATED,6
Modifier mutation,,"Why can not we effectively teach our children to read, write, and reckon?",MUTATED,5
Modifier mutation,,"It's not that we do not know how to, because we actually do.",MUTATED,1
Modifier mutation,,It's simply that we do not want to.,MUTATED,1
Modifier mutation,,"And the primary reason we do not want to is that truly effective education would necessarily require us to relinquish certain deeply cherished metaphysical beliefs regarding human nature, both in its general sense and especially in the case of young people, as well as to challenge some strongly held vested interests.",MUTATED,14
Modifier mutation,,"These beliefs so thoroughly dominate our educational establishment, our media, our politicians, and even our parents that it seems almost blasphemous to challenge them.",MUTATED,12
Modifier mutation,,Here is a simple example.,MUTATED,2
,,,DUMP,
Modifier mutation,,But what do we specifically mean by `` creativity ``?,MUTATED,3
Modifier mutation,,No one can truly say.,MUTATED,2
,,,DUMP,
Modifier mutation,,The result is a generation of young people whose ignorance and intellectual incompetence is alarmingly matched only by their exceedingly good opinion of themselves.,MUTATED,11
Modifier mutation,,"The whole notion of `` creativity `` in education was ( and is ) an essential part of a passionate rebellion against rigidly authoritarian instruction, which was ( and is ) seen as a suppressor and source of frustration for the latent talents and the vast, if yet untapped, potentialities inherent in the impressionable souls of all our children.",MUTATED,14
Modifier mutation,,It is not at all surprising that parents find this romantic extravagance incredibly attractive.,MUTATED,4
Modifier mutation,,"Fortunately, these same parents genuinely want their children to receive a decent education as traditionally understood, and they have enough common sense to fully grasp what that demands.",MUTATED,9
Modifier mutation,,Their unwavering commitment to `` creativity `` simply cannot survive the pervasive adolescent illiteracy.,MUTATED,4
Modifier mutation,,American education's future will likely be determined by the extent to which we — all of us — permit this common sense to prevail over the illusions that we also collectively hold.,MUTATED,6
Modifier mutation,,The education establishment will doggedly fight against common sense every inch of the way.,MUTATED,3
Modifier mutation,,"The reasons are indeed complex, yet one simple reason should not be underestimated.",MUTATED,3
Modifier mutation,,"Progressive education, as it was once called, is not only far more interesting but also more agreeable to teachers than is disciplined instruction.",MUTATED,10
Modifier mutation,,It is truly nice for teachers to believe they are engaged in 'personality development' and even nicer to effectively minimize those irksome tests with their often disappointing outcomes.,MUTATED,9
Modifier mutation,,"It also provides teachers with an enhanced sense of self as a `` profession , `` considering they have successfully completed advanced courses in educational psychology and philosophy.",MUTATED,8
Modifier mutation,,"I myself eagerly took such courses in college, thinking I might end up a schoolteacher.",MUTATED,6
Modifier mutation,,They could all quite fairly be described as `` pap `` courses.,MUTATED,3
Modifier mutation,,"But it is truly unfair to dump on teachers, as distinct from the educational establishment.",MUTATED,6
Modifier mutation,,"I know many schoolteachers and, on the whole, they are quite seriously committed to diligent teaching.",MUTATED,6
Modifier mutation,,"They may not be among the very best and brightest of their generation -- there are, by definition, very few such people.",MUTATED,7
Modifier mutation,,But they need not necessarily be to do their jobs well.,MUTATED,2
Modifier mutation,,"Yes, we all can vividly remember one or two truly inspiring teachers from our school days.",MUTATED,3
Modifier mutation,,"But our education proceeded quite smoothly at the hands of those others, who were merely competent and conscientious.",MUTATED,5
Modifier mutation,,"In this particular sense, a dedicated teacher can be likened to one's trusted family doctor.",MUTATED,2
Modifier mutation,,"If he were truly brilliant, he would likely not have become a family doctor in the first place.",MUTATED,1
Modifier mutation,,"If he is truly competent and deeply conscientious, he serves us exceedingly well.",MUTATED,4
Modifier mutation,,Our teachers are a crucial factor in our ongoing educational crisis.,MUTATED,4
Modifier mutation,,Whether they are significantly underpaid is indeed a problem of equity; it is not merely an educational problem.,MUTATED,3
Modifier mutation,,It is truly silly libel on our teachers to think they would educate our children more effectively if only they got a few thousand dollars a year extra.,MUTATED,11
Modifier mutation,,"It is the kind of libel the teachers' unions gleefully spread for their own narrow purposes, not minding the consequences.",MUTATED,8
Modifier mutation,,"It is also the kind of libel that politicians particularly find useful, since it consistently helps them strike a friendly posture on behalf of an important constituency.",MUTATED,13
Modifier mutation,,"But there is not one shred of concrete evidence that, other things being equal, significant salary differentials necessarily result in substantial educational differentials.",MUTATED,8
Modifier mutation,,"If there were such compelling evidence, you can be absolutely sure you would have heard of it.",MUTATED,3
Modifier mutation,,"If we genuinely wish to be serious about American education, we know precisely what actions to take -- and, just as crucially, what mistakes to avoid.",MUTATED,6
Modifier mutation,,"There are numerous successful schools scattered across this nation, some even in the poorest of ghettos, and they are all conveying the identical message to us.",MUTATED,4
Modifier mutation,,"Conversely, there are still the majority of unsuccessful schools, and we can clearly know which efforts towards educational reform are ultimately doomed.",MUTATED,9
Modifier mutation,,"We really do know all we need to know, if only we could effectively assimilate this knowledge into our thinking.",MUTATED,6
,,,DUMP,
Modifier mutation,,"They are inevitably and naturally inclined to echo the conventional pap, since this is by far the least controversial option that remains open to them.",MUTATED,7
,,,DUMP,
Modifier mutation,,A more comprehensive development policy for governors over 30 would seem to be an even pressing need.,MUTATED,8
Modifier mutation,,"What Gov. Clinton is actively advocating, in effect, is the extensive extension of the educational system down to the pre-kindergarten years.",MUTATED,3
Modifier mutation,,"Whether highly desirable or not, this is an exclusively child-care program, not a purely educational one.",MUTATED,3
,,,DUMP,
Modifier mutation,,Let us succinctly sum up what we do know about education and about those education reforms that actually work and those that do not: -- 'Parental involvement' is indeed a bad idea.,MUTATED,7
Modifier mutation,,Parents are also too likely to solely blame schools for the educational limitations of their children.,MUTATED,8
Modifier mutation,,"Parents should actively be involved with their children's education at home, not merely in school.",MUTATED,5
Modifier mutation,,They should diligently ensure that their kids do not play truant; they should make certain that the children spend enough time on homework; they should thoroughly scrutinize the report card.,MUTATED,10
Modifier mutation,,"If parents are seriously dissatisfied with a school, they should always have the option of switching to another.",MUTATED,4
Modifier mutation,,Community involvement is an even more detrimental idea.,MUTATED,4
Modifier mutation,,"Here, the decisive factor is the experience of New York City.",MUTATED,2
Modifier mutation,,"Locally elected school boards, especially in our larger cities, invariably become targets of ambitious, generally corrupt, and demagogic local politicians or aspiring would-be politicians.",MUTATED,12
Modifier mutation,,"New York is gradually trying to disengage itself from a 20-year-old commitment to this system of school governance, even as Chicago and other cities are swiftly moving to institute it.",MUTATED,8
Modifier mutation,,"In most states, substantially increasing expenditures on education, given our current circumstances, will likely make things worse, not better.",MUTATED,8
Modifier mutation,,"The reason is quite simple: Education primarily takes place in the classroom, where the influence of money remains minimal.",MUTATED,7
Modifier mutation,,Decades of comprehensive educational research clearly tell us that even significantly smaller classes have negligible effects on the academic performance of pupils -- yet they may occasionally be preferred for other reasons.,MUTATED,13
Modifier mutation,,"The new money rapidly flows into the already top-heavy administrative structure, which busily忙 itself piling even more paper work on the teachers.",MUTATED,10
Modifier mutation,,There is not only mystery but also paradox in the fact that as educational expenditures ( in real terms ) have increased sharply in the past quarter-of-a-century -- we now spend substantially more per pupil than any other country in the world -- educational performance has declined.,MUTATED,16
Modifier mutation,,That is exactly the way the system operates.,MUTATED,1
