sentence.id,sentence,instance
senseval2.d000.s018,"Change-ringing , a mind-boggling exercise the English invented 380 years ago , requires physical dexterity -- some bells weigh more than a ton -- combined with intense mental concentration .","['Change-ringing', 'mind-boggling', 'English', 'invented', 'years', 'ago', 'requires', 'physical', 'dexterity', 'bells', 'weigh', 'more', 'ton', 'combined', 'intense', 'mental', 'concentration']"
senseval2.d000.s019,"Proper English bells are started off in `` rounds , `` from the highest-pitched bell to the lowest -- a simple descending scale using , in larger churches , as many as 12 bells .","['bells', 'started', 'rounds', 'highest-pitched', 'lowest', 'simple', 'descending', 'scale', 'using', 'larger', 'churches', 'many']"
senseval2.d000.s020,"Then , at a signal , the ringers begin varying the order in which the bells sound without altering the steady rhythm of the striking .","['Then', 'signal', 'ringers', 'begin', 'varying', 'order', 'bells', 'sound', 'altering', 'steady', 'rhythm', 'striking']"
senseval2.d000.s021,"Each variation , or change , can occur only once , the rules state .","['variation', 'change', 'occur', 'only', 'once', 'rules']"
senseval2.d000.s022,"Ringers memorize patterns of changes , known as `` methods , `` which have odd-sounding names like Kent Treble Bob Major or Grandsire Caters .","['Ringers', 'memorize', 'patterns', 'changes', 'known', 'methods', 'names']"
senseval2.d000.s023,"A series of 5,000 or so changes is a `` peal `` and takes about three hours .","['series', 'so', 'changes', 'takes', 'hours']"
senseval2.d000.s024,A look at a Thursday night practice at St. Mary Abbot church in the Kensington district of London gives an idea of the work involved .,"['look', 'Thursday', 'night', 'practice', 'church', 'district', 'gives', 'idea', 'work', 'involved']"
senseval2.d000.s025,"Ten shirt-sleeved ringers stand in a circle , one foot ahead of the other in a prize-fighter 's stance , each pulling a rope that disappears through a small hole in the high ceiling of the ringing chamber .","['ringers', 'stand', 'circle', 'foot', 'ahead', 'prize-fighter', 'stance', 'pulling', 'rope', 'small', 'hole', 'high', 'ceiling', 'chamber']"
senseval2.d000.s026,"No one speaks , and the snaking of the ropes seems to make as much sound as the bells themselves , muffled by the ceiling .","['speaks', 'ropes', 'seems', 'make', 'much', 'sound', 'bells', 'muffled', 'ceiling']"
senseval2.d000.s027,"Totally absorbed , the ringers stare straight ahead , using peripheral vision ( they call it `` rope-sight `` ) to watch the other ropes and thus time their pulls .","['Totally', 'absorbed', 'ringers', 'stare', 'ahead', 'using', 'call', 'watch', 'other', 'ropes', 'thus', 'pulls']"
senseval2.d000.s028,"Far above in the belfry , the huge bronze bells , mounted on wheels , swing madly through a full 360 degrees , starting and ending , surprisingly , in the inverted , or mouth-up position .","['belfry', 'huge', 'bronze', 'bells', 'mounted', 'wheels', 'swing', 'madly', 'full', 'degrees', 'starting', 'ending', 'surprisingly', 'inverted', 'position']"
senseval2.d000.s029,"Skilled ringers use their wrists to advance or retard the next swing , so that one bell can swap places with another in the following change .","['Skilled', 'ringers', 'use', 'wrists', 'advance', 'retard', 'swing', 'bell', 'swap', 'places', 'change']"
senseval2.d000.s030,"In a well-known detective-story involving church bells , English novelist Dorothy L. Sayers described ringing as a `` passion that finds its satisfaction in mathematical completeness and mechanical perfection . ``","['well-known', 'detective-story', 'involving', 'church', 'bells', 'English', 'novelist', 'described', 'passion', 'finds', 'satisfaction', 'mathematical', 'completeness', 'mechanical', 'perfection']"
senseval2.d000.s031,"Ringers , she added , are `` filled with the solemn intoxication that comes of intricate ritual faultlessly performed . `` ``","['Ringers', 'added', 'filled', 'comes', 'intricate', 'faultlessly', 'performed']"
senseval2.d000.s032,"Ringing does become a bit of an obsession , `` admits Stephanie Pattenden , master of the band at St. Mary Abbot and one of England 's best female ringers .","['become', 'bit', 'obsession', 'admits', 'master', 'band', 'England', 'best', 'female', 'ringers']"
senseval2.d000.s033,"It is a passion that usually stays in the tower , however .","['passion', 'usually', 'stays', 'tower', 'however']"
senseval2.d000.s034,"More often than not , ringers think of the church as something stuck on the bottom of the belfry .","['More', 'often', 'ringers', 'church', 'bottom', 'belfry']"
senseval2.d000.s035,"When their changes are completed , and after they have worked up a sweat , ringers often skip off to the local pub , leaving worship for others below .","['changes', 'completed', 'sweat', 'ringers', 'often', 'skip', 'local', 'pub', 'leaving', 'worship']"
senseval2.d000.s036,This does not sit well with some clerics .,"['well', 'clerics']"
senseval2.d000.s037,"With membership of the Church of England steadily dwindling , strong-willed vicars are pressing equally strong-willed and often non-religious ringers to attend services .","['membership', 'steadily', 'dwindling', 'strong-willed', 'vicars', 'pressing', 'equally', 'often', 'ringers', 'attend', 'services']"
senseval2.d000.s038,"Two years ago , the Rev. Jeremy Hummerstone , vicar of Great Torrington , Devon , got so fed up with ringers who did n't attend service he sacked the entire band ; the ringers promptly set up a picket line in protest .","['years', 'ago', 'vicar', 'got', 'so', 'ringers', 'attend', 'service', 'sacked', 'entire', 'band', 'promptly', 'protest']"
senseval2.d000.s039,"`` They were a self-perpetuating club that treated the tower as sort of a separate premises , `` the Vicar Hummerstone says .","['club', 'treated', 'tower', 'sort', 'separate', 'premises', 'says']"
senseval2.d000.s040,"An entirely new band rings today at Great Torrington , several of whom are members of the congregation .","['new', 'band', 'today', 'members', 'congregation']"
senseval2.d000.s041,But there still are not enough ringers to ring more than six of the eight bells .,"['still', 'enough', 'ringers', 'ring', 'more', 'bells']"
senseval2.d000.s042,"At St. Mary 's Church in Ilminster , Somerset , the bells have fallen silent following a dust-up over church attendance .","['bells', 'fallen', 'silent', 'following', 'dust-up', 'church', 'attendance']"
senseval2.d000.s043,"The vicar , W.D. Jones , refuses to talk about it , saying it would `` reopen the wound . ``","['vicar', 'refuses', 'saying']"
senseval2.d000.s044,"But C.J.B. Marshall , vicar of a nearby church , feels the fault is in the stairs from the bell tower that are located next to the altar .","['vicar', 'nearby', 'church', 'feels', 'fault', 'stairs', 'located', 'next', 'altar']"
senseval2.d000.s045,"`` So crunch , crunch , crunch , bang , bang , bang -- here come the ringers from above , making a very obvious exit while the congregation is at prayer , `` he says .","['So', 'bang', 'here', 'come', 'ringers', 'making', 'very', 'obvious', 'exit', 'congregation', 'prayer', 'says']"
senseval2.d000.s046,"Vicar Marshall admits to mixed feelings about this issue , since he is both a vicar and an active bell-ringer himself .","['admits', 'feelings', 'issue', 'vicar', 'active', 'bell-ringer']"
senseval2.d000.s047,"`` The sound of bells is a net to draw people into the church , `` he says .","['sound', 'bells', 'draw', 'people', 'church', 'says']"
senseval2.d000.s048,`` I live in hopes that the ringers themselves will be drawn into that fuller life . ``,"['live', 'hopes', 'ringers', 'drawn', 'fuller', 'life']"
senseval2.d000.s049,"The Central Council of Church Bell Ringers , a sort of parliament of ringing groups , aims to improve relations with vicars , says John C. Baldwin , president .","['sort', 'parliament', 'groups', 'improve', 'relations', 'vicars', 'says', 'president']"
senseval2.d000.s050,"It hopes to speak to students at theological colleges about the joys of bell ringing and will shortly publish a booklet for every vicar in the country entitled , `` The Bells in Your Care . ``","['hopes', 'speak', 'students', 'theological', 'colleges', 'joys', 'shortly', 'publish', 'booklet', 'vicar', 'country', 'entitled', 'Bells', 'Care']"
senseval2.d000.s051,"Says Mr. Baldwin , `` We recognize that we may no longer have as high a priority in church life and experience . ``","['Says', 'Mr.', 'recognize', 'no', 'longer', 'high', 'priority', 'church', 'life', 'experience']"
senseval2.d000.s052,Mr. Baldwin is also attacking the greater problem : lack of ringers .,"['Mr.', 'also', 'attacking', 'greater', 'problem', 'lack', 'ringers']"
senseval2.d000.s053,"One survey says that of the 100,000 trained bellringers in England today , only 40,000 of them still ring .","['survey', 'says', 'bellringers', 'England', 'today', 'only', 'still']"
senseval2.d000.s054,"Also , ringers do not always live where the bells need to be rung -- like in small , rural parishes and inner-city churches .","['Also', 'ringers', 'always', 'live', 'bells', 'need', 'rung', 'small', 'rural', 'parishes', 'inner-city']"
senseval2.d000.s055,"But the council 's program to attract and train ringers is only partly successful , says Mr. Baldwin .","['council', 'program', 'attract', 'train', 'ringers', 'only', 'partly', 'successful', 'says', 'Mr.']"
senseval2.d000.s056,"`` Right now , we 're lucky if after five years we keep one new ringer out of 10 , `` he adds .","['Right', 'now', 'lucky', 'years', 'keep', 'new', 'ringer', 'adds']"
senseval2.d000.s057,One bright sign is that a growing number of women have entered the once male-dominated field ; more than a third of the ringers today are women .,"['bright', 'sign', 'growing', 'number', 'women', 'entered', 'once', 'field', 'more', 'ringers', 'today']"
senseval2.d000.s058,"They are not accepted everywhere , however .","['accepted', 'everywhere', 'however']"
senseval2.d000.s059,"The oldest bell-ringing group in the country , the Ancient Society of College Youths , founded in 1637 , remains male-only , a fact that 's particularly galling to women because the group is the sole source of ringers for Britain 's most prestigious churches , St. Paul 's Cathedral and Westminster Abbey .","['group', 'country', 'founded', 'remains', 'fact', 'particularly', 'galling', 'women', 'source', 'ringers', 'Britain', 'most', 'prestigious', 'churches']"
senseval2.d000.s060,"This being Britain , no woman has filed an equal-opportunity suit , but the extent of the problem surfaced this summer in a series of letters to `` The Ringing World , `` a weekly newspaper for ringers .","['Britain', 'woman', 'filed', 'equal-opportunity', 'suit', 'extent', 'problem', 'surfaced', 'summer', 'series', 'letters', 'weekly', 'newspaper', 'ringers']"
senseval2.d000.s061,"One writer , signing his letter as `` Red-blooded , balanced male , `` remarked on the `` frequency of women fainting in peals , `` and suggested that they `` settle back into their traditional role of making tea at meetings . ``","['writer', 'signing', 'letter', 'Red-blooded', 'balanced', 'male', 'remarked', 'frequency', 'women', 'fainting', 'suggested', 'settle', 'back', 'traditional', 'role', 'making', 'tea', 'meetings']"
senseval2.d000.s062,"In the torrent of replies that followed , one woman ringer from Solihull observed that `` the average male ringer leaves quite a lot to be desired : badly dressed , decorated with acne and a large beer-belly , frequently unwashed and unbearably flatulent in peals . ``","['torrent', 'replies', 'followed', 'woman', 'ringer', 'observed', 'average', 'male', 'leaves', 'quite', 'lot', 'desired', 'badly', 'dressed', 'decorated', 'acne', 'large', 'frequently', 'unwashed']"
senseval2.d000.s063,"Another women wrote from Sheffield to say that in her 60 years of ringing , `` I have never known a lady to faint in the belfry .","['women', 'wrote', 'say', 'years', 'never', 'known', 'lady', 'faint', 'belfry']"
senseval2.d000.s064,"I have seen one or two men die , bless them .","['seen', 'men', 'die', 'bless']"
senseval2.d001.s000,"Medical scientists are starting to uncover a handful of genes which , if damaged , unleash the chaotic growth of cells that characterizes cancer .","['Medical', 'scientists', 'starting', 'handful', 'genes', 'damaged', 'unleash', 'chaotic', 'growth', 'cells', 'characterizes', 'cancer']"
senseval2.d001.s001,Scientists say the discovery of these genes in recent months is painting a new and startling picture of how cancer develops .,"['Scientists', 'say', 'discovery', 'genes', 'recent', 'months', 'painting', 'new', 'startling', 'cancer', 'develops']"
senseval2.d001.s002,An emerging understanding of the genes is expected to produce an array of new strategies for future cancer treatment and prevention .,"['emerging', 'understanding', 'genes', 'expected', 'produce', 'array', 'new', 'strategies', 'future', 'cancer', 'treatment', 'prevention']"
senseval2.d001.s003,That is for the future .,['future']
senseval2.d001.s004,"Already , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .","['Already', 'scientists', 'developing', 'tests', 'based', 'newly', 'identified', 'genes', 'first', 'time', 'predict', 'otherwise', 'healthy', 'individual', 'likely', 'get', 'cancer']"
senseval2.d001.s005,"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer .","['set', 'discoveries', 'says', 'researcher', 'just', 'found', 'gene', 'pivotal', 'triggering', 'colon', 'cancer']"
senseval2.d001.s006,`` Only a decade ago cancer was a black box about which we knew nothing at the molecular level .,"['Only', 'decade', 'ago', 'cancer', 'knew', 'nothing', 'molecular', 'level']"
senseval2.d001.s007,"Today , we know that the accumulation of several of these altered genes can initiate a cancer and , then , propel it into a deadly state . ``","['Today', 'know', 'accumulation', 'altered', 'genes', 'initiate', 'cancer', 'then', 'propel', 'deadly', 'state']"
senseval2.d001.s008,"Scientists call the new class of genes tumor-suppressors , or simply anti-cancer genes .","['Scientists', 'call', 'new', 'class', 'genes', 'simply', 'anti-cancer']"
senseval2.d001.s009,"When functioning normally , they make proteins that hold a cell 's growth in check .","['functioning', 'normally', 'make', 'proteins', 'hold', 'cell', 'growth']"
senseval2.d001.s010,"But if the genes are damaged -- perhaps by radiation , a chemical or through a chance accident in cell division -- their growth-suppressing proteins no longer work , and cells normally under control turn malignant .","['genes', 'damaged', 'perhaps', 'radiation', 'chemical', 'accident', 'cell', 'division', 'longer', 'normally', 'turn', 'malignant']"
senseval2.d001.s011,The newly identified genes differ from a family of genes discovered in the early 1980s called oncogenes .,"['newly', 'identified', 'genes', 'differ', 'family', 'discovered', 'early', 'called', 'oncogenes']"
senseval2.d001.s012,"Oncogenes must be present for a cell to become malignant , but researchers have found them in normal as well as in cancerous cells , suggesting that oncogenes do n't cause cancer by themselves .","['Oncogenes', 'present', 'cell', 'become', 'malignant', 'researchers', 'found', 'normal', 'cancerous', 'suggesting', 'cause', 'cancer']"
senseval2.d001.s013,"In recent months , researchers have come to believe the two types of cancer genes work in concert : An oncogene may turn proliferating cells malignant only after the tumor-suppressor gene has been damaged .","['recent', 'months', 'researchers', 'come', 'believe', 'types', 'cancer', 'genes', 'work', 'oncogene', 'turn', 'proliferating', 'cells', 'malignant', 'only', 'damaged']"
senseval2.d001.s014,"Like all genes , tumor-suppressor genes are inherited in two copies , one from each parent .","['genes', 'inherited', 'copies', 'parent']"
senseval2.d001.s015,"Either copy can make the proteins needed to control cell growth , so for cancer to arise , both copies must be impaired .","['copy', 'make', 'proteins', 'needed', 'control', 'cell', 'growth', 'cancer', 'arise']"
senseval2.d001.s016,"A person who is born with one defective copy of a suppressor gene , or in whom one copy is damaged early in life , is especially prone to cancer because he need only lose the other copy for a cancer to develop .","['person', 'born', 'defective', 'copy', 'damaged', 'early', 'life', 'especially', 'cancer', 'need', 'only', 'lose', 'other', 'develop']"
senseval2.d001.s017,"Emerging genetic tests will be able to spot such cancer-susceptible individuals , ushering in what some scientists believe is a new age of predictive cancer diagnosis .","['genetic', 'tests', 'able', 'spot', 'such', 'individuals', 'scientists', 'believe', 'new', 'age', 'predictive', 'cancer', 'diagnosis']"
senseval2.d001.s018,Bill and Bonnie Quinlan are among the first beneficiaries of the new findings .,"['first', 'beneficiaries', 'new', 'findings']"
senseval2.d001.s019,"The Dedham , Mass. , couple knew even before Bonnie became pregnant in 1987 that any child of theirs had a 50 % chance of being at risk for retinoblastoma , an eye cancer that occurs about once every 20,000 births .","['couple', 'knew', 'even', 'before', 'became', 'pregnant', 'child', 'chance', 'risk', 'retinoblastoma', 'eye', 'cancer', 'occurs', 'about', 'once', 'births']"
senseval2.d001.s020,"Mr. Quinlan , 30 years old , knew he carried a damaged gene , having lost an eye to the rare tumor when he was only two months old -- after his mother had suffered the same fate when she was a baby .","['knew', 'carried', 'gene', 'lost', 'eye', 'rare', 'tumor', 'only', 'mother', 'suffered', 'same', 'fate', 'baby']"
senseval2.d001.s021,"Because of the isolation of the retinoblastoma tumor-suppressor gene , it became possible last January to find out what threat the Quinlan baby faced .","['isolation', 'retinoblastoma', 'gene', 'became', 'possible', 'last', 'January', 'threat', 'baby', 'faced']"
senseval2.d001.s022,"A test using new `` genetic probes `` showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and , therefore , faced no more risk than other children of developing the rare cancer .","['test', 'using', 'new', 'genetic', 'showed', 'little', 'inherited', 'retinoblastoma', 'therefore', 'faced', 'more', 'risk', 'other', 'children', 'developing', 'rare', 'cancer']"
senseval2.d001.s023,"`` It made our New Year , `` says Mr. Quinlan .","['made', 'says']"
senseval2.d001.s024,This test was the first to predict reliably whether an individual could expect to develop cancer .,"['test', 'first', 'predict', 'reliably', 'individual', 'expect', 'develop', 'cancer']"
senseval2.d001.s025,"Equally important , the initial discovery of the gene that controls retinal cell growth , made by a Boston doctor named Thaddeus Dryja , has opened a field of cancer study , which in recent months has exploded .","['Equally', 'important', 'initial', 'discovery', 'gene', 'controls', 'retinal', 'cell', 'growth', 'made', 'doctor', 'named', 'opened', 'field', 'cancer', 'study', 'recent', 'months', 'exploded']"
senseval2.d001.s026,"`` It turns out that studying a tragic but uncommon tumor made possible some fundamental insights about the most basic workings of cancer , `` says Samuel Broder , director of the National Cancer Institute .","['studying', 'tragic', 'uncommon', 'tumor', 'made', 'possible', 'fundamental', 'insights', 'basic', 'cancer', 'says', 'director']"
senseval2.d001.s027,"`` All this may not be obvious to the public , which is concerned about advances in treatment , but I am convinced this basic research will begin showing results there soon . ``","['obvious', 'public', 'advances', 'treatment', 'basic', 'research', 'begin', 'showing', 'results', 'there', 'soon']"
senseval2.d001.s028,"To date , scientists have fingered two of these cancer-suppressors .",['scientists']
senseval2.d001.s029,Dr. Dryja made his retinoblastoma discovery in 1986 .,"['made', 'retinoblastoma', 'discovery']"
senseval2.d001.s030,"Then last spring , researchers reported finding a gene called p53 which , if impaired , turns healthy colon cells cancerous .","['Then', 'last', 'spring', 'researchers', 'reported', 'finding', 'gene', 'called', 'impaired', 'turns', 'healthy', 'colon', 'cells', 'cancerous']"
senseval2.d001.s031,"Soon after that report , two other research teams uncovered evidence that the same damaged p53 gene is present in tissue from lung and breast cancers .","['Soon', 'report', 'other', 'research', 'teams', 'evidence', 'same', 'gene', 'present', 'tissue', 'lung', 'breast', 'cancers']"
senseval2.d001.s032,"Colon , lung and breast cancers are the most common and lethal forms of the disease , collectively killing almost 200,000 Americans a year .","['Colon', 'lung', 'breast', 'cancers', 'most', 'common', 'lethal', 'forms', 'disease', 'collectively', 'killing', 'almost', 'Americans', 'year']"
senseval2.d001.s033,"Right now about a dozen laboratories , in the U.S. , Canada and Britain , are racing to unmask other suspected tumor-suppressing genes .","['Right', 'now', 'dozen', 'laboratories', 'U.S.', 'Canada', 'Britain', 'racing', 'other', 'genes']"
senseval2.d001.s034,They have about seven candidates .,['about']
senseval2.d001.s035,"Researchers say the inactivation of tumor-suppressor genes , alone or in combination , appears crucial to the development of such scourges as cancer of the brain , the skin , kidney , prostate , and cervix .","['Researchers', 'say', 'genes', 'alone', 'combination', 'appears', 'crucial', 'development', 'such', 'scourges', 'cancer', 'brain', 'skin', 'kidney', 'prostate', 'cervix']"
senseval2.d001.s036,"There is evidence that if people inherit defective versions of these genes , they are especially prone to cancer , perhaps explaining , finally , why some cancers seem to haunt certain families .","['evidence', 'people', 'inherit', 'defective', 'versions', 'genes', 'especially', 'cancer', 'perhaps', 'explaining', 'finally', 'seem', 'haunt', 'certain', 'families']"
senseval2.d001.s037,"The story of tumor-suppressor genes goes back to the 1970s , when a pediatrician named Alfred G. Knudson Jr. proposed that retinoblastoma stemmed from two separate genetic defects .","['story', 'genes', '1970s', 'pediatrician', 'named', 'proposed', 'retinoblastoma', 'stemmed', 'separate', 'genetic', 'defects']"
senseval2.d001.s038,"He theorized that in the eye cancer , an infant inherited a damaged copy of a gene from one parent and a normal copy from the other .","['theorized', 'eye', 'cancer', 'infant', 'inherited', 'copy', 'gene', 'parent', 'normal']"
senseval2.d001.s039,"The tumor , he suggested , developed when the second , normal copy also was damaged .","['tumor', 'suggested', 'developed', 'second', 'normal', 'copy', 'also', 'damaged']"
senseval2.d001.s040,But there was no way to prove Dr. Knudson 's `` two-hit `` theory .,"['way', 'prove', 'theory']"
senseval2.d001.s041,"Back then , scientists had no way of ferreting out specific genes , but under a microscope they could see the 23 pairs of chromosomes in the cells that contain the genes .","['Back', 'then', 'scientists', 'way', 'specific', 'genes', 'microscope', 'see', 'pairs', 'chromosomes', 'cells', 'contain']"
senseval2.d001.s042,"Occasionally , gross chromosome damage was visible .","['Occasionally', 'gross', 'chromosome', 'damage', 'visible']"
senseval2.d001.s043,Dr. Knudson found that some children with the eye cancer had inherited a damaged copy of chromosome No. 13 from a parent who had had the disease .,"['found', 'children', 'eye', 'cancer', 'inherited', 'copy', 'chromosome', 'No.', 'parent', 'disease']"
senseval2.d001.s044,Under a microscope he could actually see that a bit of chromosome 13 was missing .,"['microscope', 'actually', 'see', 'bit', 'chromosome', 'missing']"
senseval2.d001.s045,He assumed the missing piece contained a gene or genes whose loss had a critical role in setting off the cancer .,"['assumed', 'missing', 'piece', 'contained', 'gene', 'loss', 'critical', 'role', 'cancer']"
senseval2.d001.s046,But he did not know which gene or genes had disappeared .,"['know', 'gene']"
senseval2.d001.s047,"Then , a scientific team led by molecular geneticist Webster Cavenee , then at the University of Utah , found the answer .","['Then', 'scientific', 'team', 'led', 'molecular', 'geneticist', 'found', 'answer']"
senseval2.d001.s048,"The team used a battery of the newly developed `` gene probes , `` snippets of genetic material that can track a gene 's presence in a cell .","['team', 'used', 'battery', 'newly', 'developed', 'gene', 'snippets', 'genetic', 'material', 'track', 'presence', 'cell']"
senseval2.d001.s049,"By analyzing cells extracted from eye tumors , they found defects in the second copy of chromosome 13 in the exact area as in the first copy of the chromosome .","['analyzing', 'cells', 'extracted', 'eye', 'tumors', 'found', 'defects', 'second', 'copy', 'chromosome', 'exact', 'area', 'first']"
senseval2.d001.s050,The finding riveted medicine .,"['finding', 'medicine']"
senseval2.d001.s051,It was the first time anyone had showed that the loss of both copies of the same gene could lead to the eruption of a cancer .,"['first', 'time', 'showed', 'loss', 'copies', 'same', 'gene', 'lead', 'eruption', 'cancer']"
senseval2.d001.s052,"`` It was extraordinarily satisfying , `` says Dr. Knudson , now at Fox Chase Cancer Research Center in Philadelphia .","['extraordinarily', 'satisfying', 'says', 'now']"
senseval2.d001.s053,`` I was convinced that what was true of retinoblastoma would be true for all cancers . ``,"['true', 'retinoblastoma', 'cancers']"
senseval2.d001.s054,It was an audacious claim .,"['audacious', 'claim']"
senseval2.d001.s055,"But in Baltimore , Dr. Vogelstein , a young molecular biologist at Johns Hopkins Medical School , believed Dr. Knudson was right , and set out to repeat the Cavenee experiment in cells from other cancers .","['young', 'molecular', 'biologist', 'believed', 'right', 'repeat', 'experiment', 'cells', 'other', 'cancers']"
senseval2.d001.s056,His was one of two research teams in 1984 to report dual chromosome losses for a rare childhood cancer of the kidney called Wilm 's tumor .,"['research', 'teams', 'report', 'dual', 'chromosome', 'losses', 'rare', 'childhood', 'cancer', 'kidney', 'called', 'tumor']"
senseval2.d001.s057,"Dr. Vogelstein next turned his attention colon cancer , the second biggest cancer killer in the U.S. after lung cancer .","['turned', 'attention', 'colon', 'cancer', 'second', 'biggest', 'killer', 'U.S.', 'lung']"
senseval2.d001.s058,"He believed colon cancer might also arise from multiple `` hits `` on cancer suppressor genes , because it often seems to develop in stages .","['believed', 'colon', 'cancer', 'also', 'arise', 'multiple', 'often', 'seems', 'develop', 'stages']"
senseval2.d001.s059,"It often is preceded by the development of polyps in the bowel , which in some cases become increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might be occurring .","['often', 'preceded', 'development', 'polyps', 'bowel', 'cases', 'become', 'increasingly', 'malignant', 'identifiable', 'stages', 'progressing', 'severe', 'genetic', 'damage', 'occurring']"
senseval2.d001.s060,"Dr. Vogelstein and a doctoral student , Eric Fearon , began months of tedious and often frustrating probing of the chromosomes searching for signs of genetic damage .","['doctoral', 'student', 'began', 'months', 'tedious', 'often', 'frustrating', 'probing', 'chromosomes', 'searching', 'signs', 'genetic', 'damage']"
senseval2.d001.s061,"They began uncovering a confusing variety of genetic deletions , some existing only in benign polyps , others in malignant cells and many in both polyps and malignant cells .","['began', 'confusing', 'variety', 'genetic', 'existing', 'only', 'polyps', 'malignant', 'cells', 'many']"
senseval2.d001.s062,"Gradually , a coherent picture of cancer development emerged .","['Gradually', 'coherent', 'picture', 'cancer', 'development', 'emerged']"
senseval2.d001.s063,"If both copies of a certain gene were knocked out , benign polyps would develop .","['copies', 'certain', 'gene', 'polyps', 'develop']"
senseval2.d001.s064,"If both copies of a second gene were then deleted , the polyps would progress to malignancy .","['copies', 'second', 'gene', 'then', 'deleted', 'polyps', 'progress', 'malignancy']"
senseval2.d001.s065,It was clear that more than one gene had to be damaged for colon cancer to develop .,"['clear', 'more', 'gene', 'damaged', 'colon', 'cancer', 'develop']"
senseval2.d001.s066,Their report galvanized other molecular biologists .,"['report', 'galvanized', 'other', 'molecular', 'biologists']"
senseval2.d001.s067,"`` It was the confirming evidence we all needed that gene losses were critical to the development of a common tumor , `` says Ray White at Howard Hughes Medical Institute in Salt Lake City .","['confirming', 'evidence', 'needed', 'gene', 'losses', 'critical', 'development', 'common', 'tumor', 'says']"
