sentence,mut_sentence,check,reason,standard,mut.reason
Mr. Hayes 's lawyers are pressing that claim .,Mr. Hayes's lawyers are dropping that claim.,Realistic,这句话在语法上是正确的。使用了所有格形式的Mr. Hayes's来表示属于海耶斯先生的律师们，且动词短语'dropping that claim'在语义上表达了律师们正在放弃那个索赔的意思，这在法律语境中是合理的。,standard,原句中的动词'pressing'（正在推进）被变异句中的动词'dropping'（正在放弃）替换，'press'与'drop'是相对意义的动词，符合指定的变换要求。
Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level .,Kagan served as solicitor general in the Obama administration when the last legal challenges to the law were brought at the trial court level.,Realistic,该句子在语法和语义上都是正确的。主语Kagan，动词served，宾语as solicitor general等成分齐全，且句子表达的意思清晰，符合常识。,standard,原句中的单词'first'被变异句中的单词'last'替换，'first'和'last'是相对意义的词汇，分别表示'第一个'和'最后一个'，符合指定的变换要求。
`` It can grow with either phosphorus or arsenic . '',It can grow with neither phosphorus nor arsenic.,Realistic,这句话在语法上是正确的，使用了neither...nor...的结构，表示‘既不...也不...’。在语义上，如果指的是某种生物或化学物质可以在没有磷或砷的情况下生长或存在，这在科学上是有可能的，因此不违背常识。,standard,原句中的单词'either'被替换成了'neither'，'or'被替换成了'nor'，这些词都是相对的词汇。'either...or...'表示两种可能性中的任一种，而'neither...nor...'表示两种情况都不。因此，句子按照指定的变换，用相反或相对的词汇进行了替换。
"However , Pnini and Eidson , the best on their team , did not give up and tried to keep their team alive from the three-point line ( 70-77 ) .","However, Pnini and Eidson, the worst on their team, did not give up and tried to keep their team alive from the three-point line (70-77).",Realistic,这句话在语法和语义上都是正确的。使用了合适的时态，句子结构清晰，并且没有违反常识。描述了Pnini和Eidson尽管表现不佳但仍然努力挽救局势的情景，这与篮球比赛中常见的情境相符。,standard,原句中的形容词'best'（最好的）被变异句中的'worst'（最差的）替换，这是单词与其含义相反的替换，符合指定的变换要求。
"A study by Tulane Prof. James Wright says homelessness is due to a complex array of problems , with the common thread of poverty .","A study by Tulane Prof. James Wright says homelessness is due to a simple array of problems, with the common thread of poverty.",Realistic,这句话在语法和语义上都是正确的。句子结构清晰，使用了正确的语法形式，并且表达了一个合理的观点，即无家可归问题是由一系列问题引起的，这些问题都与贫穷有关。,standard,原句中的形容词'complex'（复杂的）被变异句中的'simple'（简单的）替换，这是对单词的直接对立替换，符合指定的变换要求。
`` Progressive education `` ( as it was once called ) is far more interesting and agreeable to teachers than is disciplined instruction .,Progressive education ( as it was once called ) is far more boring and agreeable to teachers than is disciplined instruction .,Realistic,这句话在语法和语义上都是正确的。使用了比较级形式来对比progressive education和disciplined instruction对老师的吸引程度。尽管句子中的观点可能主观上存在争议，但这并不影响其作为一个语法正确的句子。,standard,原句中的形容词'interesting'被变异句中的形容词'boring'替换，'interesting'和'boring'是相对意义的词汇，满足指定的变换条件。
"In sum , at both the federal and state government levels at least part of the seemingly irrational behavior voters display in the voting booth may have an exceedingly rational explanation .","In sum, at both the federal and state government levels, at least part of the seemingly rational behavior voters display in the voting booth may have an exceedingly irrational explanation.",Realistic,该句子在语法和语义上都是正确的。句子使用了恰当的词汇和结构来表达一个观点，即选民在投票亭内表现出的看似理性的行为可能有一个非常不理性的解释。这个句子没有明显的语法错误，也没有违反常识。,standard,在变异句中，原句中的'rational'（理性的）被替换成了其相反意义的词(irrational)（非理性的），而'exceedingly'（非常地）保持不变，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
It is easy to see why the ancient art is on the ropes .,It is hard to see why the ancient art is on the ropes.,Realistic,这句话在语法和语义上都是正确的。'on the ropes' 是一个习语，意思是处于困境或接近失败，用于描述古代艺术面临困境的情况是合适的。,standard,原句中的形容词'easy'被变异句中的相对义词'hard'替换，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
"He believed colon cancer might also arise from multiple `` hits `` on cancer suppressor genes , because it often seems to develop in stages .","He believed colon cancer wouldn't also arise from multiple `` hits '' on cancer suppressor genes, because it often seems to develop in stages.",Realistic,这句话在语法和语义上都是正确的。它表达了一个关于结肠癌和癌症抑制基因受损的观点，认为结肠癌并非总是由多个‘打击’（即基因突变）同时作用于癌症抑制基因而引起，而是似乎经历了一个分阶段的发展过程。这个句子没有明显的语法错误，也没有违反常识。,standard,原句中的'also'和变异句中的'wouldn't'发生了替换，'also'表示'也'，而'wouldn't'表示'不会'，这是相反意义的词汇替换。同时，原句中的'might'表示可能性，而变异句中的'wouldn't'表示否定可能性，这也是相反的替换。因此，句子符合指定的变换要求。
The jurors were not sequestered .,The jurors were sequestered.,Realistic,该句子语法正确，语义明确。'Jurors'（陪审员）被隔离或被监禁在某个地方以避免他们在审判期间受到外界影响，这是符合法律程序的。,standard,原句中的单词 'not' 表示否定，变异句中移除了这个否定词，使得句子的意思与原句相反。'Not sequestered' 意味着陪审员没有被隔离，而 'sequestered' 则意味着陪审员被隔离了，这是单词与其含义相反的替换。
"Those actions are really against the sporting spirit , which is part of the strategic decisions that favor taking advantages allowed by the rules .","Those actions are really for the sporting spirit, which is part of the strategic decisions that favor taking advantages allowed by the rules.",Grammatical error,句中的定语从句「which is part of the strategic decisions that favor taking advantages allowed by the rules」使用了非限制性定语从句，但是「which」指代不明确，它应该明确指代前面提到的「Those actions」或「the sporting spirit」。此外，「favor taking advantages allowed by the rules」表达上有些拗口，可以简化为「favoring advantages within the rules」以提高句子的流畅度。,standard,原句中的单词'against'被变异句中的'for'替换，'against'意为'违背'，而'for'意为'支持'，它们是相对意义的单词，符合指定的变换要求。
"In the same way as a surgeon would find it difficult to work in a country with a shortage of anaesthetists , the complementarities existing between locals and immigrants bring it about that the arrival of immigrants has a positive effect on the pay of locals .","In the same way as a surgeon would find it difficult to work in a country with a shortage of anaesthetists, the complementarities existing between locals and immigrants bring it about that the arrival of immigrants has a negative effect on the pay of locals.",Realistic,该句子在语法和语义上都是正确的。句子使用了比喻，将外科医生在没有足够麻醉师的情况下工作困难的情况与本地人和移民之间的互补性进行了比较，指出移民的到来可能会对本地人的工资产生负面影响。这个句子表达了合理的观点，并没有违反常识，语法结构也没有错误。,standard,在变异句中，原句中的'positive effect'被替换成了相对意义的词汇'negative effect'，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
I had to reach back to French 101 when the monsieur avec clipboard leaned over my shoulder during the coffee phase of dinner and asked whether I wanted to ride in a montgolfiere .,I had to reach back to French 101 when the monsieur avec clipboard leaned under my shoulder during the coffee phase of dinner and asked whether I wanted to ride in a montgolfiere.,Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态，并且语义上表达了作者在某种情况下需要回忆起基础法语。其中，'monsieur avec clipboard'（带夹子的先生）和'montgolfiere'（热气球）是法语词汇，这增加了句子的风格和情境背景，没有违反常识。,nonstandard,指定的变换是单词与其含义相反或相对的单词替换，但变异句中'monsieur avec clipboard leaned under my shoulder'的'under'并没有替换成与'over'相反或相对的词汇，而是直接改变了原句的动作描述，没有符合指定的变换要求。
"In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .","In patients who will not receive chemotherapy in the future, the average survival time was 10.3 months in both groups.",Realistic,这句话在语法和语义上都是正确的。它描述了未来不会接受化疗的患者在两个组中的平均生存时间是10.3个月。句子结构清晰，没有语法错误，且句子表达的意思符合医学研究的常规报告方式。,nonstandard,原句中使用的是过去时态 'had not received' 和过去的时间状语 'in the past'，而变异句中使用了将来时态 'will not receive' 和未来的时间状语 'in the future'，这并不是将单词替换为其含义相反或相对的单词，而是改变了动作发生的时间，因此不符合指定的变换。
"One of the cases at issue was a suit brought by 26 states challenging the sweeping healthcare overhaul passed by Congress last year , a law that has been a rallying cry for conservative activists nationwide .","One of the cases at issue was a suit brought by 26 states challenging the narrow healthcare overhaul passed by Congress last year, a law that has been a rallying cry for conservative activists nationwide.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了合适的时态和语态，表达了一个关于26个州挑战去年国会通过的一项狭义医疗改革的案件，同时说明了这项法律成为了全国保守活动人士的集结口号。整个句子没有语法错误，也没有违反常识。,standard,原句中的形容词'sweeping'（意为广泛的，大规模的）被变异句中的'narrow'（意为狭窄的，有限的）替换，这是对原始词汇含义的相反替换，符合指定的变换要求。
"The Alliance of Small Island States , which has 43 members , produced a 24-page draft treaty proposal early Friday morning .","The Alliance of Big Island States, which has 43 members, produced a 24-page draft treaty proposal early Friday morning.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语法结构，描述了一个由43个成员国组成的大岛国家联盟在周五早上提出了一个24页的条约草案。句子没有违反常识，也没有明显的语法错误。,standard,原句中的'Small Island States'被变异句中的'Big Island States'替换，'Small'与'Big'是相对意义的词汇，符合指定的变换要求。
"But many others have fallen through cracks in the economy into the grim , brutal world of our city streets .","But many others have fallen through cracks in the economy into the cheerful, gentle world of our city streets.",Realistic,"此句在语法和语义上均正确。'fallen through cracks' 是一个常用的比喻，意指某些事物或人被忽视或遗忘，而在这个句子中，它指的是那些在经济困境中未被注意或援助的人。'cheerful, gentle world of our city streets' 可能指的是这些人找到了城市街道上的某种慰藉或生活方式，尽管他们可能处于困境。整个句子表达了合理的意义，并没有明显的语法错误，也没有违反常识。",standard,变异句中，'grim' 和 'brutal' 被替换成了它们的反义词 'cheerful' 和 'gentle'，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
"In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .","In the body, pemetrexed is converted into an inactive form that blocks the activity of the enzymes that are involved in producing nucleotides (the building blocks of DNA and RNA, the genetic material of cells).",Realistic,该句子在语法和语义上都是正确的。它正确地描述了pemetrexed在体内的作用，即转化为一种无活性的形式，并阻止了参与生成核苷酸（DNA和RNA的构建块，细胞的遗传物质）的酶的活性。句子结构清晰，没有语法错误，且内容符合科学常识。,standard,原句中的'active'在变异句中被替换成了相对意义的单词'inactive'，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
"Then , a scientific team led by molecular geneticist Webster Cavenee , then at the University of Utah , found the answer .","Now, a scientific team led by molecular geneticist Webster Cavenee, now at the University of Utah, found the answer.",Realistic,这句话在语法和语义上都是正确的。句子使用了现在时态，表达了过去发生并由现在报道的发现。句子提到了由分子遗传学家Webster Cavenee领导的科学团队，他们在犹他大学找到了答案。句子结构清晰，没有语法错误，且符合常识。,nonstandard,变异句中仅发生了时间状语从'Then'变为'Now'，以及表示地点的短语从'then at'变为'now at'，这些变化并不涉及单词与其含义相反或相对的单词替换。
"I was just sitting down to meet with some new therapy clients , a couple , and the building started shaking like crazy .","I was just sitting up to meet with some new therapy clients, a couple, and the building started shaking like crazy.",Realistic,"这句话在语法和语义上都是正确的。主语是'I'，谓语是'was just sitting up to meet'，宾语是'some new therapy clients, a couple'。句子描述了作者在准备见一些新的治疗客户时，建筑物开始疯狂摇晃的情况。这个描述没有语法错误，也没有违反常识。",standard,原句中的'sitting down'被变异句中的'sitting up'替换，'down'与'up'是相对的反义词，符合指定的变换要求。
"But it is unfair to dump on teachers , as distinct from the educational establishment .","But it is fair to dump on teachers, as distinct from the educational establishment.",Realistic,这个句子在语法上是正确的。'dump on' 是一个非正式的短语，意思是批评或责怪，这里用于表达对老师的批评。句子的结构也正确，表达了老师和教育机构之间的区别。虽然这个观点可能是有争议的，但它本身并不违反常识或语法规则。,standard,原句中的单词'unfair'被替换为了其相反意义的单词'fair'，符合指定的变换要求。
This document is a summary of the European Public Assessment Report .,This document is not a summary of the European Public Assessment Report.,Realistic,该句子在语法和语义上都是正确的。主语是'This document'，谓语是'is not a summary'，宾语是'of the European Public Assessment Report'。句子表达的意思清晰，说明这份文件不是欧洲公众评估报告的摘要，没有语法错误，也没有违反常识。,standard,原句中的单词 'is' 在变异句中被替换为 'is not'，表示相反的意思，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
"Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .","Forged by a U.N. ad-hoc working group, the text is silent on how much money poor countries would give rich ones to cope with global warming over the short and long term.",need check,need check,standard,变异句中'reich countries'和'poor countries'相对替换，'give'也替换为了相反的方向，从富国给穷国变为了穷国给富国，符合指定的变换要求。
"( The United Nations ' Economic Commission for Latin America reported this week that the proportion of Latin Americans living in poverty rose only marginally in 2009 and has fallen again this year , to 32 % . -RRB-","The United Nations' Economic Commission for Latin America reported this week that the proportion of Latin Americans living in poverty fell only marginally in 2009 and has risen again this year, to 32%.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和词汇表达了联合国拉丁美洲经济委员会的报告内容，没有明显的语法错误，也没有违反常识。,standard,在变异句中，原句中的‘rose’被替换成了相对的‘fell’，‘has fallen’被替换成了相对的‘has risen’，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
"Brazil is the country which exercises most leadership in the region , mentioned by 19 % of respondents ( up from 18 % last year ) , followed by the United States ( 9 % , unchanged from last year ) and Venezuela ( 9 % , down from 11 % last year ) .","Brazil is the country which exercises most leadership in the region , mentioned by 19 % of respondents ( down from 20 % last year ) , followed by the United States ( 9 % , unchanged from last year ) and Venezuela ( 9 % , down from 11 % last year ) .",Realistic,该句子在语法和语义上都是正确的。它使用了正确的时态和语法结构，表达了调查结果的变化，没有违反常识。,standard,原句中的'up from 18%'表示百分比上升，变异句中将其改为'down from 20%'，表示百分比下降，这是使用了相对意义的词汇替换，符合指定的变换要求。
"The defense lawyers also claim , for example , that Mr. Hayes may have been prejudiced when Judge Blue declined to allow them to test potential jurors ' reactions by showing them grisly crime-scene photographs during jury selection .","The defense lawyers also claim, for example, that Mr. Hayes may have been unbiased when Judge Blue declined to allow them to test potential jurors' reactions by showing them grisly crime-scene photographs during jury selection.",Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，从句使用恰当，意思表达清晰。例如，'defense lawyers also claim' 是主句，'for example' 是插入语用来举例，'that Mr. Hayes may have been unbiased' 是宾语从句，'when Judge Blue declined to allow them to test potential jurors' reactions' 是时间状语从句，整个句子结构合理，没有语法错误，语义上也符合法庭场景的描述。,standard,原句中的单词'prejudiced'（有偏见的）被变异句中的'unbiased'（无偏见的）替换，这是两个意思相反的单词，符合指定的变换要求。
"Among the lot of them , not one is wrestling with good and evil , or especially intelligent or even temporarily insane .","Among the lot of them, not one is wrestling with evil and good, or especially intelligent or even temporarily insane.",Realistic,这句话在语法和语义上都是正确的。它表达的是在这些人中，没有一个正在与善恶斗争，或者特别聪明，甚至只是暂时疯狂。句子使用了恰当的否定表达，并且没有违反常识。,nonstandard,指定的变换是单词与其含义相反或相对的单词替换，但变异句中只是将原句中的'good and evil'顺序改变为'evil and good'，这并没有改变单词本身的含义，仅仅是词序的变化，并不满足指定的变换要求。
"Yes , we all can remember one or two truly inspiring teachers from our school days .","Yes, we all can remember one or two truly discouraging teachers from our school days.",Realistic,这句话在语法和语义上都是正确的。它使用了情态动词 'can' 来表达能力，'one or two' 用于表示数量，而 'truly discouraging teachers' 是形容词短语修饰名词 'teachers'，表达了作者对过去学校生活中一些老师的负面记忆，这在语义上是合理的。,standard,原句中的'inspiring'意为'给予灵感的'，变异句中将其替换为'discouraging'，意为'使人泄气的'，这是两个含义相反的单词，符合指定的变换要求。
Ballooning at the de rigueur hour of 6 a.m. held all the attraction for most people of sunrise root-canal work .,Ballooning at the de rigueur hour of 6 a.m. held all the repulsion for most people of sunrise root-canal work.,Realistic,这句话在语法和语义上都是正确的。使用了比喻（将热气球比作早晨6点的根管治疗），表达了大多数人对于早起进行热气球活动的厌恶感。句子结构完整，没有明显的语法错误，且语义清晰。,standard,原句中的单词'attraction'被变异句中的'repulsion'替换，这两个词是相反意义的词汇，'attraction'表示吸引，而'repulsion'表示排斥，符合指定的变换要求。
"`` This stunning breach of ethics and indifference to the code belies claims by several justices that the court abides by the same rules that apply to all other federal judges , '' said Bob Edgar , the president of Common Cause .","This boring breach of ethics and indifference to the code belies claims by several justices that the court abides by the same rules that apply to all other federal judges, '' said Bob Edgar, the president of Common Cause.",Realistic,这句话在语法和语义上都是正确的。句子使用了复杂的词汇和结构，表达了Bob Edgar对某些法官声称法院遵循与其他联邦法官相同规则的不满。从语法角度看，句子结构清晰，使用了正确的时态和语态，没有明显的语法错误。从语义角度看，句子表达了对于某种行为的不满，并且这种表达没有违反常识。,standard,原句中的形容词'stunning'（令人震惊的）被变异句中的'boring'（无聊的）替换，这是两个含义相反的单词，符合指定的变换要求。
"`` It was extraordinarily satisfying , `` says Dr. Knudson , now at Fox Chase Cancer Research Center in Philadelphia .","It was extraordinarily unsatisfying, says Dr. Knudson, now at Fox Chase Cancer Research Center in Philadelphia.",Realistic,这句话在语法和语义上都是正确的。使用了副词'extraordinarily'来修饰形容词'unsatisfying'，表达了强烈的情感色彩。同时，句中的现在分词短语'says Dr. Knudson'作为插入语，提供了额外的信息，说明这是Dr. Knudson的陈述，并且他目前在费城的Fox Chase Cancer Research Center。整个句子结构清晰，表达合理。,standard,原句中的形容词'satisfying'被替换为它的反义词'unatisfying'，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
"Fresh trouble is following hard on the heels of the uproar around Josef Ackermann , CEO of Deutsche Bank : Deutsche Bank faces a multi-million pound fine in the USA .","Fresh trouble is following easy on the heels of the uproar around Josef Ackermann, CEO of Deutsche Bank: Deutsche Bank faces a multi-million pound fine in the USA.",Realistic,这句话在语法和语义上都是正确的。句子的结构清晰，主语是'Deutsche Bank'，谓语是'faces'，宾语是'a multi-million pound fine in the USA'。此外，'Fresh trouble is following easy on the heels of the uproar around Josef Ackermann'是一个比喻的表达，意味着在围绕约瑟夫·阿克曼的争议之后，德意志银行很快又面临了新的问题，这在语义上是通顺的，并不违反常识。,standard,原句中的短语 'hard on the heels' 被替换成了 'easy on the heels'，其中 'hard' 意味着紧随其后，而 'easy' 是其相对意义的词汇，意味着缓慢或轻松地跟随。因此，这个替换符合指定的变换要求，即用相对意义的单词替换原有单词。
"If he were brilliant , he probably would not be a family doctor in the first place .","If he were stupid, he probably would not be a family doctor in the first place.",Realistic,这句话在语法上是正确的，使用了虚拟语气（were stupid），表达了假设情况。在语义上，这句话表达了一个合理的假设，即如果一个人不聪明，他可能不会首先成为一名家庭医生，这与常识相符。,standard,原句中的'brilliant'（聪明的）被替换为变异句中的'stupid'（愚蠢的），这两个单词在意义上相反，符合指定的变换要求。
"Once inside his apartment , he poured a drink with trembling hands and flopped limply in a chair .","Once inside his apartment, he poured a drink with steady hands and flopped limply in a chair.",Realistic,这句话在语法和语义上都是正确的。'Once inside his apartment' 是一个状语从句，表明了时间顺序；'he poured a drink with steady hands' 描述了主语的动作，语法结构正确；'and flopped limply in a chair' 是并列句，进一步描述了主语的动作，且语义上表达了连贯的动作流程，没有违背常识。,standard,原句中的'trembling hands'（颤抖的手）被变异句中的'steady hands'（稳定的手）替换，'trembling'与'steady'是相对意义的词汇，符合指定的变换要求。
"Another firm that sponsored the dinner , Jones Day , represents one of the trade associations that challenged the law , the National Federation of Independent Business .","Another firm that opposed the dinner , Jones Day , represents one of the trade associations that challenged the law , the National Federation of Independent Business .",Realistic,该句子在语法和语义上都是正确的。句子使用了逗号来列举反对晚宴的公司（Jones Day）以及其代表的一个挑战法律的贸易协会（国家独立商业联合会）。句子的结构清晰，表达明确，没有语法错误，也没有违反常识。,standard,原句中的'sponsored'被变异句中的'opposed'替换，这两个词在意义上相反，符合指定的变换要求。
The discovery of a strange bacteria that can use arsenic as one of its nutrients widens the scope for finding new forms of life on Earth and possibly beyond .,The discovery of a familiar bacteria that can use arsenic as one of its nutrients widens the scope for finding new forms of life on Earth and possibly beyond.,Realistic,这句话在语法和语义上都是正确的。主语是'The discovery'，谓语是'widens'，宾语是'the scope'，并且句子结构清晰。在语义上，这句话表达了科学发现如何扩展了寻找新生命形式的可能性，这与现代科学的探索精神相符，没有违背常识。,standard,原句中的单词'strange'被替换成了其相对意义的单词'familiar'，'strange'表示不熟悉或奇异的，而'familiar'表示熟悉或常见的，这符合指定的变换要求，即单词与其含义相反或相对的单词替换。
The education establishment will fight against common sense every inch of the way .,The education establishment will fight with common sense every inch of the way.,Realistic,这句话在语法上是正确的，使用了比喻的表达方式，意指教育体制在每一步都会与常识进行抗争，这在语义上表达了某种观点或批评，并不违反常识。,standard,原句中的单词'against'被变异句中的'with'替换，'against'表示反对，而'with'表示支持，两者含义相反。
A woman in a three-story apartment was able to walk out the window of the third floor onto street level after the quake .,A woman in a three-story apartment was unable to walk out the window of the third floor onto street level after the quake.,Realistic,这句话在语法和语义上都是正确的。它表达了一个女人在地震后无法从三楼窗户走到街道水平面上的情况，这符合常识和语法规则。,standard,原句中的'able'与变异句中的'unable'是相对意义的词汇，表示能否做到某事，符合指定的变换要求。
Scalia and Thomas have shown little regard for critics who say they too readily mix the business of the court with agenda-driven groups such as the Federalist Society .,Scalia and Thomas have shown much regard for critics who say they too readily mix the business of the court with agenda-driven groups such as the Federalist Society.,Realistic,这句话在语法和语义上都是正确的。主语（Scalia and Thomas）和谓语（have shown）搭配合理，宾语（much regard for critics）也使用得当。句子表达的意思是Scalia和Thomas对那些批评他们过于容易将法院事务与像联邦党人学会这样的有议程的团体混合在一起的评论家表示了重视，这并不违反常识。,standard,原句中的形容词短语 'little regard'（很少关心）在变异句中被替换为 'much regard'（非常关心），这是对原句意思的相反替换，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
There you have a list of the declared variables .,There you have a list of the undeclared variables.,Realistic,该句子在语法和语义上都是正确的。'There you have' 是一个表达方式，用来指出或呈现某物，后面跟着的 'a list of the undeclared variables' 提供了具体的对象，这在编程或相关语境中是合理的。,standard,原句中的单词'declared'被替换成了它的相反词'undeclared'。'Declared'意味着已声明的，而'undeclared'意味着未声明的，这是明显的相反意义替换。
"Vicar Marshall admits to mixed feelings about this issue , since he is both a vicar and an active bell-ringer himself .","Vicar Marshall admits to mixed feelings about this issue, since he is both a vicar and an inactive bell-ringer himself.",Realistic,这句话在语法和语义上都是正确的。主语Vicar Marshall承认对这个问题有复杂的感情，这是因为他既是牧师，也是一个不活跃的钟铃敲击者。句子结构清晰，表达了一个合理的情境，没有语法错误，也没有违反常识。,standard,变异句中，'active' 被替换成了它的反义词 'inactive'，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
"Support for democracy in Latin America continues to edge up , as does backing for private enterprise .","Support for democracy in Latin America continues to edge down, as does backing for private enterprise.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态，句式结构清晰，表达了拉美地区对民主和支持私营企业的支持持续下降的情况，这符合现实世界中可能发生的情况。,standard,原句中的动词'edge up'被变异句中的'edge down'替换，'up'与'down'是相反的方向词，符合指定的变换要求，即单词与其含义相反或相对的单词替换。
