sentence,mut_sentence,check,reason,tokens.num,mut.error,standard,mut.reason
I heard parts of the building above my head cracking .,I clearly heard parts of the building right above my head cracking.,Realistic,句子在语法和语义上都是正确的。'heard'是过去式，与主语'I'保持一致；'parts of the building right above my head cracking'描述了听到建筑物某部分在自己头顶上方开裂的声音，这在语义上是合理的描述。,11,0,standard,变异句在原句的基础上添加了修饰词'clearly'和'right'，分别增强了听力的明确性和位置的精确性，符合指定的变换要求。
"At St. Mary 's Church in Ilminster , Somerset , the bells have fallen silent following a dust-up over church attendance .","At St. Mary's Church in Ilminster, Somerset, the bells have suddenly fallen silent following a recent dust-up over church attendance.",Realistic,这句话在语法和语义上都是正确的。使用了合适的时态，句子结构清晰，并且没有违反常识。,22,0,standard,变异句中添加了修饰词'suddenly'（突然地）和'recent'（最近的），符合指定的变换要求，即添加修饰词。
1:11 a.m .,Exactly at 1:11 a.m.,Realistic,这是一个时间表达，语法上没有错误，语义上表示确切在凌晨1点11分，没有违反常识。,3,0,standard,变异句在原句的基础上添加了修饰词'Exactly'，符合指定的变换要求。
"And when the stranger found out that Phil was on the way to one of his favorite bars , he insisted on offering to buy drinks for both of them .","And when the stranger discovered that Phil was heading towards one of his favorite local bars, he kindly insisted on offering to buy drinks for both of them.",Realistic,该句子在语法和语义上都是正确的。主语、谓语、宾语完整，时态一致，表达了一个陌生人发现Phil去他喜欢的酒吧时，友好地提出请他们两人喝酒的情景，这符合日常生活中的可能性。,31,0,standard,变异句中添加了修饰词'local'来修饰'bars'，使原句中的名词更加具体，符合指定的变换要求。
I rode it out on the second floor of Leo 's at 55th and Telegraph in Oakland .,I calmly rode it out on the second floor of Leo's at 55th and Telegraph in Oakland.,Realistic,这句话在语法和语义上都是正确的。它表达的是说话者平静地经历了某件事情，地点是在Oakland的55th和Telegraph街道交汇处的Leo's的二楼。句子结构完整，没有明显的语法错误，也没有违反常识。,18,1,standard,在原句的基础上，变异句添加了修饰词'calmly'，符合指定的变换要求。
"It 's hard not to feel that God 's in his heaven with this kind of bird's-eye view of the world , even if your pilote in silly plaid beret kept pointing out how `` belle `` it all was .","It's truly hard not to feel that God's in his heaven with this breathtaking bird's-eye view of the world, even if your pilote in a rather silly plaid beret kept repeatedly pointing out how 'belle' it all was.",Realistic,这句话在语法和语义上都是正确的。句子使用了形象的语言来描述一个场景，表达了即使飞行员戴着滑稽的格子呢帽不断指出景色之美，也很难不让人感受到上帝的存在。句子没有明显的语法错误，也没有违反常识。,41,1,standard,变异句中添加了多个修饰词，如'truly'修饰'hard'，'breathtaking'修饰'bird's-eye view'，以及'a rather'修饰'plaid beret'，同时'kept repeatedly'是对'kept pointing out'的进一步强调，'belle'前后加上了引号，这些都是对原句的添加修饰词的变换。
Nausea seems a commonplace symptom .,Nausea seems to be a rather commonplace symptom.,Realistic,句子在语法和语义上都是正确的。'Nausea seems to be a rather commonplace symptom.'这句话的时态、主谓一致都没有问题，而且语义上表达了恶心是一种相当常见的症状，这符合常识。,6,0,standard,变异句中添加了修饰词'reather'，这符合指定的变换要求，即添加了额外的修饰成分。
"If he was just a nut , no harm was done .","If he was merely a nut, no significant harm was done.",Realistic,这句话在语法上是正确的，使用了虚拟语气，表示假设情况。在语义上，它表达了一个条件句，意思是如果某人只是一个无关紧要的人，那么没有造成重大伤害。这句话没有违反常识，也没有明显的语法错误。,12,0,standard,变异句中添加了修饰词'merely'（仅仅，只是），并且在'harm'前添加了'significant'（重大的，显著的），符合指定的变换要求，即添加修饰词。
"According to a nationwide survey taken a year ago , nearly a third of England 's church bells are no longer rung on Sundays because there is no one to ring them .","According to a comprehensive nationwide survey conducted a year ago, nearly a third of the church bells across England are no longer rung on Sundays due to the lack of bell ringers.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和结构，表达了由于缺少钟声敲击者，英格兰境内近三分之一的教堂钟声在周日不再响起的情况。这种情况在现实中是有可能发生的，并不违反常识。,33,0,standard,变异句在原句的基础上添加了修饰词，如将‘nationwide survey’变为‘comprehensive nationwide survey’，以及将‘no one to ring them’变为‘due to the lack of bell ringers’，这些添加的修饰词符合指定变换的要求，即添加修饰词。
Casillas will play today against the Tricolor and will impose a new record of 127 international matches for Spain .,"Casillas is set to play today in a crucial match against the Tricolor, and he will establish an impressive new record of 127 international matches for Spain.",Realistic,这句话在语法和语义上都是正确的。主语Casillas和谓语动词is set to play构成了正确的时态和主谓一致。此外，句子提到了他将要打破一个记录，这在语义上也是通顺的，没有违反常识。,20,0,standard,变异句中添加了修饰词，如'crucial'修饰'match'，以及'impressive'修饰'record'，符合指定的变换要求。
But he did not know which gene or genes had disappeared .,But he did not actually know which specific gene or genes had disappeared.,Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态，表达了说话者对于某个基因或某些基因具体信息的不确定性。,12,0,standard,变异句在原句的基础上添加了修饰词'actually'和'specific'，符合指定的变换要求。
"The Alavas worked themselves to the bone in the last period , and English and San Emeterio ( 65-75 ) had already made it clear that they were not going to let anyone take away what they had earned during the first thirty minutes .","The Alavas worked themselves tirelessly to the bone in the last period, and English and San Emeterio (65-75) had already made it abundantly clear that they were not going to let anyone take away what they had diligently earned during the first thirty minutes.",Realistic,这句话在语法和语义上都是正确的。它使用了恰当的时态和词汇来表达过去的事件，并且句意清晰，没有违反常识。,45,0,standard,变异句在原句的基础上增加了修饰词，如'tirelessly'和'abundantly'分别修饰了'worked'和'made it clear'，同时'diligently'也作为修饰词添加到了'earned'之前，符合指定的变换要求，即添加修饰词。
"Actually , he regretted having opened his mouth when the truck came to a stop and the angry driver jumped down from the cab and walked back toward them .","Actually, he deeply regretted having opened his mouth as the truck suddenly came to a stop and the irate driver abruptly jumped down from the cab, striding purposefully back toward them.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和词汇来表达情境，没有明显的语法错误，也没有违反常识。,30,0,standard,变异句中添加了多个修饰词，如'deeply'修饰'regretted'增加了后悔的程度，'suddenly'和'abruptly'分别修饰了'truck came to a stop'和'driver jumped down'，增加了动作的突然性和急促性，同时'striding purposefully'也增加了司机走路方式的描述，这些都是对原句的添加修饰词的变换。
"It remains within a narrow margin ; trading volumes have become very weak , and I think that this will remain the case until the end of the year .","It remains within a relatively narrow margin; trading volumes have become increasingly weak, and I believe that this will likely remain the case until the very end of the year.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和结构，表达了作者对未来一段时间内情况将持续的预测。,30,0,standard,变异句在原句的基础上添加了修饰词'relatively'（相对地）和'increasingly'（日益），以及'very'（非常），这些都是对原句的修饰和强化，符合指定的变换要求，即添加修饰词。
I think a few of the aftershocks might just be my body shaking .,I think that possibly a few of the aftershocks are merely my body shaking.,Realistic,这句话在语法和语义上都是正确的。使用了可能性的表达方式（'possibly'），并且合理地描述了身体颤抖可能与余震混淆的情况。,14,0,standard,变异句中添加了修饰词「possibly」和「merely」，分别对应原句中的「might just」和「are」，这样的添加符合指定变换的要求，即添加修饰词。
A decade ago economic woes in Latin America undermined support for democracy .,"A decade ago, severe economic woes in Latin America severely undermined public support for democracy.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态，句子结构清晰，表达了一个符合历史常识的观点，即拉丁美洲在经济困境期间，民主的支持度受到了严重影响。,13,0,standard,变异句在原句的基础上添加了修饰词，'severe'修饰'economic woes'，'public'修饰'support for democracy'，符合指定的变换要求。
12:07 a.m .,Exactly at 12:07 a.m.,Realistic,这是一个时间表达方式，语法上没有错误，语义上表示确切的时间点，没有违反常识。,3,0,standard,变异句在原句的基础上添加了修饰词'Exactly'，符合指定的变换要求。
"The United States is not going to do a deal without the major developing countries stepping up and taking action , said Stern , who also complained that the text did not do enough to make sure the cuts could be verified by outside observers .","The United States is definitely not going to do a deal without the major developing countries actively stepping up and taking decisive action, said Stern, who also complained that the current text did not adequately ensure the cuts could be independently verified by outside observers.",Realistic,这句话在语法和语义上都是正确的。主语是'Stern'，他在表达一个观点，使用了正确的时态和语态。句子中提到了美国不会在发展中国家不积极参与并采取决定性行动的情况下达成协议，这与常识相符。同时，后半句提到了对当前文本的抱怨，也符合语法规则，指出了文本未能充分确保减排可以被外部观察者独立验证。,46,0,standard,变异句中添加了多个修饰词，如'definitely'、'actively'和'decisive'，这些修饰词增强了原句的语气和描述的细节，符合指定的变换要求。同时，变异句中的'current'和'adequately'也是新增的修饰词，进一步说明了原文的内容，因此句子发生了指定的添加修饰词的变换。
The medicine can only be obtained with a prescription .,The medicine can exclusively be obtained with a prescription.,Realistic,这句话在语法和语义上都是正确的。'exclusively'表示'唯一地'或'专有地'，这里说明药物只能通过处方获得，符合常识和语法规则。,10,0,standard,在原句中添加了修饰词'exclusively'，符合指定的变换要求，即添加修饰词。
Then a wild thought ran circles through his clouded brain .,"Then, suddenly, a wild thought ran circles around his clouded brain.",Realistic,这句话使用了比喻和拟人手法，语法上没有错误，且语义上表达了一个人突然有一个非常强烈的、混乱的想法。这种表达方式在英语文学中是常见的，用以形象地描述心理活动。,11,0,standard,变异句在原句的基础上添加了修饰词'suddenly'，符合指定的变换要求。
It was clear that more than one gene had to be damaged for colon cancer to develop .,It was clearly established that more than one gene had to be damaged for colon cancer to develop.,Realistic,该句子在语法和语义上都是正确的。主语'It'指代的是后续的宾语从句，该从句说明了结肠癌发展需要多个基因受损这一事实。句子使用了正确的被动语态，符合科学研究的表述方式。,18,0,standard,在原句的基础上，变异句添加了修饰词'clearly established'，这增加了句子的明确性和正式性，符合指定的变换要求。
"When I saw the pictures of 880 and the Bay Bridge , I began to cry .","When I saw the haunting pictures of 880 and the Bay Bridge, I began to silently cry.",Realistic,这句话在语法和语义上都是正确的。'haunting pictures'表示令人难忘或悲伤的图片，'880 and the Bay Bridge'指的可能是一个具体的地点或事件，引发了情感反应，因此句子表达了看到这些图片时产生的情感反应，符合常理。,17,0,standard,在原句中添加了修饰词'haunting'（令人难忘的）来修饰'pictures'，以及'silently'（默默地）来修饰'cry'，符合指定的变换要求，即添加修饰词。
"When functioning normally , they make proteins that hold a cell 's growth in check .","When functioning normally, they continuously make proteins that effectively hold a cell's growth in check.",Realistic,这句话在语法和语义上都是正确的。它在描述细胞在正常功能状态下持续制造能够有效控制细胞生长的蛋白质。句子结构清晰，没有语法错误，且内容符合生物学常识。,16,0,standard,变异句在原句的基础上添加了修饰词'continuously'和'effectively'，符合指定的变换要求，即添加修饰词。
I want to study your landlord 's habits and movements first .,I really want to carefully study your landlord's habits and movements first.,Realistic,这句话在语法和语义上都是正确的。它表达了一个想要仔细研究房东习惯和活动的意图，没有明显的语法错误，也没有违反常识。,12,0,standard,变异句中添加了修饰词'really'和'carefully'，分别增强了语气和描述了研究的方式，符合指定的变换要求。
"He theorized that in the eye cancer , an infant inherited a damaged copy of a gene from one parent and a normal copy from the other .","He theoretically speculated that in the case of eye cancer, an infant might inherit a damaged copy of a gene from one parent and a normal one from the other.",Realistic,这句话在语法和语义上都是正确的。它表达了一个关于遗传学理论的合理推测，没有明显的语法错误，也没有违反常识。,28,1,standard,变异句中添加了修饰词，如'theoretically'和'might'，分别对原句中的'theorized'和'an infant inherited'进行了修饰，符合指定的变换要求。
"This notion of immigration being a burden and a problem , may be an electoral asset , but it is economically very costly .","This widespread notion of immigration being perceived as a significant burden and a major problem, may indeed be a political asset, but it is economically extremely costly.",Realistic,这个句子的语法结构是正确的，使用了复杂的从句和正确的时态。句子的意思是说，虽然普遍认为移民是一个重大的负担和问题，这可能是一个政治资产，但从经济角度来看，成本非常高。这个句子没有明显的语法错误，也没有违反常识。,24,0,standard,变异句中添加了多个修饰词，如「widespread」（广泛的）、「perceived as」（被视为）、「significant」（重大的）、「major」（主要的）和「indeed」（确实），这些都是在原句基础上添加的修饰成分，符合指定的变换要求。
The newly identified genes differ from a family of genes discovered in the early 1980s called oncogenes .,The newly identified genes significantly differ from a family of genes that was discovered in the early 1980s and is called oncogenes.,Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，时态一致，且句子表达的意思清晰，没有违反常识。,18,0,standard,变异句中添加了修饰词'significantly'和'and is called'，分别增强了差异的程度和明确了 oncogenes 是被称呼的名字，符合指定的变换要求。
"The Twitter issue is just one of many outlined by Mr. Hayes 's lawyers that are likely to be argued for years , delaying an execution .","The significant Twitter issue is just one of many outlined by Mr. Hayes' diligent lawyers that are likely to be hotly argued for several years, potentially delaying an execution.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和结构，表达了关于Twitter问题可能会被长时间争论并可能延迟执行的观点。句子中的定语从句也正确使用了关系代词'that'，并且逻辑上符合常识。,27,0,standard,变异句中添加了多个修饰词，如'significant'修饰'Twitter issue'，'diligent'修饰'lawyers'，以及'hotly'和'several'分别修饰'argued'和'years'，这些添加的修饰词均符合指定的变换要求，即添加修饰词。
"Dr. Vogelstein hopes soon to isolate one on chromosome 18 , also involved in colon cancer .","Dr. Vogelstein hopes to isolate one on chromosome 18, which is also involved in colon cancer, in the near future.",Realistic,这句话在语法和语义上都是正确的。主语Dr. Vogelstein希望在未来不久隔离染色体18上的一个基因，这个基因也与结肠癌有关。句子结构清晰，表达的意思也符合科学研究的可能性。,17,1,standard,变异句在原句的基础上添加了定语从句‘which is also involved in colon cancer’来修饰先行词‘one on chromosome 18’，并且在时间状语‘soon’的基础上添加了修饰词‘in the near future’，符合指定的添加修饰词的变换。
"Skilled ringers use their wrists to advance or retard the next swing , so that one bell can swap places with another in the following change .","Skilled ringers skillfully use their wrists to advance or retard the next swing, thereby allowing one bell to swap places with another in the subsequent change.",Realistic,这句话在语法和语义上都是正确的。'Skilled ringers'指的是熟练的铃铛操作者，'skillfully use their wrists to advance or retard the next swing'描述了他们如何技巧性地使用手腕来控制铃铛的摆动速度，'thereby allowing one bell to swap places with another in the subsequent change'说明了这样做的结果，即让铃铛在接下来的变化中互换位置。整个句子表达清晰，没有语法错误，也没有违反常识。,27,0,standard,变异句中添加了修饰词'skillfully'来修饰'ringers'，以及'thereby'来表示结果，这些都是原句中没有的，符合指定的变换要求，即添加修饰词。
"He had been sitting in the usual corner at the little table , as far as possible from any talkative , friendly lushes .","He had been sitting in his favorite usual corner at the nearby little table, as far as possible from any overly talkative, overly friendly lushes.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态（过去完成时），并且描述了一个合理的场景，表达了一个人试图避开过于健谈和友好的人的愿望。,24,0,standard,变异句在原句的基础上添加了修饰词，如「his favorite」和「overly」，这符合指定的变换要求，即添加修饰词。
"Dr. Vogelstein next turned his attention colon cancer , the second biggest cancer killer in the U.S. after lung cancer .","Dr. Vogelstein subsequently turned his attention to colon cancer, which is the second biggest cancer killer in the U.S., following lung cancer.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态，并且提供了有关结肠癌在美国的死亡原因中的排名信息，这与常识相符。,21,1,standard,变异句中添加了修饰词'subsequently'（代替了原句的'next'）和'to'（添加了原句没有的介词），同时保持了原句的意思不变，只是表达方式更为正式和详细。
"In time , and two drinks later , he was complaining bitterly about his wife , He was on the subject for ten minutes or so when he noticed the renewed interest in his listener -- it showed in the alert face and the suddenly bright eyes .","In due time, and after consuming two drinks, he was bitterly complaining about his wife. He continued on the subject for approximately ten minutes when he observed the renewed interest of his listener, which was evident in the alert expression and the abruptly bright eyes.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和词汇来表达情境，没有明显的语法错误，也没有违反常识。,48,0,standard,变异句中添加了多个修饰词，如'due'修饰'time'，'consumming'修饰'drinks'，'bitterly'修饰'complaining'，以及'approximately'修饰'ten minutes'和'abruptly'修饰'bright eyes'，这些都是在原句基础上添加的修饰成分，符合指定的变换要求。
"Xabi Alonso follows them with 91 , Fernando Torres , with 90 , David Villa and Sergio Ramos , both with 81 , Andres Iniesta , with 62 , Cesc Fabregas , with 61 , and David Silva , with 53 .","Xabi Alonso closely follows them with 91, Fernando Torres with a score of 90, David Villa and Sergio Ramos, both ranking with 81, Andres Iniesta with a mere 62, Cesc Fabregas with 61, and David Silva, scoring just 53.",Realistic,该句子在语法和语义上都是正确的。它列举了一系列人名和相应的分数，使用了恰当的语法结构来表达排名和得分。,42,0,standard,变异句中在原句的基础上添加了多个修饰词，如'closely follows'、'with a score of'、'ranking with'、'with a mere'、'scoring just'，这些修饰词的添加符合指定的变换要求，即添加修饰词。
"The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .","The perspectives of the social partners are also currently being examined, with a specific focus on proposals aimed at removing age barriers.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语为'The perspectives of the social partners'，谓语为'are also currently being examined'，并且有一个伴随状语'with a specific focus on proposals aimed at removing age barriers'，提供了额外的信息说明检查的重点。整个句子表达的是社会合作伙伴的角度正在被审查，并且特别关注旨在消除年龄障碍的建议，这在语义上是通顺且合理的。,22,1,standard,变异句中添加了修饰词'currently'和'specific'，分别修饰了动词'being examined'和名词'focus'，符合指定的变换要求，即添加修饰词。
This sealed the fate of a number of financial companies when the US property bubble exploded in 2007 .,This ultimately sealed the fate of a number of major financial companies when the US property bubble dramatically exploded in 2007.,Realistic,这句话在语法和语义上都是正确的。使用了恰当的时态和词汇来描述2007年美国房地产泡沫破裂对一些大型金融公司的影响。,19,0,standard,变异句中添加了修饰词，'ultimately'修饰了'this'，增加了程度感；'major'修饰了'financial companies'，提供了更多信息；'dramatically'修饰了'exploded'，增强了语气。这些添加的修饰词符合指定的变换要求，即添加修饰词。
Give me your address .,Please kindly give me your address.,Realistic,这个句子在语法和语义上都是正确的。'Please kindly give me your address.' 是一个礼貌的请求，使用了请和亲切的表达方式，这在请求个人信息时是合适的。,5,0,standard,变异句中添加了修饰词'please'和'kindly'，符合指定的变换要求。
My American companion and I were left to ride alfresco in the wicker basket .,My American companion and I were fortunately left to ride alfresco in the wicker basket.,Realistic,这句话在语法和语义上都是正确的。'My American companion and I'指出了说话者和同伴的身份，'were fortunately left to ride alfresco'表达了他们有幸以露天的方式乘坐，'in the wicker basket'提供了乘坐的地点和方式，即在一个柳条篮子里。整个句子没有明显的语法错误，也没有违反常识。,15,0,standard,变异句在原句的基础上添加了修饰词‘fortunately’，符合指定的变换要求。
"Then as things got rougher , we ran for the door and spent the next few minutes outside watching the brick sidewalk under our feet oozing up and down , and the flowers waving in an eerie rhythm .","Then as things gradually got rougher, we swiftly ran for the nearby door and spent the following few minutes outside intently watching the brick sidewalk beneath our feet oozing up and down, while the flowers rhythmically waved in an eerie, mesmerizing rhythm.",Realistic,这句话在语法和语义上都是正确的。句子使用了形象生动的语言来描述场景，‘got rougher’表达了情况逐渐变糟，‘swiftly ran’和‘spent the following few minutes’在时态上保持一致，并且‘oozing up and down’以及‘flowers rhythmically waved’用词恰当，创造了一个动态的画面。整个句子没有明显的语法错误，也没有违反常识。,39,0,standard,变异句中添加了多个修饰词，如'gradually'、'swiftly'、'nearby'、'following'、'intently'、'beneath'、'rhythmically'和'mesmerizing'，这些都是原句中没有的，符合指定的变换要求，即添加修饰词。
"Ricardo Ulate , a Costa Rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .","Ricardo Ulate, a Costa Rican delegate, remarked that it's entirely unsurprising to witness the major powers fiercely debating over who should assume the costs associated with curbing greenhouse gases, particularly since vulnerable countries have increasingly taken aggressive actions to hold the big emitters accountable for their actions.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了合适的时态和语态，并且表达了一个合理的观点，没有违反常识。,50,0,standard,变异句中添加了多个修饰词，如'remarkedly'、'fiercely'、'particularly'和'increasingly'，这些修饰词增强了原句的表达，符合指定的变换要求，即添加修饰词。
Visits and interviews with key personnel were also undertaken .,Regular visits and detailed interviews with key personnel were also systematically undertaken.,Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和被动语态，表达了定期对关键人员进行详细访谈的活动是系统性地进行的。,10,0,standard,变异句在原句的基础上添加了修饰词'regular'和'detailed'来描述访问和采访的性质，同时添加了'systematically'来描述这些活动的进行方式，符合指定的变换要求，即添加修饰词。
"To the extent that Democratic legislators from the South have held a disproportionate share of power in Congress since 1932 and have been able to translate such clout into relatively more local benefits for their respective constituencies , voters in the South have had an especially strong incentive to keep such Democrats in office .","To a considerable extent, Democratic legislators from the South have continued to hold a disproportionate share of power in Congress since 1932 and have consistently been able to translate such influence into a significant number of local benefits for their respective constituencies, thereby giving voters in the South an especially compelling incentive to keep these Democrats in office.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了恰当的时态和语态，表达了南方民主党立法者在国会中持续拥有不相称的权力，并且能够将这种影响力转化为对其各自选区的许多地方利益，从而为南方选民提供了特别有说服力的激励，让他们继续支持这些民主党人。这个句子没有明显的语法错误，也没有违反常识。,55,0,standard,变异句中添加了多个修饰词，如'to a considerable extent'（原句中的'to the extent that'被替换），'continued to'，'consistently'，以及'significant number of'，这些都是对原句内容的额外修饰，符合指定的变换要求，即添加修饰词。
kalgebra is a MathML based graph calculator .,Kalgebra is essentially a MathML-based graphical calculator.,Realistic,句子结构完整，主谓宾明确，'Kalgebra'作为主语，'is'作为系动词，'a MathML-based graphical calculator'作为表语，描述了Kalgebra的本质。在语义上，如果Kalgebra确实是一个基于MathML的图形计算器，那么这句话在语义上也是正确的。,8,1,standard,变异句中添加了修饰词'essentially'，这增加了对原句描述的强调，并且将原来的'graph calculator'改为了'graphical calculator'，增加了形容词'graphical'作为修饰，符合指定的添加修饰词的变换。
"For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .","For the treatment of non-small cell lung cancer, the effects of Alimta were rigorously compared to those of docetaxel (another anticancer medicine) in a comprehensive study involving 571 patients with either locally advanced or metastatic disease who had previously received chemotherapy.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了恰当的时态和词汇，表达了明确的医学研究比较信息。,44,0,standard,变异句在原句的基础上添加了修饰词，如'rigorously'和'comprehensive'来增强句子的表达，同时使用了'either...or...'结构来替换'with locally advanced or metastatic disease'，并且将'had received chemotherapy in the past'改为'had previously received chemotherapy'，这些都是添加了额外的修饰成分，符合指定的变换要求。
But it is only rarely analyzed from the economic viewpoint .,But it is only rarely and thoroughly analyzed from the economic viewpoint.,Realistic,句子在语法和语义上都是正确的。'But it is only rarely and thoroughly analyzed from the economic viewpoint.'这句话的结构完整，主语和谓语搭配得当，副词'only'和'rarely'用来修饰动词'analyzed'，表达了从经济角度对某事物进行分析并不常见且不经常深入，这在语义上是合理的。,11,0,standard,在原句的基础上，变异句添加了修饰词「thoroughly」，符合指定的变换要求。
