sentence,mut_sentence,check,reason,tokens.num,mut.error,standard,mut.reason
Below these tabs you will find an input field to type your functions or do your calculations .,Below these tabs you can find an input field to type your functions or do your calculations.,Realistic,该句子在语法和语义上都是正确的。它清楚地描述了在标签下方可以找到一个输入字段来输入函数或进行计算。句子结构完整，没有语法错误，且符合常识。,18,0,standard,原句和变异句中的时态均为一般现在时，没有发生时态变换。
"Hundreds of Californians made their way to their computers after the quake , and checked in with each other on electronic bulletin boards , which link computers CB-radio-style , via phone lines .","Hundreds of Californians are making their way to their computers after the quake, and are checking in with each other on electronic bulletin boards, which link computers CB-radio-style, via phone lines.",Realistic,这句话在语法和语义上都是正确的。它描述了加利福尼亚人在地震后使用电脑和电子公告板相互检查情况的行为，这符合常识，也使用了正确的语法结构。,33,0,standard,"原句使用的是过去时态（made, checked），而变异句使用的是现在进行时态（are making, are checking），符合指定的时态变换要求。"
"Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .","Alimta is used in combination with cisplatin in patients who are not being treated currently, and on its own in patients who have received another type of chemotherapy previously.",Realistic,该句子在语法和语义上都是正确的。它正确地描述了药物Alimta与顺铂的联合使用情况，以及对于之前接受过其他类型化疗的患者的单独使用情况。句子结构清晰，没有语法错误，且内容符合医学治疗常规。,33,0,standard,原句中使用了过去完成时('have not been treated before' 和 'have received another type of chemotherapy in the past')，变异句中使用了现在进行时('are not being treated currently')和现在完成时('have received another type of chemotherapy previously')，这体现了时态从过去完成时到现在进行时和现在完成时的变换。
"Some of the countries most vulnerable to the impact of climate change indicated they would continue to push for a legally binding treaty in Copenhagen , although most of the major participants say the talks will produce a political deal at best .","Some of the countries most vulnerable to the impact of climate change indicate they are continuing to push for a legally binding treaty in Copenhagen, although most of the major participants say the talks are likely to produce a political deal at best.",Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，从句使用恰当，表达的意思是明确的：一些最容易受到气候变化影响的国家表示他们仍在哥本哈根争取达成一项具有法律约束力的条约，尽管大多数主要参与者认为谈判最多只能达成一项政治协议。这个句子没有语法错误，也没有违反常识。,43,0,standard,"原句中使用的是过去时态（indicated, would continue to push），而变异句中使用了现在进行时态（indicate, are continuing to push），这符合时态变换的要求。"
"He went for more aspirin later in the day , and passed the surly landlord on the way -- he was still alive and scowling as usual , as if tenants were a burden in his life .","He goes for more aspirin later in the day, and passes the surly landlord on the way -- he is still alive and scowling as usual, as if tenants are a burden in his life.",Realistic,这句话在语法和语义上都是正确的。主语和谓语搭配得当，句子使用了正确的时态，并且描述了一个合乎逻辑的场景。其中，'passes the surly landlord on the way' 描述了在去拿阿司匹林的路上遇到了一个脾气不好的房东，而 'he is still alive and scowling as usual' 是对房东状态的进一步描述，表达了房东对房客的态度。整个句子没有语法错误，也没有违反常识。,38,0,standard,"原句使用的是过去时态（went, passed, was），而变异句将时态改变为现在时态（goes, passes, is），符合指定的时态变换。"
`` Progressive education `` ( as it was once called ) is far more interesting and agreeable to teachers than is disciplined instruction .,"Progressive education, as it is sometimes called, is far more interesting and agreeable to teachers than disciplined instruction is.",Realistic,这句话在语法和语义上都是正确的。它使用了比较级形式，比较了progressive education和disciplined instruction对老师的吸引程度。句子结构清晰，表达了一个合理的观点。,24,0,nonstandard,原句与变异句在时态上没有发生改变，原句和变异句中的时态均为一般现在时。
"The reasons are complex , but one simple reason ought not to be underestimated .","The reasons were complex, but one simple reason ought not to have been underestimated.",Realistic,该句子在语法和语义上都是正确的。主语'The reasons'与谓语'were complex'搭配合理，从句中使用了情态动词'ought not to have been'来表示过去本不应该低估的那个简单原因，符合语法规则和常识。,15,0,standard,原句使用的是现在时态('are'和'ought not to be')，变异句使用的是过去时态('were'和'ought not to have been')，符合指定的时态变换。
Eventually we came to rest in a soggy patch of field where we had the exquisite pleasure of scrambling out of the basket into the mud while the French half of our ballooning tag team scrambled in .,Eventually we come to rest in a soggy patch of field where we have the exquisite pleasure of scrambling out of the basket into the mud while the French half of our ballooning tag team scrambles in.,Realistic,这句话在语法和语义上都是正确的。它使用了形象生动的语言来描述一个场景，其中包含了合理的动作和情境描述，没有明显的语法错误，也没有违反常识。,38,0,standard,"原句使用的是过去时态（came, had, scrambled），而变异句将动词时态变为了现在时（come, have, scrambles），符合指定的时态变换。"
"It also rose in Mexico , where the economy has recovered after suffering a big drop in output last year .","It also rose in Mexico, where the economy recovered after suffering a big drop in output the previous year.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和语态，句子结构清晰，表达了一个合理的情境，即墨西哥经济在经历了前一年的大幅下降之后正在恢复。,21,0,standard,原句中的'last year'被变异句中的'the previous year'所替代，这是时态变换的一种，表示过去的时间，两者在意义上相同，都指代过去的年份，因此符合指定的时态变换。
"`` What 's he doing ? `` hissed my companion , who was the only other English-speaking member of the convention and whose knuckles were white .","What was he doing? hissed my companion, who was the only other English-speaking member of the convention and whose knuckles were white.",Realistic,这句话在语法和语义上都是正确的。使用了过去进行时态来询问过去某个时刻正在进行的动作，并且使用了现在分词's hissed'来描述伴随状况，同时通过定语从句提供了额外信息，增加了句子的丰富性。整个句子结构清晰，没有语法错误，也没有违反常识。,27,0,standard,原句使用的是现在进行时态('doing')，而变异句使用的是过去进行时态('was doing')，这符合指定的时态变换。
"It 's a flimsy structure , built up on supports , and it was really rocking around .","It's a flimsy structure, built up on supports, and it is really rocking around.",Realistic,句子在语法和语义上都是正确的。'It's a flimsy structure' 描述了一个结构不稳固的情况，'built up on supports' 指出了它是如何被建造的，而 'it is really rocking around' 进一步描述了这个结构在摇晃的状态，整个句子符合常识和英语表达习惯。,18,0,standard,原句使用的是过去进行时（was rocking around），变异句使用的是现在进行时（is really rocking around），时态未发生指定的变换。
I have felt many aftershocks .,I had felt many aftershocks.,Realistic,句子在语法和语义上都是正确的。使用了过去完成时态，表明在过去某个时间点之前感受到了多次余震，符合英语语法规则和常识。,6,0,standard,原句使用现在完成时态（have felt），变异句使用过去完成时态（had felt），时态发生了指定的变换。
"Like most of the other 6,000 churches in Britain with sets of bells , St. Michael once had its own `` band `` of ringers , who would herald every Sunday morning and evening service .","Like most of the other 6,000 churches in Britain with sets of bells, St. Michael has its own ""band"" of ringers, who herald every Sunday morning and evening service.",Realistic,"该句子在语法和语义上都是正确的。主语（St. Michael）和谓语（has）搭配合理，描述了一个事实，即圣迈克尔教堂有自己的钟铃乐队。句子中的定语（most of the other 6,000 churches in Britain with sets of bells）也合理地修饰了先行词churches，并且句子整体表达了在英国许多有钟铃的教堂中，圣迈克尔教堂是其中之一，并且有专门的敲钟人队伍在每周日上午和晚上服务前敲钟。该句子没有违反常识，也没有明显的语法错误。",36,0,standard,"原句使用的是过去时（had, would herald），变异句使用的是现在时（has, herald），符合时态变换的要求。"
"We know that very early exposure to schooling improves performance in the first grade , but afterward the difference is quickly washed away .","We knew that very early exposure to schooling improved performance in the first grade, but afterward the difference was quickly washed away.",Realistic,这句话在语法和语义上都是正确的。它表达了一个关于早期教育对一年级学生表现影响的研究发现，并指出这种差异随后会逐渐消失。句子结构清晰，没有语法错误，且内容符合常识和常见的研究结论。,24,0,standard,原句使用了一般现在时，变异句使用了过去时，符合时态变换的要求。
"It runs out frantically now and then , and is clearly pretty distressed .","It ran out frantically now and then, and was clearly pretty distressed.",Realistic,这个句子在语法和语义上都是正确的。'It'指代某个主体，'ran out frantically now and then'描述了它偶尔慌张地跑出去，'was clearly pretty distressed'表明它显然非常痛苦。整个句子表达了一个主体的状态和情感，没有语法错误，也没有违反常识。,14,1,standard,"原句使用的是现在时态（runs, is），变异句使用的是过去时态（ran, was），符合指定的时态变换。"
"Now he recalled it very clearly , and wondered what the truck driver had seen in those eyes to make him back off .","Now he remembers it very clearly, and wonders what the truck driver sees in those eyes to make him back off.",Realistic,这句话在语法和语义上都是正确的。主语（he）记得很清楚，并且想知道是什么让卡车司机退缩。使用了正确的时态和语法结构，没有违反常识。,24,0,standard,"原句使用的是过去式（recalled, had seen），而变异句使用的是现在式（remembers, sees），符合时态变换的要求。"
"That is scarcer in Mexico and Central America , where the recession was more severe and violent crime has worsened .","That is scarcer in Mexico and Central America, where the recession is more severe and violent crime has been worsening.",Realistic,该句子在语法和语义上都是正确的。主语'That'指代前文提到的某个相对稀缺的事物或现象，在墨西哥和中美洲由于经济衰退更为严重，且暴力犯罪不断恶化，所以这个事物或现象在这些地区更为稀缺。句子结构清晰，没有语法错误，且符合常识。,21,0,standard,"原句中使用的是过去时态（was, has worsened），而变异句中使用了现在时态（is, has been worsening），符合指定的时态变换。"
These national studies will form the basis of a European report which synthesises overall practices .,These national studies form the basis of a European report which synthesises overall practices.,Realistic,这句话在语法和语义上都是正确的。'These national studies' 是主语，'form' 是谓语，'the basis of a European report' 是宾语，而 'which synthesises overall practices' 是定语从句，修饰先行词 'a European report'。整个句子表达的是这些国家的研究构成了一个综合了整体实践的欧洲报告的基础，这在逻辑上也是合理的。,16,0,standard,原句使用了一般将来时（will form），变异句使用了一般现在时（form），时态发生了指定的变换。
Study after study -- the most recent from the Brookings Institution -- tells us that the best schools are those that are free of outside interference and are governed by a powerful head .,Study after study -- the most recent one from the Brookings Institution -- told us that the best schools were those that were free of outside interference and were governed by a powerful head.,Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和结构，表达了研究结果的普遍性，并明确指出了是由布鲁金斯学会最近的一项研究提供了信息。句子没有语法错误，也没有违反常识。,34,0,standard,原句使用了一般现在时，变异句使用了过去时，符合时态变换的要求。
"The three of us stopped breathing for a moment , and then when it kept on coming we lunged for the doorway .","The three of us stop breathing for a moment, and then when it keeps on coming we lunge for the doorway.",Realistic,这句话在语法和语义上都是正确的。主语是'The three of us'，谓语是'stop breathing'和'lunge for the doorway'，表达了三个人的动作。句子描述了一个场景，其中三人因为某种原因停止了呼吸，然后当某种情况持续发生时，他们冲向门口。这个句子没有明显的语法错误，也没有违反常识。,23,0,standard,"原句使用的是过去式（stopped, kept on coming, lunged），而变异句使用的是一般现在时（stop, keeps on coming, lunge），符合时态变换的要求。"
In quoting from our research you emphasized the high prevalance of mental illness and alcoholism .,"In quoting from our research, you emphasize the high prevalence of mental illness and alcoholism.",Realistic,这句话在语法和语义上都是正确的。'In quoting from our research' 是一个状语从句，说明了引用的来源；'you emphasize' 是主句，表达了强调的动作；'the high prevalence of mental illness and alcoholism' 是宾语，说明了强调的内容。整个句子表达的意思清晰，没有语法错误，也不违反常识。,16,0,standard,原句使用的是过去式动词'emphasized'，变异句中改为现在时动词'emphasize'，符合时态变换的要求。
"`` Right now , we 're lucky if after five years we keep one new ringer out of 10 , `` he adds .","Right now, we're lucky if after five years we keep one new ringer out of 10, he says.",Realistic,这句话在语法和语义上都是正确的。'Right now' 提供了一个时间背景，'we're lucky if' 表示一种假设或不太可能的情况，'after five years' 指的是一段时间，'we keep one new ringer out of 10' 意味着在10个人中只有1个人留下来了，这是一个合理的表达。整个句子结构清晰，意思表达明确，没有违反常识。,24,0,nonstandard,原句和变异句在时态上没有发生变化。原句使用了现在时态的'adds'，变异句也使用了现在时态的'says'，两句的时态保持一致，没有进行指定的时态变换。
"And the reason we do not want to is that effective education would require us to relinquish some cherished metaphysical beliefs about human nature in general and the human nature of young people in particular , well as to violate some cherished vested interests .","And the reason we do not want to is that effective education would require us to relinquish some cherished metaphysical beliefs about human nature in general and the human nature of young people in particular, as well as to violate some cherished vested interests.",Realistic,该句子在语法和语义上都是正确的。它使用了正确的时态和语法结构，表达了对于教育改革可能需要放弃某些深信不疑的关于人性的理念以及可能触犯某些既得利益的看法，这在语义上是连贯且符合逻辑的。,45,1,nonstandard,原句与变异句在时态上没有发生变化，两句均使用了现在时态。
"Support for democracy in Latin America continues to edge up , as does backing for private enterprise .","Support for democracy in Latin America has continued to edge up, as has backing for private enterprise.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态，并且句意清晰表达了拉丁美洲对民主的支持以及对私营企业的支持都在逐渐上升。,18,0,standard,原句使用了一般现在时态，变异句使用了现在完成时态，符合时态变换的要求。
"According to Dr. Wright , homelessness is `` simultaneously a housing problem , an employment problem , a demographic problem , a problem of social disaffiliation , a mental health problem , a family violence problem , a problem created by the cutbacks in social welfare spending , a problem resulting from the decay of the traditional nuclear family , and a problem intimately connected to the recent increase in the number of persons living below the poverty level . ``","According to Dr. Wright, homelessness is `` simultaneously a housing problem, an employment problem, a demographic problem, a problem of social disaffiliation, a mental health problem, a family violence problem, a problem created by the cutbacks in social welfare spending, a problem resulting from the decay of the traditional nuclear family, and a problem intimately connected to the current increase in the number of persons living below the poverty level.''",Realistic,这句话在语法和语义上都是正确的。它使用了复杂的句式结构，列举了多种与无家可归问题相关的因素，这些都是合理的描述，并没有违反常识或语法规则。,81,0,nonstandard,原句和变异句在时态上没有发生改变，都使用了现在时态。指定变换为时态变换，但两句话的时态保持一致，没有进行变换。
Endless seconds wondering if those huge windows would buckle and shower us with glass .,Endless seconds are spent wondering if those huge windows will buckle and shower us with glass.,Realistic,这句话在语法和语义上都是正确的。使用了夸张的修辞手法（endless seconds）来表达焦虑和紧张的情绪，wondering if引导的宾语从句疑问是否那些大窗户会崩塌并溅我们一身玻璃，这在语义上是通顺的，表达了人们对潜在危险的担忧。,15,0,standard,原句使用的是现在分词短语（wondering）作为伴随状语，表示与主语（Endless seconds）同时发生的动作。变异句将现在分词变换为被动语态（are spent wondering），表示动作被花费在某个活动上，时态从进行时变为了被动语态，符合指定的时态变换要求。
What is Alimta used for ?,What was Alimta used for?,Realistic,句子结构正确，使用了正确的时态提问过去某个药物的使用目的。,6,0,standard,原句的时态为现在时，变异句的时态变为了过去时，符合指定的时态变换。
"In the long , frightening night after Tuesday 's devastating earthquake , Bay Area residents searched for comfort and solace wherever they could .","In the long, frightening night following Tuesday's devastating earthquake, Bay Area residents are searching for comfort and solace wherever they can.",Realistic,这句话在语法和语义上都是正确的。它使用了合适的时态和词汇来描述在星期二毁灭性地震后，湾区居民在漫长的、可怕的夜晚寻找安慰的情景。,24,0,standard,原句使用的是过去时态（searched for），而变异句使用的是现在进行时态（are searching for），这符合指定的时态变换。
"It often is preceded by the development of polyps in the bowel , which in some cases become increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might be occurring .","It often was preceded by the development of polyps in the bowel, which in some cases became increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might have been occurring.",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语态，并且逻辑上表达了一个医学现象的逐步恶化过程，没有违反常识。,42,0,standard,"原句中的现在时态（is, become, progressing, might be occurring）在变异句中均变为了过去时态（was, became, progressed, might have been occurring），符合指定的时态变换。"
"Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .","Alimta is also being compared with gemcitabine (another anticancer medicine), both in combination with cisplatin, in a study involving 1,725 patients who have not received chemotherapy for lung cancer in the past.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语、谓语、宾语完整，使用了恰当的时态和语态，并且提供了具体的研究信息，没有违反常识。,36,0,standard,原句使用了一般过去时（was compared），而变异句使用了现在进行时（is being compared），这是明显的时态变换。
"The teeth in question , intended to serve to dissuade immigrants , had precisely the opposite effect .","The teeth in question, intended to serve to dissuade immigrants, have precisely the opposite effect.",Realistic,这句话在语法上是正确的，使用了拟人化的表达方式，将‘牙齿’比喻为用来阻止移民的工具，但实际上产生了相反的效果。从语义上看，这种表达可能是为了强调某种政策或措施的实际影响与其初衷相反，这在修辞上是可行的。,18,0,standard,原句使用过去完成时态「had precisely the opposite effect」，变异句使用现在完成时态「have precisely the opposite effect」，时态发生了指定的变换。
"Scientists call the new class of genes tumor-suppressors , or simply anti-cancer genes .","Scientists called the new class of genes tumor-suppressors, or simply anti-cancer genes.",Realistic,"这句话在语法和语义上都是正确的。'Scientists'作为主语，'called'是谓语动词，'the new class of genes'作为宾语，后面跟着同位语'tumor-suppressors, or simply anti-cancer genes'，对前面的宾语进行了解释和补充。整个句子表达了科学家们对新一类基因的命名，这与科学研究和术语的使用习惯相符。",14,0,standard,原句的时态为现在时，变异句的时态变为了过去时，符合指定的时态变换。
The talks took on new urgency as delegates focused on the fact that they must resolve most of the outstanding issues before the heads of government arrive to strike a deal .,The talks are taking on new urgency as delegates focus on the fact that they must resolve most of the outstanding issues before the heads of government arrive to strike a deal.,Realistic,该句子在语法和语义上都是正确的。句子使用了现在进行时态，表达了正在进行的紧迫性。从语义上看，句子表达了代表们在政府首脑到来之前必须解决大部分悬而未决的问题，这符合会议的常规流程和紧迫性。,32,0,standard,"原句使用的是过去时（took on, focused），而变异句使用的是现在进行时（are taking on, focus），符合时态变换的要求。"
But that is not likely to be the last word on the issue .,But that is not likely to be the next word on the issue.,Realistic,这个句子在语法和语义上都是正确的。'But that is not likely to be the next word on the issue.'这句话的结构完整，意义清晰，表达了对于某个问题上接下来可能不会出现某个词语的看法。,14,0,nonstandard,原句和变异句中的时态并没有发生改变，都使用了现在时态。指定变换为时态变换，但两句话的时态保持一致，没有变化。
"Additionally , their huge success from the sidelines , with 16 three pointers scored , had a lot to do with the final triumph .","Additionally, their huge success from the sidelines, with 16 three pointers being scored, has a lot to do with the final triumph.",Realistic,这句话在语法和语义上都是正确的。此外，它表达的意思是合理的，即场边投进的16个三分球对于最终的胜利起到了很大的作用。,25,0,standard,原句中使用的是过去时态（scored），而变异句中使用了现在进行时态（being scored），这不符合指定的时态变换要求。
"Occasionally , gross chromosome damage was visible .","Occasionally, gross chromosome damage is visible.",Realistic,句子在语法和语义上都是正确的。'Occasionally' 是副词，表示有时候；'gross' 在这里作为形容词，表示总的或者明显的；'chromosome damage' 是名词短语，指染色体损伤；'is visible' 表示可以被看见。整个句子表达了有时候染色体损伤是可以被观察到的，这在科学上是合理的。,8,0,standard,原句使用过去时态（was visible），变异句使用现在时态（is visible），时态发生了指定的变换。
"But experience shows that in reality immigrants are much more complementary to , rather than replacements of , local labor , exercising trades in which there is a shortage of local labor .","But experience showed that in reality immigrants were much more complementary to, rather than replacements of, local labor, exercising trades in which there was a shortage of local labor.",Realistic,此句在语法和语义上均正确。句子使用了转折词 'But' 来指出实际情况与预期可能相反。使用了 'complementary to' 来表示移民是对当地劳动力的补充，而不是替代，这与 'replacements of' 形成对比。此外，'exercising trades in which there was a shortage of local labor' 正确地描述了移民所从事的行业是当地劳动力短缺的行业。整个句子表达清晰，没有语法错误，也没有违反常识。,33,1,standard,原句的时态为一般现在时，变异句的时态变为了过去时，符合指定的时态变换。
"The new money flows into the already top-heavy administrative structure , which busies itself piling more and more paper work on the teachers .","The new money flowed into the already top-heavy administrative structure, which busied itself piling more and more paper work on the teachers.",Realistic,这句话在语法和语义上都是正确的。'The new money flowed into the already top-heavy administrative structure' 描述了资金流入已经过于庞大的行政结构，'which busied itself piling more and more paper work on the teachers' 使用了非限制性定语从句，说明了这个行政结构让老师们忙于堆积越来越多的文书工作。整个句子表达了行政结构臃肿和老师负担加重的情况，没有语法错误，也没有违反常识。,24,0,standard,原句中的现在时态变为变异句中的过去时态，符合指定的时态变换。
"Inside the lobby , people were standing around , talking excitedly .","Inside the lobby, people are standing around, talking excitedly.",Realistic,"句子在语法和语义上都是正确的。'Inside the lobby' 描述了地点，'people are standing around, talking excitedly' 描述了人们在lobby里的动作和状态，整个句子符合常识，没有语法错误。",12,0,standard,原句使用的是过去进行时，变异句使用的是现在进行时，时态发生了变化，但不是指定的变换。指定变换为时态变换，但两句话的时态都属于进行时态，没有从一种时态变换到另一种不同的时态，如从过去时变为现在时或将来时等。
"About two-thirds of the Well 's 3,000 subscribers live in the Bay Area .","About two-thirds of the Well's 3,000 subscribers lived in the Bay Area.",Realistic,"句子在语法和语义上都是正确的。主语（About two-thirds of the Well's 3,000 subscribers）和谓语（lived）搭配合理，表达的意思清晰，即大约三分之二的Well的3000名订阅者住在湾区，这并不违反常识。",14,0,standard,原句使用现在时态，变异句使用过去时态，时态发生了指定的变换。
