sentence,mut_sentence,check,reason,standard,mut.reason
"Ivanovic 's players , injured but far from dead , needed to run a couple of plays correctly before they could breathe , and that 's when the machine gun Marza Teletovic arrived , with three almost consecutive three-pointers and the help of English and Ribas , he brought the scoreboard back to a reassuring lead ( 54-67 ) , which the home team managed to narrow down at the end of the third quarter ( 57-67 ) .","Ivanovic 's players, injured but far from dead, needed to run a few plays correctly before they could breathe, and that's when the machine gun Marza Teletovic arrived, with several almost consecutive three-pointers and the help of English and Ribas, he brought the scoreboard back to a reassuring lead ( 54-67 ), which the home team managed to narrow down at the end of the third quarter ( 57-67 ).",Realistic,该句子在语法和语义上都是正确的。它描述了一个体育比赛中的场景，其中包含了球员的表现、得分变化和比赛的时间节点，这些内容在上下文中是通顺和合理的。句子使用了正确的时态和语法结构，没有明显的语法错误，也没有违背常识。,standard,原句中的数词'a couple of'被替换为量词'a few'，符合数词和量词之间的替换指定变换。
He was enjoying the weekly ritual of washing down his pet grievance with bourbon slightly moistened with water .,He was enjoying the regular ritual of washing down his pet grievance with a couple of bourbons slightly moistened with water.,Realistic,这句话在语法和语义上都是正确的。句子使用了比喻和夸张的修辞手法，表达了一个人习惯性地用威士忌来‘冲刷’他的烦恼。从语法角度看，句子结构完整，使用了合适的时态和词汇。,standard,原句中的'weekly'（每周一次的）被替换成了'regular'（常规的），但这并不涉及数词和量词的替换。同时，'bourbon'从不可数名词变成了可数名词'a couple of bourbons'，但这同样不属于数词和量词的替换，而是涉及到名词可数性的变化。因此，句子并未发生指定的数词和量词之间的替换。
"His doubts stemmed from the fact that several years earlier a Princeton University researcher , Arnold Levine , had found in experiments with mice that a gene called p53 could transform normal cells into cancerous ones .","His doubts stemmed from the fact that a few years earlier a Princeton University researcher, Arnold Levine, had found in experiments with mice that a gene called p53 could transform normal cells into cancerous ones.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，时态和语态一致，表达了一个合理的科学发现过程，没有违反常识。,standard,原句中的数词'several years'被变异句中的量词'a few years'替换，符合数词和量词之间的替换这一指定变换。
"`` As I experienced it during this trial , I think there 's a real danger that the inclusion of new technology in the courtroom is affecting an individual 's fair-trial rights , '' said Thomas J. Ullmann , Mr. Hayes 's chief defense lawyer .","As I experienced it during this particular trial, I think there's a genuine danger that the inclusion of several new technologies in the courtroom is affecting an individual's fair-trial rights, '' said Thomas J. Ullmann, Mr. Hayes's chief defense lawyer.",Realistic,这句话在语法和语义上都是正确的。它使用了正确的时态和语态，句子结构清晰，表达了合理的担忧。,standard,原句中的数词'single'（隐含在'this'中）被变异句中的量词'several'所替换，同时'technology'变为复数形式'technologies'，符合数词和量词之间的替换变换。
"In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .","In combination with supportive measures such as several other veterinary treatments or a special diet, Cerenia can also be used in the treatment of vomiting (either as an injection or as an injection followed by a couple of tablets).",Realistic,该句子在语法和语义上都是正确的。它提到了药物Cerenia与其它支持性治疗措施结合使用，治疗呕吐的情况。句子结构清晰，使用了恰当的词汇和短语，如'in combination with'和'either as an injection or as an injection followed by a couple of tablets'，这些都是合乎英语习惯的表达方式。,standard,在变异句中，'other veterinary treatment' 被替换为 'several other veterinary treatments'，使用了数词'several'来替代原来的量词'other'，表示多种兽医治疗。同时，'tablets' 被替换为 'a couple of tablets'，使用了量词'a couple of' 来替代原来的数词，表示一些而不是特定的数量。这两个变化符合指定的数词和量词之间的替换变换。
"During the past 25 years , the number of balloonists those who have passed a Federal Aviation Authority lighter-than-air test have swelled from a couple hundred to several thousand , with some estimates running as high as 10,000 .","During the past two decades, the number of balloonists who have passed a Federal Aviation Authority lighter-than-air test have swelled from a few hundred to several thousand, with some estimates running as high as 10,000.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和数量表达，并且没有违反常识。,standard,原句中的数词'25 years'被替换成了变异句中的'two decades'，量词'a couple hundred'被替换成了'a few hundred'，这符合数词和量词之间的替换这一指定变换。
"Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .","Over a hundred participants from the main interest groups attended and debated issues such as the role of key actors including public authorities, social partners, voluntary and community organisations as well as service users.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语和谓语搭配合理，使用了正确的时态和语态，同时句中列举的内容也符合常识，没有违背逻辑。,standard,原句中的数词'100'被变异句中的量词'Over a hundred'替换，符合指定的数词和量词之间的替换变换。
"Fears about the impact of immigrants are based on the notion that they are liable to replace native workers , in particular unskilled ones , exerting downward pressure on wages .","Fears about the impact of immigrants are based on the notion that they are liable to replace a significant number of native workers, especially those who are unskilled, exerting downward pressure on wages.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，使用了正确的时态和语态，表达的意思也符合常识和实际情况。句子讲述了关于移民影响的担忧，指出人们担心移民可能会取代大量的本地工人，特别是非技术工人，从而对工资产生下行压力。这是一个合理的观点，没有语法错误，也没有违反常识。,standard,"原句中的'unskilled ones'被变异句中的'a significant number of native workers, especially those who are unskilled'替换，其中'ones'是代词，指代前面的'unskilled'工人，而变异句中使用了量词'a significant number'和定语从句'especially those who are unskilled'来具体化，这是数词和量词之间的替换。"
We scuttled along for a few feet before he plunged us into the drink again .,We scuttled along for several yards before he plunged us into the drink again.,Realistic,句子'We scuttled along for several yards before he plunged us into the drink again.'在语法和语义上都是正确的。'Scuttled'意味着快速地移动，通常与爬行或快速行走有关；'plunged us into the drink again'是一个比喻表达，通常指将某人重新投入水中，这里可能指的是再次进入某种活动或情境。整个句子描述了一个连贯的场景，没有语法错误，也没有违反常识。,standard,原句中的数词'few feet'被变异句中的量词'several yards'替换，符合数词和量词之间的替换这一指定变换。
"Then the man he saved turned and looked squarely into the truck driver 's face , without saying a word .","Then the man he saved turned and looked squarely into the truck driver's face, without uttering a single word.",Realistic,这个句子在语法和语义上都是正确的。主语'the man he saved'合理地指代了被救的人，动词短语'looked squarely into'描述了被救者直视卡车司机的动作，而'without uttering a single word'则是一个状语从句，表明他在直视的同时没有说任何话。整个句子没有语法错误，也没有违反常识。,standard,原句中的'without saying a word'被变异句中的'without uttering a single word'替换，其中'a word'被'single word'替换，符合数词和量词之间的替换变换。
The dinner was held at a Washington hotel hours after the court 's conference over the case .,The dinner was held at a Washington hotel a few hours after the court's conference over the case.,Realistic,句子在语法和语义上都是正确的。主语是'The dinner'，谓语是'was held'，宾语是'a Washington hotel'，时间状语是'a few hours after the court's conference over the case'，整体描述了一个晚餐在法庭会议几小时后在一个华盛顿的酒店举行，没有语法错误，也没有违反常识。,standard,原句中的数词'hours'被变异句中的量词'a few hours'替换，符合数词和量词之间的替换这一指定变换。
"In any case , says Dr. Minna of the National Cancer Institute , `` We 're witnessing the discovery of one of the most important steps in the genesis of cancer .","In any case, says Dr. Minna of the National Cancer Institute, `` We're witnessing the discovery of one of several crucial steps in the genesis of cancer.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语态，引号内的直接引语也符合英语语法规则。此外，句子的内容没有违反常识，表达了Dr. Minna对癌症发生过程中关键步骤被发现的看法。,standard,原句中的数词'most important steps'被变异句中的量词'several crucial steps'替换，符合数词和量词之间的替换这一指定变换。
Three pieces of evidence corroborate the key assumption that Democratic legislators are more willing to engage in local benefit-seeking than their Republican colleagues .,A few pieces of evidence corroborate the key assumption that Democratic legislators are more willing to engage in local benefit-seeking than their Republican colleagues.,Realistic,这句话在语法和语义上都是正确的。句子结构清晰，主语和谓语搭配得当，从句也使用得当。此外，句子的内容并不违反常识，而是在讨论两种立法者的行为倾向，这是一个合理的假设，可以由证据来支持或反驳。,standard,原句中的数词'Three'被变异句中的量词'A few'替换，符合数词和量词之间的替换这一指定变换。
But their arguments about the effect of the intense coverage of the trial may draw the most interest .,But their arguments about the effect of the extensive coverage of the trial may draw a great deal of interest.,Realistic,此句在语法和语义上均正确。'But their arguments about the effect of the extensive coverage of the trial may draw a great deal of interest.'这句话的结构完整，主语、谓语、宾语齐全，语义表达清晰，说明关于审判广泛报道的影响的争论可能会引起极大的兴趣，这符合常理。,standard,原句中的'most'是数词，变异句中替换为'a great deal of'，是量词的表达方式，符合数词和量词之间的替换这一指定变换。
"The day the Supreme Court gathered behind closed doors to consider the politically divisive question of whether it would hear a challenge to President Obama 's healthcare law , two of its justices , Antonin Scalia and Clarence Thomas , were feted at a dinner sponsored by the law firm that will argue the case before the high court .","The day the Supreme Court gathered behind closed doors to consider the politically divisive question of whether it would hear a challenge to President Obama's healthcare law, a couple of its justices, Antonin Scalia and Clarence Thomas, were feted at a dinner sponsored by the law firm that will argue the case before the high court.",Realistic,该句子在语法和语义上都是正确的。它使用了复杂的结构来描述一个具体的事件，其中包含了时间、地点、参与者和相关背景信息。句子中的时态、主谓一致以及从句的使用都是恰当的，没有违反常识或逻辑上的不合理之处。,standard,原句中的'two of its justices'与变异句中的'a couple of its justices'虽然都表达了数量概念，但变异句并未按照指定的数词和量词之间的替换进行改变。'Two'是一个确切的数词，而'a couple'是一个量词表达，但两句话在这点上并没有发生替换，都是用了不同的量词表达。
"By analyzing cells extracted from eye tumors , they found defects in the second copy of chromosome 13 in the exact area as in the first copy of the chromosome .","By analyzing cells extracted from eye tumors, they found defects in a second copy of chromosome 13 in the exact area as in the first copy of the chromosome.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和语态，并且表达了明确的意思，即通过分析从眼部肿瘤中提取的细胞，研究者发现在染色体13的第二份副本中，与第一份副本的同一区域存在缺陷。这并不违反常识，而是描述了一个科学发现的过程。,nonstandard,原句与变异句中数词和量词的使用未发生替换，'second'在两个句子中均作为序数词出现，没有改变。
"There also are reports from several labs , as yet unpublished , of missing p53 genes in tissue taken from kidney , brain and skin cancers .","There also are reports from a few labs, as yet unpublished, of missing p53 genes in tissue taken from kidney, brain and skin cancers.",Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和语态，句子的结构清晰，表达了某些实验室尚未发表的关于在肾、脑和皮肤癌组织中缺失p53基因的报道。,standard,原句中的数词'several'被变异句中的量词'a few'替换，符合数词和量词之间的替换这一指定变换。
U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .,U.S. special climate envoy Todd Stern rejected language requiring substantial cuts of greenhouse-gas emissions for industrialized countries compared with a couple of voluntary ones by major emerging economies if they were not funded by the developed world.,Realistic,该句子在语法和语义上都是正确的。它使用了复杂的结构来描述美国特使Todd Stern拒绝了某种语言，即如果工业发达国家不提供资金支持，那么就不要求他们在温室气体减排方面做出比几个主要新兴经济体所承诺的自愿减排更多的实质性削减。这个句子使用了比较结构，并且逻辑上表达了一个条件句，没有明显的语法错误，也没有违反常识。,nonstandard,原句中的'binding cuts'被变异句中的'substantial cuts'替换，但这并不是数词和量词之间的替换。同时，'requiring'后跟的名词从'emissions'变为'emissions for industrialized countries'，并且变异句中添加了'couple of'，这是量词的变化，但并非指定的数词替换。因此，句子并未发生指定的数词和量词之间的替换。
"Already on Thursday , the US bank was able to announce a capital increase of some USD 20 billion , reported CNBC with reference to circles .","Already on Thursday, the US bank was able to announce a capital increase of approximately USD 20 million, reported CNBC with reference to circles.",Realistic,这句话在语法和语义上都是正确的。'Already on Thursday' 指明了时间，'the US bank' 是主语，'was able to announce' 表示银行能够做出宣布，'a capital increase of approximately USD 20 million' 是具体的宣布内容，而 'reported CNBC with reference to circles' 是句子的状语，说明了信息的来源。整个句子结构清晰，没有语法错误，且语义表达明确，不违反常识。,standard,原句中的数词'20 billion'变异句中替换为'20 million'，符合指定的变换要求，即数词和量词之间的替换。
"`` It 's a super-exciting set of discoveries , `` says Bert Vogelstein , a Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer .","It's a super-exciting set of discoveries, says Bert Vogelstein, a Johns Hopkins University researcher who has just found a crucial gene to the triggering of colon cancer.",Realistic,这句话在语法和语义上都是正确的。主语Bert Vogelstein是Johns Hopkins University的研究员，谓语动词says表明他在发表观点。定语从句'who has just found a crucial gene to the triggering of colon cancer'正确地修饰了主语，说明了Bert Vogelstein的研究成果。短语'to the triggering of colon cancer'说明了发现的关键基因与结肠癌的触发有关，这在医学研究上是合理的表达。,nonstandard,变异句中并未发生数词和量词之间的替换，原句中的 'pivotal' 被替换为 'crucial'，但这不是数词和量词的替换，而是形容词的替换。
"Absorbed in doling out `` Feeding Frenzy 's `` tidbits , the authors gloss over the root causes of Wedtech , namely the Section 8 A federal program under whose auspices the scandal took place .","Absorbed in doling out a few `` Feeding Frenzy 's '' tidbits, the authors gloss over the root causes of Wedtech, namely the Section 8 A federal program under whose auspices the scandal took place.",Realistic,这句话在语法和语义上都是正确的。句子使用了较为复杂的词汇和结构，但表达清晰。其中，``Feeding Frenzy's'' 指的是某种引起极大关注或激烈竞争的事物，这里用作比喻；而“gloss over”意味着忽视或不详细讨论某事；”Section 8 A federal program“指特定的联邦计划，这里指出了Wedtech丑闻发生的背景。整个句子表达了作者在讨论‘Feeding Frenzy’时，忽略了Wedtech丑闻的根本原因。,nonstandard,原句中的'tidbits'前使用了``Feeding Frenzy's``，变异句中使用了'a few'，但这并不是数词和量词之间的替换，而是增加了一个量词'a few'，并且没有对``Feeding Frenzy's``进行数词替换。指定的变换是数词和量词之间的替换，而这里没有发生这样的替换。
"I got home , let the dogs into the house and noticed some sounds above my head , as if someone were walking on the roof , or upstairs .","I got home, let the dogs into the house and noticed a few sounds above my head, as if someone were walking on the roof, or upstairs.",Realistic,"这句话在语法和语义上都是正确的。主语回到家，放狗进屋，并注意到头上的声音，这些动作和描述都是连贯的。同时，使用连词「and」连接了三个动作，最后一个动作后使用了逗号，并接着一个非限制性定语从句「as if someone were walking on the roof, or upstairs」，来描述声音的特征，这在语法上是合适的。句子没有违反常识，因此结果是Realistic。",standard,原句中的'some'被变异句中的'a few'替换，这是数词和量词之间的替换，符合指定的变换。
Bank of America had raised some USD 19 billion from investors through convertible loans .,Bank of America had raised approximately USD 20 billion from investors through convertible loans.,Realistic,该句子在语法和语义上都是正确的。主语（Bank of America）和谓语（had raised）在数和时态上保持一致，USD 20 billion作为宾语补足语提供了具体金额，通过可转换贷款从投资者那里筹集资金这一表述在语义上也是合理的。,standard,原句中的数词'19'被变异句中的数词'20'替换，量词'some'被变异句中的'approximately'替换，符合数词和量词之间的替换这一指定变换。
"After your first three weeks of sleep deprivation , you 're scarcely in touch with reality any more ; without psychiatric treatment , you may well be unable to fend for yourself ever again . ``","After your first few weeks of sleep deprivation, you're scarcely in touch with reality any more; without psychiatric treatment, you may well be unable to fend for yourself ever again.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和语法结构，表达了长时间缺乏睡眠可能导致的心理健康问题，这与现实情况相符。,standard,原句中的数词'three'被替换为'few'，但'few'并不是一个数词，而是一个量词，表示不确定的数量。这个替换并不符合指定的变换，即数词和量词之间的替换。因此，句子未发生指定的变异。
"The trend was supported by the publication of better than expected economic indicators , which `` have contributed to improving market opinion in relation to the robustness of the economic recovery '' , summarised Charles Schwab 's analysts .","The trend was supported by the publication of more economic indicators than anticipated, which `` have contributed to enhancing market opinion concerning the robustness of the economic recovery '' , summarised Charles Schwab 's analysts .",Realistic,该句子在语法和语义上都是正确的。句子使用了正确的时态和语态，并且表达了一个合理的逻辑关系，即经济指标的增加支持了某种趋势，并且增强了市场对经济复苏强劲性的看法。引用的内容也符合语法规则，并且合理地总结了查尔斯·施瓦布分析师的观点。,nonstandard,原句中的表达 'better than expected' 是质的变化，而变异句中 'more economic indicators than anticipated' 是量的变化。指定变换为数词和量词之间的替换，但这两个表达在质和量上都有所不同，没有发生指定的替换变换。
"To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .","To reduce side effects, patients should take a corticosteroid and folic acid (a type of vitamin), and receive injections of vitamin B12 at various points during treatment with Alimta.",Realistic,该句子在语法和语义上都是正确的。它提供了一个医学建议，说明在使用Alimta治疗期间，为了减少副作用，患者应该采取的措施。句子结构清晰，使用了正确的语法形式，并且建议的内容符合医学常识。,nonstandard,变异句中并没有发生数词和量词的替换，原句和变异句中均使用了 'a' 和 'various points'，这些都不属于数词和量词的范畴。
It 's nothing new : The two justices have been attending Federalist Society events for years .,It's nothing new: The couple of justices have been attending Federalist Society events for years.,Realistic,这句话在语法和语义上都是正确的。使用了现在完成时态来描述过去发生并持续到现在的动作，即这对法官多年来一直在参加联邦党人学会的活动。此句没有明显的语法错误，也没有违反常识。,standard,原句中的'two justices'表示确切的数字2，变异句中的'couple of justices'表示不确切的数量，大约是两个，但并未改变原意。变换并不符合数词和量词之间的替换，因为'two'是数词，而'couple of'是量词短语，变异句中依然是量词短语，没有实现从数词到量词的替换。
"In sum , at both the federal and state government levels at least part of the seemingly irrational behavior voters display in the voting booth may have an exceedingly rational explanation .","In sum, at both the federal and state government levels at least a portion of the seemingly irrational behavior voters display in the voting booth may have a highly rational explanation.",Realistic,该句子在语法和语义上都是正确的。句子使用了恰当的从句和修饰语，表达了在联邦和州政府层面，选民在投票亭内表现出的看似非理性的行为可能有高度理性的解释。句子结构清晰，没有语法错误，且语义表达符合逻辑。,standard,原句中的'many'被替换成了'portion'，这是数词和量词之间的替换，符合指定的变换。
"This meant returning to the golf course , where we watched a few French duffers maul the first tee while we sat under Cinzano umbrellas , me nursing an espresso and my ego .","This meant returning to the golf course, where we watched several French duffers maul the first tee while we sat under Cinzano umbrellas, me nursing an espresso and my ego.",Realistic,该句子在语法和语义上都是正确的。句子描述了一个场景，其中包含了正确的时态和词汇使用，没有明显的语法错误，也没有违反常识。,standard,原句中的'a few'被变异句中的'several'替换，'a few'和'several'都表示数量，但'a few'通常指少量，而'several'指多个，但不是很多，两者在数词和量词的替换上符合指定的变换。
