sentence,mut_sentence,check,reason,standard,mut.reason
"Brazil is the country which exercises most leadership in the region , mentioned by 19 % of respondents ( up from 18 % last year ) , followed by the United States ( 9 % , unchanged from last year ) and Venezuela ( 9 % , down from 11 % last year ) .","19 % of respondents mentioned Brazil as the country which exercises most leadership in the region (up from 18 % last year), followed by the United States (9 %, unchanged from last year) and Venezuela (9 %, down from 11 % last year).",Realistic,该句子在语法和语义上都是正确的。使用了正确的百分比表达方式，并且使用了恰当的比较结构来描述数据的变化。,standard,原句中使用的是被动语态（'is mentioned by'），而变异句中将其改为了主动语态（'mentioned'），符合主动语态与被动语态之间的替换要求。
"It is also the kind of libel politicians find useful , since it helps them strike a friendly posture on behalf of an important constituency .","Politicians also find this kind of libel useful, as it helps them strike a friendly posture on behalf of an important constituency.",Realistic,该句子在语法和语义上都是正确的。'libel' 在这里指的是贬低某人的言论，政治家可能会利用这种情况来在重要的选民群体面前表现出友好的姿态，这在现实世界中是可能的，并不违反常识。,standard,原句使用的是被动语态（'It is also the kind of libel politicians find useful'），而变异句中，主语变为了politicians，动词变为主动语态（'Politicians also find this kind of libel useful'），符合主动语态与被动语态之间的替换要求。
"Only when one is ascending -- or in our case descending a tad trop rapidement -- does one feel , well , airborne in a picnic basket .","One only feels airborne in a picnic basket when ascending -- or in our case, descending a tad trop rapidement.",Realistic,"这句话在语法和语义上都是正确的。'One only feels airborne in a picnic basket when ascending -- or in our case, descending a tad trop rapidement.'这句话使用了虚拟语气，表达了在特定情境下的感受。'One'在这里作为不定代词，代表任何人。'Airborne'意味着在空中或感觉像在空中。'A picnic basket'是一个比喻，用来形容某种轻飘飘或者不稳定的状态。'Ascending'和'descending'分别指上升和下降，而'picnic basket'通常不会用来上升或下降，所以这里可能是在描述一种幻想或非现实的情况。'Trop rapidement'是法语，意思是“太快了”，这里用来增加句子的风格和幽默感。整个句子没有明显的语法错误，也没有违反常识。",nonstandard,原句和变异句都使用了主动语态，没有发生主动语态与被动语态之间的替换。
"After this , only five exceeded the 30 games : Keilor Navas with 31 , Randall Azofeifa with 32 , Michael Barrantes with 31 , Carlos Hernandez with 36 and Jose Luis Lopez with 35 .","After this, Keilor Navas, Randall Azofeifa, Michael Barrantes, Carlos Hernandez, and Jose Luis Lopez were the only five players who exceeded 30 games: Keilor Navas played 31, Randall Azofeifa played 32, Michael Barrantes played 31, Carlos Hernandez played 36, and Jose Luis Lopez played 35.",Realistic,该句子在语法和语义上都是正确的。它清楚地列出了五个玩家的名字和他们各自超过30场比赛的次数，句子结构完整，没有语法错误，也没有违反常识。,standard,原句中使用的是主动语态（如：Keilor Navas with 31），而变异句中改为了被动语态（如：Keilor Navas played 31），整个句子结构从主动语态变为了被动语态，符合指定的主动语态与被动语态之间的替换变换。
"When he finally got the coughing under control , he realized that Pete -LRB- all he gave was his first name -RRB- was still waiting for an answer -- he did n't even seem to wink as he continued to stare .","When he finally controlled the coughing, he realized that Pete -LRB- all he gave was his first name -RRB- was still waiting for an answer -- he did n't even seem to wink as he continued to stare.",Realistic,这句话在语法和语义上都是正确的。主语和谓语搭配得当，时态一致，并且句子表达了一个清晰的场景，没有违反常识。,standard,原句中使用了被动语态「got the coughing under control」，而变异句中使用了主动语态「controlled the coughing」，但这并不符合指定的变换要求，即主动语态与被动语态之间的替换。指定的变换要求是将原句中的被动语态改为主动语态，或者将主动语态改为被动语态，而变异句实际上已经使用了主动语态，因此没有发生被动语态到主动语态的变换，故检查结果为「nonstandard」
"Some 44 % of respondents across the region pronounced themselves satisfied with how their country 's democracy works in practice , the same figure as last year but a big increase on the 25 % in 2001 ( chart 3 ) .","Some 44% of respondents across the region pronounced that they are satisfied with how their country practices democracy, the same figure as the previous year but a significant increase from the 25% in 2001 (chart 3).",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和词汇表达了调查结果，并且比较了不同年份的数据，没有明显的语法错误，也没有违反常识。,nonstandard,原句中使用了被动语态「satisfied with how their country 's democracy works」，而变异句中使用了主动语态「they are satisfied with how their country practices democracy」，变换并非是主动语态与被动语态之间的替换，而是改变了句子的结构。此外，变异句中还改变了「the same figure as last year」为「the same figure as the previous year」，但这不是指定变换的内容，不影响对主动语态与被动语态替换的判断。
I was in Stinson Beach when the quake rolled through town .,The quake rolled through town while I was in Stinson Beach.,Realistic,句子在语法和语义上都是正确的。主语是'The quake'，谓语是'rolled through town'，表示地震在说话者位于斯廷森海滩时发生并席卷了城镇，这是一个合理的描述。,nonstandard,原句和变异句都使用了主动语态，没有发生主动语态与被动语态之间的替换。
Their report galvanized other molecular biologists .,Other molecular biologists were galvanized by their report.,Realistic,该句子在语法和语义上都是正确的。'galvanized'作为动词，意味着“激励”或“激发”，通常用于描述某种报告、事件或发现给人们带来的影响，符合上下文中其他分子生物学家被某份报告所激励的情景。,standard,原句使用的是主动语态，变异句使用了被动语态，完成了主动语态与被动语态之间的替换。
"The intensity is only building : nearly all of the key ministers are now here , and as early as Wednesday 60 heads of government will be in Copenhagen .","Nearly all of the key ministers are now here, and the intensity is only building; as early as Wednesday, 60 heads of government will gather in Copenhagen.",Realistic,这句话在语法和语义上都是正确的。句子使用了正确的时态和词汇表达了未来将要发生的事件，没有明显的语法错误，也没有违反常识。,nonstandard,原句与变异句中，句子结构虽然有所调整，但语态并未发生改变。原句和变异句都使用了主动语态，没有出现被动语态。因此，没有发生主动语态与被动语态之间的替换。
"Already , scientists are developing tests based on the newly identified genes that , for the first time , can predict whether an otherwise healthy individual is likely to get cancer .","Already, scientists are developing tests that are based on the newly identified genes, which, for the first time, can predict if a healthy individual is likely to develop cancer.",Realistic,"该句子在语法和语义上都是正确的。句子使用了现在进行时态，表明科学家正在进行的动作。定语从句 'which, for the first time, can predict if a healthy individual is likely to develop cancer' 正确地修饰了先行词 'tests'，并且从句的语义表达了基因测试能够预测健康个体是否有可能发展癌症，这在科学上是合理的。",standard,原句中的被动语态 'based on the newly identified genes that' 被替换为变异句中的主动语态 'which are based on the newly identified genes'。同时，原句中的 'can predict whether' 被变异句中的 'can predict if' 替换，虽然这里涉及到了whether到if的转换，但预测癌症这一动作的主动语态和被动语态并未改变，依然保持一致。因此，句子发生了主动语态与被动语态之间的替换，符合指定的变换。
"It is so extended that it part of the ethos , of the unwritten rules , but followed nonetheless by this sport .",This sport follows it so extensively that it becomes part of the ethos and the unwritten rules.,Realistic,这个句子在语法和语义上都是正确的。'This sport follows it so extensively that...'的结构表明这项运动与某事物（可能是文化、传统等）紧密相连，以至于成为了其精神和不成文规则的一部分。句子没有明显的语法错误，也没有违反常识。,standard,原句使用的是被动语态（'it is extended that...'），而变异句使用了主动语态（'This sport follows it...'），符合主动语态与被动语态之间的替换要求。
Shuts the program down .,The program is shut down.,Realistic,句子'The program is shut down.'在语法上是正确的，使用了被动语态，意味着程序已经被关闭。在语义上，这个句子表达了程序当前的状态，没有明显的逻辑错误或违反常识。,standard,原句使用的是主动语态（Shuts the program down），而变异句使用的是被动语态（The program is shut down），完成了主动语态与被动语态之间的替换。
"The stranger 's eyes were large and sad , as if Phil Haney had hurt his feelings .","The stranger's eyes were large and sad, as if his feelings had been hurt by Phil Haney.",Realistic,这个句子的语法和语义都是正确的。描述了一个陌生人的眼睛又大又悲伤，好像他的感情被Phil Haney伤害了，这是一个合理的表达，符合英语的语法规则和常识。,standard,原句中使用了主动语态「had hurt his feelings」，而变异句中使用了被动语态「his feelings had been hurt by Phil Haney」，符合主动语态与被动语态之间的替换要求。
"But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .","But an important advance in a negotiation that is running out of time was seen, with more than 100 world leaders arriving in Copenhagen next week.",Realistic,这句话在语法和语义上都是正确的。句子使用了合适的时态和词汇，表达了在谈判即将结束之际，下周将有超过100位世界领导人抵达哥本哈根的重要进展。没有发现语法错误，也没有违反常识。,standard,原句使用了被动语态（'was seen as'），而变异句使用了主动语态（'was seen'），符合主动语态与被动语态之间的替换要求。
"But our education proceeded at the hands of those others , who were merely competent and conscientious .","But those others, who were merely competent and conscientious, proceeded with our education.",Realistic,这句话在语法和语义上都是正确的。它使用了定语从句（who were merely competent and conscientious）来修饰先行词（those others），并且句子的主谓结构（proceeded with our education）也是正确的。整个句子表达的意思是清晰的，没有违反常识。,standard,原句使用的是被动语态（'our education proceeded at the hands of those others'），而变异句将被动语态改为了主动语态（'those others...proceeded with our education'），符合主动语态与被动语态之间的替换要求。
They belong to a group of 15 ringers -- including two octogenarians and four youngsters in training -- who drive every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia .,"A group of 15 ringers, including two octogenarians and four youngsters in training, drives every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia.",Realistic,该句子在语法和语义上都是正确的。句子结构清晰，主语和谓语一致，时态正确，并且意思表达清楚。描述的是一个由不同年龄段的人组成的团队每周日的活动，没有违反常识或语法规则。,nonstandard,原句使用了主动语态（They belong... who drive...），而变异句也使用了主动语态（A group... drives...）。指定变换是主动语态与被动语态之间的替换，但在这个例子中，并没有发生这样的替换。
And it 's nothing that runs afoul of ethics rules .,And it's nothing that runs afoul of the rules of ethics.,Realistic,该句子在语法和语义上都是正确的。'runs afoul of' 是一个固定搭配，意思是违背或违反，而 'rules of ethics' 指的是伦理规则，整个句子表达的意思是某事并没有违反伦理规则，这在语法和常识上都是合理的。,nonstandard,原句和变异句都使用了主动语态，没有发生主动语态与被动语态之间的替换。
"In addition , a stronger social safety net has helped to shield the poor .","In addition, a stronger social safety net shields the poor.",Realistic,该句子在语法和语义上都是正确的。'In addition' 是一个合适的过渡词，用于添加额外信息；'a stronger social safety net' 指的是更强大的社会保障体系；'shields the poor' 表示保护穷人，整个句子表达了加强社会保障体系可以保护穷人的意思，这符合常识和逻辑。,standard,原句使用了被动语态（has helped to shield），而变异句使用了主动语态（shields），符合主动语态与被动语态之间的替换要求。
A comprehensive development policy for governors over 30 would seem to be a more pressing need .,A more pressing need would seem to be a comprehensive development policy for governors over 30.,Realistic,这句话在语法和语义上都是正确的。'A more pressing need'指出了一个紧迫的需求，'would seem to be'表示这似乎是一个事实或观点，'comprehensive development policy'指的是全面的发展政策，'for governors over 30'指定了该政策针对的是30岁以上的管理者。整个句子表达了一个合理的观点，没有语法错误，也没有违反常识。,standard,原句中使用了主动语态「would seem to be」，而变异句中使用了被动语态「A more pressing need would seem to be」，其中「a comprehensive development policy」成为了被动语态中的主语，符合主动语态与被动语态之间的替换要求。
"Brazil 's strong economic performance and the popularity of its outgoing president , Luiz Inácio Lula da Silva , is reflected in a widely shared sense of progress .","A widely shared sense of progress reflects Brazil's strong economic performance and the popularity of its outgoing president, Luiz Inácio Lula da Silva.",Realistic,该句子在语法和语义上都是正确的。主语和谓语搭配合理，共享的进步感反映了巴西强劲的经济表现和即将离任总统路易斯·伊纳西奥·卢拉·达·席尔瓦的受欢迎程度，句子表达了一个合理的观点，没有违反常识。,standard,原句使用的是被动语态（is reflected in），而变异句使用了主动语态（reflects），实现了主动语态与被动语态之间的替换。
Saves the log with all results into an HTML file to be able to print or publish .,The user saves the log with all results into an HTML file to be able to print or publish.,Realistic,该句子在语法和语义上都是正确的。主语是'user'，谓语是'saves'，宾语是'the log with all results'，并且使用了目的状语'to be able to print or publish'来说明保存日志为HTML文件的目的。整个句子表达清晰，没有语法错误，也没有违反常识。,standard,原句使用的是被动语态（'Saves the log...to be able to print or publish'），而变异句使用了主动语态（'The user saves the log...to be able to print or publish'），符合主动语态与被动语态之间的替换要求。
Alimta is not recommended for use in patients with moderate or severe kidney problems .,Doctors do not recommend using Alimta in patients with moderate or severe kidney problems.,Realistic,该句子在语法和语义上都是正确的。使用了正确的时态和语气，表达了医生通常不会推荐在患有中度或重度肾脏问题的患者中使用Alimta（一种药物）的情况，这符合医学建议的表述方式。,standard,原句使用的是被动语态（'is not recommended'），而变异句使用了相应的主动语态（'do not recommend'），符合主动语态与被动语态之间的替换要求。
An emerging understanding of the genes is expected to produce an array of new strategies for future cancer treatment and prevention .,Researchers are expected to produce an array of new strategies for future cancer treatment and prevention from an emerging understanding of the genes.,Realistic,这句话在语法和语义上都是正确的。句子结构清晰，使用了恰当的词汇和短语（如'researchers are expected to produce an array of new strategies' 和 'for future cancer treatment and prevention'），并且语义上表达了研究人员基于对基因的新认识，有望制定出一系列新的癌症治疗和预防策略。没有发现语法错误或违反常识的地方。,standard,原句使用的是被动语态（'is expected to produce'），而变异句使用了主动语态（'Researchers are expected to produce'），符合主动语态与被动语态之间的替换要求。
"But there is not one shred of evidence that , other things being equal , salary differentials result in educational differentials .","But no evidence exists that, other things being equal, salary differentials cause educational differentials.",Realistic,这句话在语法和语义上都是正确的。它表达的意思是，在假定其他条件相同的情况下，没有证据表明工资差异会导致教育差异。句子的结构完整，使用了正确的从句和短语，并且表达了一个合理的观点。,standard,原句中使用了被动语态（'there is not one shred of evidence that...result in'），而变异句中使用了主动语态（'no evidence exists that...cause'），符合主动语态与被动语态之间的替换要求。
"`` But arsenic is different enough that it does n't work as well as phosphorus , so it gets in there and sort of gums up the works of our biochemical machinery , '' explained Anbar .","But arsenic is different enough that it does n't work as well as phosphorus, so it gets in there and sort of gums up the works of our biochemical machinery, Anbar explained.",Realistic,这句话在语法和语义上都是正确的。使用了正确的时态和语态，表达清晰，没有明显的语法错误，且句子内容符合科学常识，描述了砷与磷在生物化学机制中的不同作用。,nonstandard,原句和变异句都使用了主动语态。指定变换为主动语态与被动语态之间的替换，但在这个例子中，并没有发生这样的替换。
"Absorbed in doling out `` Feeding Frenzy 's `` tidbits , the authors gloss over the root causes of Wedtech , namely the Section 8 A federal program under whose auspices the scandal took place .","The authors, absorbed in doling out 'Feeding Frenzy's' tidbits, gloss over the root causes of Wedtech, which are under the auspices of the Section 8 A federal program where the scandal took place.",Grammatical error,句子的结构较为复杂，其中的从句和插入语使用不够清晰。首先，'doling out' 后面应该使用宾语补足语的形式，但是 'Feeding Frenzy's' 使用了错误的所有格形式，应该去掉撇号。其次，'which are under the auspices of the Section 8 A federal program' 这个从句的主语不明确，它看起来像是描述 'Wedtech' 的，但实际上它应该描述 'the root causes'。此外，'Section 8 A' 应该是一个特定的项目名称，但是在这里没有明确指出，可能会造成混淆。,nonstandard,原句中使用了被动语态「Absorbed in doling out」，而变异句中同样使用了「absorbed in doling out」，语态没有发生从被动到主动或从主动到被动的变换。另外，原句中「namely the Section 8 A federal program under whose auspices the scandal took place」这部分在变异句中被改为「which are under the auspices of the Section 8 A federal program where the scandal took place」，虽然表达方式有变化，但这并不涉及主动语态与被动语态之间的替换。
"Moreover , ticket splitting appears to take the same peculiar pattern at the state government level as it does at the federal level .","Moreover, the same peculiar pattern of ticket splitting is observed at the state government level as it is at the federal level.",Realistic,这句话在语法和语义上都是正确的。'Moreover'是一个副词，用于添加额外的信息，'the same peculiar pattern of ticket splitting'是主语，'is observed'是谓语，表明这种票分裂的模式在州政府和联邦政府层面都被观察到了。整个句子表达清晰，没有语法错误，也没有违反常识。,standard,原句中使用了主动语态「appears to take」，而变异句中使用了被动语态「is observed」，这符合主动语态与被动语态之间的替换要求。
"Fifth , the theory may provide at least a partial reason for why ticket splitting has been particularly pronounced in the South .","Fifth, at least a partial reason for why ticket splitting has been particularly pronounced in the South may be provided by the theory.",Realistic,这句话在语法上是正确的，使用了正确的时态和结构。句子的意思是：第五点，至少部分原因可以通过理论来解释为什么票数分裂在南方的表现特别明显。这个句子没有明显的语法错误，也没有违反常识。,standard,原句中的主动语态'may provide'被变异句中的被动语态'may be provided by'替换，符合主动语态与被动语态之间的替换要求。
"This time , it just got stronger and then the building started shaking violently up and down as though it were a child 's toy block that was being tossed .","This time, it just got stronger and then the building started shaking violently up and down as though it were a child's toy block that a child was tossing.",Realistic,这句话在语法和语义上都是正确的。使用了比喻手法，形象地描述了建筑物在强烈摇晃的场景，如同一个孩子抛掷的玩具积木。句子结构完整，没有明显的语法错误，且语义表达清晰，符合常识。,standard,变异句中，原本的被动语态「were being tossed」被替换成了主动语态「a child was tossing」，符合主动语态与被动语态之间的替换要求。
"The interactions between health and homelessness are complex , defying sweeping generalizations as to `` cause `` or `` effect . ``","Health and homelessness interact in complex ways, defying sweeping generalizations about `` cause `` or `` effect. ``",Realistic,这句话在语法和语义上都是正确的。它表达的是健康和无家可归之间存在着复杂的关系，这种关系不能简单地用‘原因’或‘效果’来概括。这个句子没有明显的语法错误，也没有违反常识。,standard,"原句使用的是被动语态（'are complex', 'defying'），而变异句将这些被动结构改为了主动语态（'interact in complex ways', 'defying' remains the same but is now part of an active voice construction），符合主动语态与被动语态之间的替换要求。"
"To date , scientists have fingered two of these cancer-suppressors .","To date, two of these cancer-suppressors have been fingered by scientists.",Realistic,该句子在语法和语义上都是正确的。'To date'表示到目前为止，'fingered'在这里作为动词使用，意味着科学家已经确定了两种抗癌抑制因子，这在科学研究的语境中是合理的表达。,standard,原句使用了主动语态「scientists have fingered」，而变异句使用了被动语态「have been fingered by scientists」，完成了主动语态与被动语态之间的替换。
"The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .","The social partners are also examining their perspectives, with particular attention to proposals for removing age barriers.",Realistic,该句子在语法和语义上都是正确的。句子中的主语是'The social partners'，谓语是'are examining'，并且有适当的状语和宾语从句。此外，'with particular attention to proposals for removing age barriers'是一个状语，说明了社会伙伴们在审视观点时特别关注的方面，这并不违反常识。,standard,原句使用的是被动语态（is being examined），而变异句使用了主动语态（are examining），符合主动语态与被动语态之间的替换要求。
"This is a Johnson-era , Great Society creation that mandates certain government contracts be awarded noncompetitively to minority businesses .","This is a Johnson-era, Great Society creation that mandates the government to award certain contracts noncompetitively to minority businesses.",Realistic,这句话在语法和语义上都是正确的。它提到了Johnson-era（约翰逊时代）和Great Society（伟大社会），这是指美国历史上的一个时期和政策，这个政策要求政府在不竞争的情况下向少数民族企业授予某些合同。句子结构清晰，表达了一个具体的历史事实和政策要求，没有语法错误，也没有违反常识。,standard,原句使用的是被动语态（'be awarded'），而变异句使用了主动语态（'to award'），符合主动语态与被动语态之间的替换要求。
"But the council 's program to attract and train ringers is only partly successful , says Mr. Baldwin .","But the program of the council to attract and train ringers is only partly successful, according to Mr. Baldwin.",Realistic,此句在语法和语义上均正确。句子结构清晰，主语为「the program of the council to attract and train ringers」，谓语为「is only partly successful」，并且根据Mr. Baldwin的观点，这个项目只是部分成功。句子没有明显的语法错误，也没有违反常识。,nonstandard,原句和变异句都使用了主动语态，没有发生主动语态与被动语态之间的替换。
"Needless to say , it was an interesting first session !","Needless to say, the first session was interesting!",Realistic,该句子在语法和语义上都是正确的。'Needless to say' 是一个常用的短语，表示某事是显而易见的，而 'the first session was interesting' 描述了一个具体的事件，并且没有语法错误。,nonstandard,原句和变异句都使用了主动语态，没有发生主动语态与被动语态之间的替换。
Americans it seems have followed Malcolm Forbes 's hot-air lead and taken to ballooning in a heady way .,It seems that Americans have followed Malcolm Forbes' hot-air lead and actively taken up ballooning in an enthusiastic manner.,Realistic,这句话在语法和语义上都是正确的。'It seems that' 是一个常用的句型，用来表达观察或推测；'followed Malcolm Forbes' hot-air lead' 暗指跟随Malcolm Forbes在热气球方面的领导或影响；'actively taken up ballooning in an enthusiastic manner' 表示美国人积极地以热情的方式参与热气球运动，整个句子没有明显的语法错误，也没有违反常识。,standard,原句使用的是现在完成时被动语态（have followed），而变异句使用了现在时主动语态（have taken up），符合主动语态与被动语态之间的替换要求。
